date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-03-11,432.88,441.33,431.0,433.66,3145200,,,,,433.66,433.66,433.66,433.66,混合,0.0,,,,,,,,,,433.66
2025-03-12,436.69,443.9,435.5,438.6,5515900,,,,,434.76,434.11,433.84,433.71,完整多头,1.13,,,,,,,,,,438.6
2025-03-13,405.27,405.77,374.5,377.84,14386600,,,,,422.11,428.99,431.84,433.15,空头排列,-12.77,,,,,,,,,,377.84
2025-03-14,379.75,396.36,377.8,394.74,6134800,,,,,416.03,425.88,430.51,432.77,空头排列,-8.79,,,,,,,,,,394.74
2025-03-17,394.12,399.94,387.13,399.34,4258500,,,,,412.32,423.47,429.4,432.44,空头排列,-7.65,,,,,,,,,,399.34
2025-03-18,395.36,395.95,384.57,391.37,4297300,,,,,407.66,420.55,428.04,432.03,空头排列,-9.41,,,,,,,,,,391.37
2025-03-19,394.1,395.26,387.0,387.89,4349900,,,,,403.27,417.58,426.61,431.59,空头排列,-10.13,,,,,,,,,,387.89
2025-03-20,386.9,397.82,385.8,389.61,4009500,401.63,,,,400.23,415.04,425.29,431.17,空头排列,-9.64,,,,,,,,,,389.61
2025-03-21,384.13,389.85,382.45,387.26,7607300,395.83,,,,397.35,412.51,423.93,430.74,空头排列,-10.09,,,,,,,,,,387.26
2025-03-24,392.47,396.86,391.38,394.47,5223000,390.31,,,,396.71,410.87,422.87,430.38,空头排列,-8.34,,,,,,,,,,394.47
2025-03-25,393.57,404.32,392.99,403.64,3648600,393.54,,,,398.25,410.21,422.19,430.11,混合,-6.15,,,,,,,,,,403.64
2025-03-26,403.0,404.5,397.01,397.81,3425000,393.92,,,,398.15,409.09,421.32,429.79,空头排列,-7.44,,,,,,,,,,397.81
2025-03-27,397.44,401.48,392.51,396.15,2729700,393.53,,,,397.71,407.91,420.42,429.45,空头排列,-7.75,,,,,,,,,,396.15
2025-03-28,393.89,396.92,384.76,385.71,3830300,392.82,,,,395.04,405.89,419.18,429.02,空头排列,-10.09,,,,,,,,,,385.71
2025-03-31,380.0,384.8,374.67,383.53,3960700,392.27,,,,392.48,403.86,417.91,428.57,空头排列,-10.51,,32.0,14.91,,,,,,2025-03-12 00:00:00,383.53
2025-04-01,381.13,384.0,375.53,383.2,3847800,391.47,,,,390.42,401.98,416.67,428.11,空头排列,-10.49,,31.9,14.45,,,,,,2025-03-12 00:00:00,383.2
2025-04-02,378.28,388.0,376.54,385.78,2859100,391.29,,,,389.39,400.51,415.56,427.69,空头排列,-9.8,,33.3,14.24,,,,,,2025-03-12 00:00:00,385.78
2025-04-03,371.88,376.01,366.29,367.25,5324400,387.88,,,,384.47,397.49,413.84,427.09,空头排列,-14.01,,28.7,14.61,,,,,,2025-03-12 00:00:00,367.25
2025-04-04,359.0,361.73,348.8,349.07,5867600,381.06,,,,376.6,393.08,411.52,426.31,空头排列,-18.12,,25.0,14.89,,,,,,2025-03-12 00:00:00,349.07
2025-04-07,335.54,358.36,332.01,340.7,7690900,373.92,,,,368.62,388.32,409.0,425.46,空头排列,-19.92,,23.5,15.71,5105605.0,1.5,,,,2025-03-12 00:00:00,340.7
2025-04-08,350.1,350.74,333.83,340.0,6650800,366.91,387.03,,,362.26,383.93,406.53,424.61,空头排列,-19.93,,23.4,15.79,5280885.0,1.3,,,,2025-03-12 00:00:00,340.0
2025-04-09,338.74,365.72,333.43,364.64,7186300,364.27,383.74,,,362.79,382.18,405.03,424.02,混合,-14.0,,36.3,16.97,5364405.0,1.3,,,,2025-03-12 00:00:00,364.64
2025-04-10,360.97,362.5,341.52,350.05,5695000,360.09,379.53,,,359.96,379.25,403.07,423.28,空头排列,-17.3,,32.8,17.41,4929825.0,1.2,,,,2025-03-12 00:00:00,350.05
2025-04-11,351.44,353.1,342.35,352.47,3941800,356.25,378.32,,,358.3,376.82,401.26,422.58,空头排列,-16.59,,33.9,16.93,4820175.0,0.8,,,,2025-03-12 00:00:00,352.47
2025-04-14,359.51,362.05,348.5,350.91,3286000,351.89,376.23,,,356.65,374.46,399.47,421.86,空头排列,-16.82,,33.5,16.69,4771550.0,0.7,,,,2025-03-12 00:00:00,350.91
2025-04-15,351.05,356.49,349.19,350.38,3030400,349.78,373.9,,,355.26,372.27,397.71,421.15,空头排列,-16.8,,33.4,16.02,4708205.0,0.6,,,,2025-03-12 00:00:00,350.38
2025-04-16,345.0,350.38,341.31,344.19,3687900,349.17,371.65,,,352.8,369.72,395.8,420.38,空头排列,-18.13,,31.7,15.52,4675105.0,0.8,,,,2025-03-12 00:00:00,344.19
2025-04-17,349.75,351.88,345.09,348.8,5229700,350.18,369.79,,,351.91,367.82,394.12,419.67,空头排列,-16.89,,34.4,14.96,4736115.0,1.1,,,,2025-03-12 00:00:00,348.8
2025-04-21,344.57,346.68,338.64,343.22,3691200,350.58,367.58,,,349.98,365.58,392.3,418.91,空头排列,-18.07,,32.7,14.62,4540310.0,0.8,,,,2025-03-12 00:00:00,343.22
2025-04-22,349.14,352.08,344.37,349.91,3250400,348.74,365.8,,,349.96,364.16,390.79,418.23,空头排列,-16.33,,36.7,14.21,4441680.0,0.7,,,,2025-03-12 00:00:00,349.91
2025-04-23,358.12,363.0,349.8,351.96,3168000,348.98,363.78,,,350.41,363.05,389.4,417.57,混合,-15.71,,37.9,14.14,4417650.0,0.7,,,,2025-03-12 00:00:00,351.96
2025-04-24,353.59,361.12,353.25,360.91,3085100,350.03,361.74,,,352.74,362.86,388.39,417.0,混合,-13.45,,43.0,13.78,4400655.0,0.7,,,,2025-03-12 00:00:00,360.91
2025-04-25,361.7,369.31,359.99,367.72,3499300,352.14,360.31,,,356.07,363.3,387.65,416.51,混合,-11.71,,46.6,13.46,4439135.0,0.8,,,,2025-03-12 00:00:00,367.72
2025-04-28,368.05,370.99,364.58,368.62,3163400,354.42,359.0,,,358.86,363.78,386.97,416.04,混合,-11.4,,47.1,12.96,4405790.0,0.7,,,,2025-03-12 00:00:00,368.62
2025-04-29,367.21,373.88,366.88,370.98,2198300,357.76,358.3,,,361.55,364.44,386.4,415.59,混合,-10.73,,48.4,12.53,4317670.0,0.5,,,,2025-03-12 00:00:00,370.98
2025-04-30,366.87,376.0,363.56,374.98,3305500,361.04,357.89,,,364.54,365.39,385.99,415.18,混合,-9.68,,50.6,12.53,4290555.0,0.8,,,,2025-03-12 00:00:00,374.98
2025-05-01,378.3,380.44,374.07,374.63,2848800,364.96,357.48,,,366.78,366.23,385.58,414.78,混合,-9.68,,50.4,12.09,4290040.0,0.7,,,,2025-03-12 00:00:00,374.63
2025-05-02,380.09,383.56,379.19,380.87,2340700,368.83,357.25,,,369.91,367.56,385.42,414.44,混合,-8.1,,54.0,11.86,4140855.0,0.6,,,,2025-03-12 00:00:00,380.87
2025-05-05,379.29,384.54,378.4,381.06,2095600,372.47,357.91,,,372.39,368.79,385.26,414.11,混合,-7.98,,54.1,11.45,3952255.0,0.5,,,,2025-03-12 00:00:00,381.06
2025-05-06,376.57,386.52,375.05,382.98,2970100,375.23,359.52,,,374.74,370.08,385.18,413.8,混合,-7.45,,55.3,11.45,3716215.0,0.8,,,,2025-03-12 00:00:00,382.98
2025-05-07,384.7,387.83,380.95,384.97,2153000,377.39,361.63,,,377.01,371.43,385.17,413.51,混合,-6.9,,56.5,11.13,3491325.0,0.6,,,,2025-03-12 00:00:00,384.97
2025-05-08,388.3,388.73,383.4,383.99,3383900,379.31,363.73,,,378.56,372.58,385.13,413.22,混合,-7.07,,55.7,10.71,3301205.0,1.0,,,,2025-03-12 00:00:00,383.99
2025-05-09,386.18,388.77,382.33,383.28,2031300,380.85,364.61,,,379.61,373.55,385.06,412.92,混合,-7.18,,55.1,10.41,3118020.0,0.7,,,,2025-03-12 00:00:00,383.28
2025-05-12,394.33,397.82,392.76,395.94,3157700,383.47,366.8,,,383.24,375.58,385.45,412.75,混合,-4.07,,62.9,10.7,3078815.0,1.0,,,,2025-03-12 00:00:00,395.94
