date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-04-21,56.9,57.69,52.56,54.42,3176000,,,,,54.42,54.42,54.42,54.42,混合,0.0,,,,,,,,,,54.42
2025-04-22,55.51,56.93,54.54,55.31,2487700,,,,,54.62,54.5,54.45,54.43,完整多头,1.62,,,,,,,,,,55.31
2025-04-23,60.74,62.98,59.32,60.15,4450300,,,,,55.85,55.01,54.66,54.49,完整多头,10.4,,,,,,,,,,60.15
2025-04-24,62.01,64.98,61.18,64.55,3024500,,,,,57.78,55.88,55.01,54.59,完整多头,18.25,,,,,,,,,,64.55
2025-04-25,63.97,67.14,63.2,66.11,2982800,,,,,59.63,56.81,55.41,54.7,完整多头,20.86,,,,,,,,,,66.11
2025-04-28,66.48,67.44,64.35,66.08,1869500,,,,,61.06,57.65,55.79,54.81,完整多头,20.55,,,,,,,,,,66.08
2025-04-29,65.68,66.52,64.6,65.65,1508700,,,,,62.08,58.38,56.14,54.92,完整多头,19.53,,,,,,,,,,65.65
2025-04-30,62.51,65.36,62.31,65.31,1747300,62.2,,,,62.8,59.01,56.47,55.03,完整多头,18.69,,,,,,,,,,65.31
2025-05-01,68.6,70.5,68.25,69.22,3831900,64.05,,,,64.23,59.94,56.92,55.17,完整多头,25.48,,,,,,,,,,69.22
2025-05-02,71.59,73.06,70.93,71.27,3199700,66.04,,,,65.79,60.97,57.43,55.33,完整多头,28.82,,,,,,,,,,71.27
2025-05-05,70.75,73.47,70.64,72.15,3061700,67.54,,,,67.21,61.99,57.96,55.49,完整多头,30.01,,,,,,,,,,72.15
2025-05-06,69.54,72.35,68.64,71.36,4119700,68.39,,,,68.13,62.84,58.44,55.65,完整多头,28.23,,,,,,,,,,71.36
2025-05-07,67.36,71.3,63.4,71.09,8750800,69.02,,,,68.79,63.59,58.89,55.81,完整多头,27.39,,,,,,,,,,71.09
2025-05-08,72.93,73.81,69.83,71.64,4703000,69.71,,,,69.42,64.32,59.35,55.96,完整多头,28.01,,,,,,,,,,71.64
2025-05-09,71.7,73.46,69.26,71.2,2695800,70.4,,,,69.82,64.95,59.77,56.11,完整多头,26.88,,89.2,4.21,,,,,,2025-04-22 00:00:00,71.2
2025-05-12,80.04,81.27,76.53,80.28,6342000,72.28,,,,72.14,66.34,60.5,56.35,完整多头,42.45,,92.6,4.63,,,,,,2025-04-22 00:00:00,80.28
2025-05-13,81.32,88.22,81.14,87.76,6657300,74.59,,,,75.61,68.29,61.47,56.67,完整多头,54.87,,94.2,4.87,,,,,,2025-04-22 00:00:00,87.76
