date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-20,202.98,203.13,199.45,202.88,32769000,,,,,202.88,202.88,202.88,202.88,混合,0.0,,,,,,,,,,202.88
2024-11-21,203.49,203.49,195.75,198.38,58800000,,,,,201.88,202.47,202.72,202.84,空头排列,-2.2,,,,,,,,,,198.38
2024-11-22,198.25,199.26,196.75,197.12,31530800,,,,,200.82,201.98,202.52,202.78,空头排列,-2.79,,,,,,,,,,197.12
2024-11-25,199.28,201.95,199.0,201.45,40685700,,,,,200.96,201.94,202.48,202.77,混合,-0.65,,,,,,,,,,201.45
2024-11-26,201.9,208.0,201.79,207.86,41673700,,,,,202.49,202.47,202.67,202.82,混合,2.49,,,,,,,,,,207.86
2024-11-27,206.98,207.64,205.05,205.74,28061600,,,,,203.22,202.77,202.78,202.84,混合,1.43,,,,,,,,,,205.74
2024-11-29,205.83,208.2,204.59,207.89,24892400,,,,,204.25,203.24,202.97,202.9,完整多头,2.46,,,,,,,,,,207.89
2024-12-02,209.96,212.99,209.51,210.71,39523200,204.0,,,,205.69,203.92,203.24,202.97,完整多头,3.81,,,,,,,,,,210.71
2024-12-03,210.31,214.02,209.65,213.44,32214800,205.32,,,,207.41,204.78,203.61,203.08,完整多头,5.1,,,,,,,,,,213.44
2024-12-04,215.96,220.0,215.75,218.16,48745700,207.8,,,,209.8,206.0,204.13,203.23,完整多头,7.35,,,,,,,,,,218.16
2024-12-05,218.03,222.15,217.3,220.55,41140200,210.73,,,,212.19,207.32,204.71,203.4,完整多头,8.43,,,,,,,,,,220.55
2024-12-06,220.75,227.15,220.6,227.03,44178100,213.92,,,,215.49,209.11,205.51,203.63,完整多头,11.49,,,,,,,,,,227.03
2024-12-09,227.21,230.08,225.67,226.09,46819400,216.2,,,,217.84,210.66,206.24,203.86,完整多头,10.91,,,,,,,,,,226.09
2024-12-10,226.09,229.06,224.2,225.04,31199900,218.61,,,,219.44,211.96,206.92,204.07,完整多头,10.28,,,,,,,,,,225.04
2024-12-11,226.41,231.2,226.26,230.26,35385800,221.41,,,,221.85,213.63,207.75,204.33,完整多头,12.69,,79.1,5.07,,,,,,2024-11-21 00:00:00,230.26
2024-12-12,229.83,231.09,227.63,228.97,28204100,223.69,,,,223.43,215.02,208.51,204.57,完整多头,11.92,,76.8,4.95,,,,,,2024-11-21 00:00:00,228.97
2024-12-13,228.4,230.2,225.86,227.46,28768100,225.44,,,,224.33,216.15,209.18,204.8,完整多头,11.06,,74.1,4.91,,,,,,2024-11-21 00:00:00,227.46
