date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-05-09,163.7,178.4,132.2,162.4,2719065,,,,,162.4,162.4,162.4,162.4,混合,0.0,,,,,,,,,,162.4
2025-05-12,130.0,155.6,120.8,140.2,922340,,,,,157.47,160.38,161.61,162.18,空头排列,-13.55,,,,,,,,,,140.2
2025-05-13,136.0,146.6,114.0,119.4,439320,,,,,149.01,156.66,160.1,161.75,空头排列,-26.18,,,,,,,,,,119.4
2025-05-14,106.6,115.78,91.2,94.0,303315,,,,,136.78,150.96,157.74,161.08,空头排列,-41.64,,,,,,,,,,94.0
2025-05-15,89.2,139.4,78.2,137.4,1225825,,,,,136.92,149.73,157.01,160.84,混合,-14.58,,,,,,,,,,137.4
2025-05-16,124.2,134.0,116.0,121.6,283600,,,,,133.52,147.17,155.75,160.45,空头排列,-24.21,,,,,,,,,,121.6
2025-05-19,118.0,152.0,117.6,131.0,498605,,,,,132.96,145.7,154.86,160.16,空头排列,-18.21,,,,,,,,,,131.0
2025-05-20,137.2,162.4,130.0,154.8,457375,132.6,,,,137.81,146.53,154.86,160.11,混合,-3.31,,,,,,,,,,154.8
2025-05-21,200.0,218.0,157.6,160.8,1953810,132.4,,,,142.92,147.83,155.07,160.11,混合,0.43,,,,,,,,,,160.8
2025-05-22,186.2,268.4,182.0,260.2,1880045,147.4,,,,168.98,158.04,158.83,161.11,混合,61.51,,,,,,,,,,260.2
2025-05-23,230.7,243.0,203.0,209.2,407400,158.63,,,,177.92,162.69,160.63,161.59,混合,29.47,,,,,,,,,,209.2
2025-05-27,235.0,237.6,152.4,163.6,914710,167.33,,,,174.74,162.77,160.73,161.61,混合,1.23,,,,,,,,,,163.6
2025-05-28,163.2,170.8,136.0,142.8,413495,168.0,,,,167.64,160.96,160.09,161.42,混合,-11.54,,,,,,,,,,142.8
2025-05-29,143.4,169.0,133.6,151.2,402095,171.7,,,,163.99,160.07,159.78,161.32,混合,-6.27,,,,,,,,,,151.2
2025-05-30,140.2,162.0,134.2,140.2,285130,172.85,,,,158.7,158.26,159.08,161.11,混合,-12.98,,47.2,47.36,,,,,,2025-05-12 00:00:00,140.2
2025-06-02,138.2,155.24,134.8,140.4,192310,171.05,,,,154.63,156.64,158.41,160.9,空头排列,-12.74,,47.3,45.43,,,,,,2025-05-12 00:00:00,140.4
2025-06-03,145.0,146.0,128.4,140.0,269250,168.45,,,,151.38,155.13,157.75,160.7,空头排列,-12.88,,47.2,43.45,,,,,,2025-05-12 00:00:00,140.0
2025-06-04,138.8,170.8,130.98,154.8,303175,155.27,,,,152.14,155.1,157.65,160.64,混合,-3.63,,49.5,43.19,,,,,,2025-05-12 00:00:00,154.8
2025-06-05,152.8,156.6,130.14,138.2,178740,146.4,,,,149.04,153.56,156.95,160.41,空头排列,-13.85,,47.0,41.99,,,,,,2025-05-12 00:00:00,138.2
2025-06-06,136.9,139.0,113.0,115.2,288740,140.35,,,,141.52,150.07,155.46,159.96,空头排列,-27.98,,43.8,40.85,716917.0,0.4,,,,2025-05-12 00:00:00,115.2
2025-06-09,121.5,122.0,107.4,109.2,178250,136.15,146.98,,,134.34,146.36,153.81,159.46,空头排列,-31.52,,42.9,38.98,589876.0,0.3,,,,2025-05-12 00:00:00,109.2
2025-06-10,110.8,111.0,103.0,106.6,109165,130.57,144.32,,,128.18,142.74,152.12,158.93,空头排列,-32.93,,42.5,36.76,549218.0,0.2,,,,2025-05-12 00:00:00,106.6
2025-06-11,105.4,134.8,104.02,132.0,318145,129.55,143.93,,,129.03,141.77,151.4,158.66,混合,-16.81,,47.5,36.34,543159.0,0.6,,,,2025-05-12 00:00:00,132.0
