date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-05-09,126.99,127.77,125.19,125.33,11172200,,,,,125.33,125.33,125.33,125.33,混合,0.0,,,,,,,,,,125.33
2025-05-12,133.87,134.07,132.3,132.55,22631700,,,,,126.93,125.99,125.59,125.4,完整多头,5.7,,,,,,,,,,132.55
2025-05-13,131.0,133.03,130.2,131.65,16123600,,,,,127.98,126.5,125.8,125.46,完整多头,4.93,,,,,,,,,,131.65
2025-05-14,134.07,134.51,132.65,134.05,18278300,,,,,129.33,127.19,126.1,125.55,完整多头,6.77,,,,,,,,,,134.05
2025-05-15,126.24,126.32,122.65,123.9,35442800,,,,,128.12,126.89,126.02,125.53,混合,-1.3,,,,,,,,,,123.9
2025-05-16,125.78,126.1,123.31,123.46,20090000,,,,,127.09,126.58,125.93,125.51,混合,-1.64,,,,,,,,,,123.46
2025-05-19,120.18,123.06,120.0,122.96,11197000,,,,,126.17,126.25,125.82,125.49,混合,-2.01,,,,,,,,,,122.96
2025-05-20,124.29,125.22,124.15,125.16,11790000,127.38,,,,125.95,126.15,125.8,125.48,混合,-0.26,,,,,,,,,,125.16
2025-05-21,125.45,126.06,122.77,123.59,8521400,127.16,,,,125.42,125.92,125.72,125.46,混合,-1.49,,,,,,,,,,123.59
2025-05-22,121.49,122.17,120.92,121.48,7820900,125.78,,,,124.55,125.51,125.57,125.43,混合,-3.15,,,,,,,,,,121.48
2025-05-23,119.58,121.04,119.28,120.73,7163400,124.42,,,,123.7,125.08,125.4,125.38,混合,-3.71,,,,,,,,,,120.73
2025-05-27,119.88,120.0,118.89,119.52,8544500,122.6,,,,122.77,124.57,125.19,125.32,空头排列,-4.63,,,,,,,,,,119.52
2025-05-28,117.45,117.92,116.51,116.74,11707700,121.7,,,,121.43,123.86,124.88,125.23,空头排列,-6.78,,,,,,,,,,116.74
2025-05-29,119.04,119.34,116.7,117.18,12356300,120.92,,,,120.49,123.25,124.61,125.15,空头排列,-6.37,,,,,,,,,,117.18
2025-05-30,115.01,115.07,111.6,113.84,17213200,119.78,,,,119.01,122.4,124.22,125.04,空头排列,-8.96,,34.0,3.97,,,,,,2025-05-12 00:00:00,113.84
2025-06-02,114.9,115.4,113.66,114.75,13147200,118.48,,,,118.06,121.7,123.89,124.94,空头排列,-8.16,,35.8,3.81,,,,,,2025-05-12 00:00:00,114.75
2025-06-03,115.38,115.81,114.42,114.97,14008900,117.4,,,,117.38,121.09,123.57,124.84,空头排列,-7.91,,36.2,3.64,,,,,,2025-05-12 00:00:00,114.97
2025-06-04,116.82,120.0,116.66,119.45,18115500,117.15,,,,117.84,120.94,123.42,124.79,混合,-4.28,,44.6,3.74,,,,,,2025-05-12 00:00:00,119.45
2025-06-05,120.95,121.55,119.14,119.96,15332200,117.05,,,,118.31,120.85,123.3,124.74,混合,-3.83,,45.4,3.64,,,,,,2025-05-12 00:00:00,119.96
2025-06-06,119.0,119.77,118.22,119.38,9753200,117.03,,,,118.55,120.72,123.16,124.69,混合,-4.26,,44.6,3.51,14520500.0,0.7,,,,2025-05-12 00:00:00,119.38
2025-06-09,121.09,122.15,120.12,121.48,10410600,117.63,122.01,,,119.2,120.79,123.1,124.65,混合,-2.55,,48.4,3.45,14482420.0,0.7,,,,2025-05-12 00:00:00,121.48
2025-06-10,120.61,122.16,119.88,121.88,8892800,118.21,121.84,,,119.79,120.89,123.05,124.63,混合,-2.2,,49.1,3.37,13795475.0,0.6,,,,2025-05-12 00:00:00,121.88
2025-06-11,122.63,123.46,120.05,120.33,10443100,119.02,121.26,,,119.91,120.84,122.96,124.58,混合,-3.41,,46.4,3.37,13511450.0,0.8,,,,2025-05-12 00:00:00,120.33
2025-06-12,117.52,117.55,115.95,116.62,10204500,119.26,120.54,,,119.18,120.45,122.73,124.5,空头排列,-6.33,,40.7,3.44,13107760.0,0.8,,,,2025-05-12 00:00:00,116.62
2025-06-13,113.67,114.78,112.27,112.87,13355100,119.0,119.54,,,117.78,119.76,122.38,124.39,空头排列,-9.26,,35.8,3.51,12003375.0,1.1,,,,2025-05-12 00:00:00,112.87
2025-06-16,114.98,116.9,114.87,115.96,10242900,118.56,119.16,,,117.37,119.42,122.15,124.3,空头排列,-6.71,,42.0,3.55,11511020.0,0.9,,,,2025-05-12 00:00:00,115.96
2025-06-17,115.94,116.61,115.03,115.03,10205700,117.94,118.76,,,116.85,119.02,121.89,124.21,空头排列,-7.39,,40.7,3.41,11461455.0,0.9,,,,2025-05-12 00:00:00,115.03
2025-06-18,113.64,114.3,113.02,113.49,14002300,117.21,118.31,,,116.11,118.52,121.59,124.11,空头排列,-8.55,,38.6,3.31,11572070.0,1.2,,,,2025-05-12 00:00:00,113.49
2025-06-20,114.11,114.43,112.62,113.01,12737300,116.15,117.73,,,115.42,118.02,121.29,124.0,空头排列,-8.86,,38.0,3.2,11782865.0,1.1,,,,2025-05-12 00:00:00,113.01
2025-06-23,112.11,113.09,111.26,113.09,12536500,115.05,117.23,,,114.9,117.57,121.0,123.89,空头排列,-8.71,,38.2,3.1,12018645.0,1.0,,,,2025-05-12 00:00:00,113.09
2025-06-24,114.61,117.32,113.62,117.01,17125100,114.64,117.01,,,115.37,117.52,120.85,123.82,混合,-5.5,,46.6,3.18,12516730.0,1.4,,,,2025-05-12 00:00:00,117.01
2025-06-25,117.2,117.45,114.17,114.55,12835500,114.38,116.72,,,115.19,117.25,120.63,123.73,空头排列,-7.42,,42.7,3.19,12731280.0,1.0,,,,2025-05-12 00:00:00,114.55
2025-06-26,114.1,114.2,113.38,113.93,8388000,114.51,116.45,,,114.91,116.95,120.39,123.63,空头排列,-7.84,,41.7,3.04,12565295.0,0.7,,,,2025-05-12 00:00:00,113.93
2025-06-27,114.37,115.5,113.32,114.08,12355500,114.27,116.33,,,114.72,116.69,120.16,123.53,空头排列,-7.65,,42.1,2.98,12565255.0,1.0,,,,2025-05-12 00:00:00,114.08
2025-06-30,112.46,113.49,111.4,113.41,10457300,114.07,116.15,,,114.43,116.39,119.92,123.43,空头排列,-8.12,,40.9,2.96,12227460.0,0.9,,,,2025-05-12 00:00:00,113.41
2025-07-01,112.95,114.79,112.74,113.97,9243200,114.13,116.15,,,114.33,116.17,119.71,123.34,空头排列,-7.6,,42.3,2.9,12032260.0,0.8,,,,2025-05-12 00:00:00,113.97
2025-07-02,111.57,111.82,110.37,110.71,13843800,113.84,115.96,,,113.53,115.67,119.39,123.21,空头排列,-10.15,,36.8,2.95,12024005.0,1.2,,,,2025-05-12 00:00:00,110.71
2025-07-03,108.33,109.08,107.95,108.7,11847200,113.3,115.66,,,112.45,115.04,119.01,123.07,空头排列,-11.68,,33.9,2.93,11710590.0,1.0,,,,2025-05-12 00:00:00,108.7
2025-07-07,107.43,108.2,105.94,106.27,17446200,111.95,115.03,,,111.08,114.24,118.55,122.9,空头排列,-13.53,,30.7,2.92,11816290.0,1.5,,,,2025-05-12 00:00:00,106.27
2025-07-08,108.76,109.13,107.91,107.99,11319900,111.13,114.46,,,110.39,113.67,118.17,122.75,空头排列,-12.03,,35.3,2.92,11894625.0,1.0,,,,2025-05-12 00:00:00,107.99
2025-07-09,105.48,105.53,103.71,103.83,24609300,109.87,113.72,,,108.93,112.78,117.66,122.56,空头排列,-15.29,,30.1,3.01,12604560.0,2.0,,,,2025-05-12 00:00:00,103.83
2025-07-10,105.14,106.76,104.41,106.64,13554500,108.94,113.02,,,108.42,112.22,117.27,122.41,空头排列,-12.88,,36.9,3.01,12837645.0,1.1,,,,2025-05-12 00:00:00,106.64
2025-07-11,106.91,107.42,106.3,106.72,10774600,108.1,112.3,,,108.05,111.72,116.89,122.25,空头排列,-12.7,,37.1,2.87,12854220.0,0.8,,,,2025-05-12 00:00:00,106.72
2025-07-14,107.64,108.8,107.19,108.22,13231300,107.38,111.72,,,108.08,111.4,116.58,122.11,混合,-11.38,,40.6,2.82,13005560.0,1.0,,,,2025-05-12 00:00:00,108.22
2025-07-15,114.65,117.21,113.2,116.97,34785400,108.17,111.74,,,110.06,111.91,116.6,122.06,混合,-4.17,,56.2,3.26,14077075.0,2.5,,,,2025-05-12 00:00:00,116.97
2025-07-16,115.5,116.03,114.04,115.73,14439000,109.05,111.87,,,111.32,112.26,116.56,122.0,混合,-5.14,,54.1,3.23,14286880.0,1.0,,,,2025-05-12 00:00:00,115.73
2025-07-17,115.04,118.2,114.86,117.3,14573600,110.43,111.94,,,112.65,112.71,116.59,121.95,混合,-3.81,,56.4,3.24,14505275.0,1.0,,,,2025-05-12 00:00:00,117.3
2025-07-18,121.38,122.16,119.77,120.23,26787700,111.96,112.18,,,114.33,113.4,116.72,121.93,混合,-1.4,,60.3,3.36,15144545.0,1.8,,,,2025-05-12 00:00:00,120.23
2025-07-21,119.51,122.31,118.25,120.27,17937600,114.01,112.51,,,115.65,114.02,116.85,121.92,混合,-1.35,,60.4,3.41,15404560.0,1.2,,,,2025-05-12 00:00:00,120.27
2025-07-22,120.44,121.84,119.0,120.71,11551500,115.77,112.87,,,116.78,114.63,116.99,121.9,混合,-0.98,,61.0,3.37,15355310.0,0.8,,,,2025-05-12 00:00:00,120.71
2025-07-23,122.79,123.86,121.4,122.58,12874200,117.75,113.32,,,118.07,115.35,117.19,121.91,混合,0.55,,63.6,3.35,15142765.0,0.9,,,,2025-05-12 00:00:00,122.58
2025-07-24,121.85,123.99,120.45,121.15,11378400,119.37,113.52,,,118.75,115.88,117.33,121.9,混合,-0.62,,60.3,3.37,15069910.0,0.8,,,,2025-05-12 00:00:00,121.15
2025-07-25,120.19,120.48,119.34,120.03,7060600,119.75,113.78,,,119.04,116.26,117.42,121.88,混合,-1.52,,57.8,3.25,15003540.0,0.5,,,,2025-05-12 00:00:00,120.03
2025-07-28,122.03,123.45,121.53,122.15,11207400,120.55,114.17,,,119.73,116.79,117.59,121.89,混合,0.22,,61.1,3.27,14946135.0,0.7,,,,2025-05-12 00:00:00,122.15
2025-07-29,122.49,122.87,119.05,119.36,13599700,120.81,114.43,117.58,,119.65,117.03,117.66,121.86,混合,-2.05,,54.9,3.31,15103255.0,0.9,,,,2025-05-12 00:00:00,119.36
2025-07-30,119.04,119.59,116.84,117.38,12794100,120.45,114.61,117.44,,119.14,117.06,117.65,121.82,混合,-3.64,,51.0,3.27,15280800.0,0.8,,,,2025-05-12 00:00:00,117.38
