date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-02-11,8.47,9.41,7.87,8.0,119094100,,,,,8.0,8.0,8.0,8.0,混合,0.0,,,,,,,,,,8.0
2025-02-12,7.7,9.93,7.55,9.74,153707500,,,,,8.39,8.16,8.06,8.02,完整多头,21.49,,,,,,,,,,9.74
2025-02-13,10.28,10.36,9.06,9.78,126712700,,,,,8.7,8.31,8.12,8.03,完整多头,21.72,,,,,,,,,,9.78
2025-02-14,9.39,9.58,8.56,9.02,84258000,,,,,8.77,8.37,8.16,8.04,完整多头,12.12,,,,,,,,,,9.02
2025-02-18,9.0,9.45,8.27,8.42,59371700,,,,,8.69,8.38,8.16,8.05,混合,4.62,,,,,,,,,,8.42
2025-02-19,8.3,8.48,7.68,7.87,65282100,,,,,8.51,8.33,8.15,8.05,混合,-2.19,,,,,,,,,,7.87
2025-02-20,7.3,7.65,6.73,7.51,55554500,,,,,8.29,8.25,8.13,8.04,混合,-6.61,,,,,,,,,,7.51
2025-02-21,7.75,7.88,6.7,6.79,41455500,8.39,,,,7.95,8.12,8.08,8.03,混合,-15.43,,,,,,,,,,6.79
2025-02-24,6.72,6.74,5.88,5.94,43317600,8.13,,,,7.51,7.92,8.01,8.01,空头排列,-25.82,,,,,,,,,,5.94
2025-02-25,5.78,6.16,5.25,5.6,43421700,7.62,,,,7.08,7.71,7.92,7.98,空头排列,-29.86,,,,,,,,,,5.6
2025-02-26,5.91,6.26,5.53,5.69,39310100,7.11,,,,6.77,7.53,7.84,7.96,空头排列,-28.53,,,,,,,,,,5.69
2025-02-27,5.91,6.03,5.06,5.12,39244300,6.62,,,,6.41,7.31,7.74,7.93,空头排列,-35.46,,,,,,,,,,5.12
2025-02-28,4.99,5.34,4.8,5.16,44205500,6.21,,,,6.13,7.11,7.65,7.91,空头排列,-34.73,,,,,,,,,,5.16
2025-03-03,5.49,5.65,4.69,4.76,56291000,5.82,,,,5.82,6.9,7.55,7.87,空头排列,-39.55,,,,,,,,,,4.76
2025-03-04,4.52,5.0,4.39,4.71,48713400,5.47,,,,5.58,6.7,7.45,7.84,空头排列,-39.94,,26.9,1.06,,,,,,2025-02-12 00:00:00,4.71
2025-03-05,4.73,4.8,4.45,4.8,44050300,5.22,,,,5.4,6.53,7.35,7.81,空头排列,-38.56,,27.8,1.01,,,,,,2025-02-12 00:00:00,4.8
2025-03-06,4.49,4.54,4.1,4.2,55737200,5.0,,,,5.14,6.32,7.24,7.78,空头排列,-45.99,,25.4,0.99,,,,,,2025-02-12 00:00:00,4.2
2025-03-07,3.53,3.54,3.13,3.34,78654600,4.72,,,,4.74,6.05,7.1,7.73,空头排列,-56.8,,22.4,0.99,,,,,,2025-02-12 00:00:00,3.34
