date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-06-05,7.25,7.89,6.8,7.75,875100,,,,,7.75,7.75,7.75,7.75,混合,0.0,,,,,,,,,,7.75
2025-06-06,7.35,7.69,6.31,7.55,241300,,,,,7.7,7.73,7.74,7.75,空头排列,-2.62,,,,,,,,,,7.55
2025-06-09,7.53,7.61,6.36,6.89,286500,,,,,7.52,7.65,7.71,7.74,空头排列,-10.98,,,,,,,,,,6.89
2025-06-10,7.08,7.1,6.67,6.75,47000,,,,,7.35,7.57,7.68,7.73,空头排列,-12.67,,,,,,,,,,6.75
2025-06-11,6.75,6.95,6.3,6.3,44600,,,,,7.12,7.46,7.63,7.72,空头排列,-18.34,,,,,,,,,,6.3
2025-06-12,6.55,6.55,5.55,5.61,103900,,,,,6.78,7.29,7.56,7.69,空头排列,-27.09,,,,,,,,,,5.61
2025-06-13,5.51,5.51,4.82,4.96,113600,,,,,6.38,7.08,7.46,7.67,空头排列,-35.31,,,,,,,,,,4.96
2025-06-16,4.86,5.23,4.5,4.75,70200,6.32,,,,6.02,6.87,7.37,7.64,空头排列,-37.81,,,,,,,,,,4.75
2025-06-17,4.72,5.0,4.6,4.82,105900,5.95,,,,5.75,6.68,7.28,7.61,空头排列,-36.66,,,,,,,,,,4.82
2025-06-18,4.51,4.92,4.4,4.7,52500,5.6,,,,5.52,6.5,7.18,7.58,空头排列,-38.0,,,,,,,,,,4.7
2025-06-20,4.81,4.81,4.45,4.61,54200,5.31,,,,5.32,6.33,7.09,7.55,空头排列,-38.95,,,,,,,,,,4.61
2025-06-23,4.46,4.62,4.37,4.4,67500,5.02,,,,5.11,6.15,7.0,7.52,空头排列,-41.49,,,,,,,,,,4.4
2025-06-24,4.4,4.79,4.37,4.42,45900,4.78,,,,4.96,6.0,6.9,7.49,空头排列,-40.98,,,,,,,,,,4.42
2025-06-25,4.35,4.65,4.3,4.37,12200,4.63,,,,4.83,5.85,6.81,7.46,空头排列,-41.41,,,,,,,,,,4.37
2025-06-26,4.39,4.58,3.92,4.42,26900,4.56,,,,4.74,5.72,6.73,7.43,空头排列,-40.5,,3.9,0.66,,,,,,2025-06-06 00:00:00,4.42
2025-06-27,4.45,4.57,4.07,4.26,27000,4.5,,,,4.63,5.59,6.64,7.4,空头排列,-42.34,,3.7,0.65,,,,,,2025-06-06 00:00:00,4.26
2025-06-30,15.0,34.36,12.38,33.9,110196700,8.14,,,,11.14,8.16,7.61,7.66,混合,342.54,,90.5,2.75,,,,,,2025-06-06 00:00:00,33.9
2025-07-01,52.0,74.8,41.22,46.0,47104900,13.3,,,,18.88,11.6,8.98,8.04,完整多头,472.01,,93.2,5.48,,,,,,2025-06-06 00:00:00,46.0
2025-07-02,51.54,63.58,41.5,58.5,24770400,20.03,,,,27.69,15.86,10.75,8.54,完整多头,584.7,,94.8,6.66,,,,,,2025-06-06 00:00:00,58.5
