date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-09,76556.19,76932.77,75773.79,76778.87,29009480361,,,,,76778.87,76778.87,76778.87,76778.87,混合,0.0,,,,,,,,,,76778.87
2024-11-10,76775.55,81474.42,76565.43,80474.19,82570594495,,,,,77600.05,77114.81,76910.84,76815.64,完整多头,4.76,,,,,,,,,,80474.19
2024-11-11,80471.41,89604.5,80283.25,88701.48,117966845037,,,,,80067.04,78168.14,77331.94,76933.9,完整多头,15.3,,,,,,,,,,88701.48
2024-11-12,88705.56,89956.88,85155.11,87955.81,133673285375,,,,,81820.1,79057.93,77711.36,77043.57,完整多头,14.16,,,,,,,,,,87955.81
2024-11-13,87929.97,93434.35,86256.93,90584.16,123559027869,,,,,83767.67,80105.77,78171.1,77178.31,完整多头,17.37,,,,,,,,,,90584.16
2024-11-14,90574.88,91765.22,86682.81,87250.43,87616705248,,,,,84541.61,80755.28,78495.37,77278.53,完整多头,12.9,,,,,,,,,,87250.43
2024-11-15,87284.18,91868.74,87124.9,91066.01,78243109518,,,,,85991.48,81692.62,78944.32,77415.72,完整多头,17.63,,,,,,,,,,91066.01
2024-11-16,91064.37,91763.95,90094.23,90558.48,44333192814,86671.18,,,,87006.37,82498.61,79359.11,77546.49,完整多头,16.78,,,,,,,,,,90558.48
2024-11-17,90558.46,91433.04,88741.66,89845.85,46350159305,88304.55,,,,87637.36,83166.54,79733.64,77668.87,完整多头,15.68,,,,,,,,,,89845.85
2024-11-18,89843.72,92596.79,89393.59,90542.64,75535775084,89563.11,,,,88282.98,83837.09,80119.67,77796.97,完整多头,16.38,,,,,,,,,,90542.64
2024-11-19,90536.81,94002.87,90426.98,92343.79,74521048295,90018.4,,,,89185.38,84610.43,80556.25,77941.71,完整多头,18.48,,,,,,,,,,92343.79
2024-11-20,92341.89,94902.02,91619.5,94339.49,71730956426,90816.36,,,,90330.74,85494.89,81048.51,78104.87,完整多头,20.79,,,,,,,,,,94339.49
2024-11-21,94334.64,99014.22,94132.6,98504.73,106024505582,91806.43,,,,92147.18,86677.6,81671.94,78307.86,完整多头,25.79,,,,,,,,,,98504.73
2024-11-22,98496.43,99655.5,97222.66,98997.66,78473580551,93274.83,,,,93669.51,87797.61,82290.72,78513.73,完整多头,26.09,,,,,,,,,,98997.66
2024-11-23,99006.74,99014.68,97232.89,97777.28,44414644677,94113.74,,,,94582.35,88704.85,82843.81,78705.4,完整多头,24.23,,80.8,4253.9,,,,,,2024-11-10 00:00:00,97777.28
2024-11-24,97778.09,98647.18,95788.08,98013.82,51712020623,95045.66,,,,95344.9,89551.12,83385.6,78897.53,完整多头,24.23,,81.0,4154.27,,,,,,2024-11-10 00:00:00,98013.82
2024-11-25,98033.45,98935.03,92642.91,93102.3,80909462490,95452.71,,,,94846.54,89873.96,83732.62,79038.87,混合,17.79,,69.5,4306.98,,,,,,2024-11-10 00:00:00,93102.3
2024-11-26,93087.28,94991.75,90770.81,91985.32,91656519855,95633.05,,,,94210.72,90065.9,84027.36,79167.69,混合,16.19,,67.1,4300.83,,,,,,2024-11-10 00:00:00,91985.32
2024-11-27,91978.14,97361.18,91778.66,95962.53,71133452438,96085.39,,,,94600.01,90601.96,84453.62,79334.8,完整多头,20.96,,70.9,4392.38,,,,,,2024-11-10 00:00:00,95962.53
2024-11-28,95954.95,96650.2,94677.35,95652.47,52260008261,96249.51,,,,94833.89,91061.09,84853.58,79497.17,完整多头,20.32,,70.2,4219.56,77084718715.0,0.7,,,,2024-11-10 00:00:00,95652.47
2024-11-29,95653.95,98693.17,95407.88,97461.52,54968682476,96119.11,91804.71,,,95417.81,91642.95,85303.86,79675.92,完整多头,22.32,,71.9,4152.82,78382678821.0,0.7,,,,2024-11-10 00:00:00,97461.52
2024-11-30,97468.81,97499.34,96144.22,96449.05,31634227866,95800.54,92741.38,,,95646.97,92079.87,85701.9,79842.81,完整多头,20.8,,69.5,3952.99,75835860490.0,0.4,,,,2024-11-10 00:00:00,96449.05
2024-12-01,96461.34,97888.12,95770.19,97279.79,36590695296,95738.35,93541.65,,,96009.82,92552.59,86115.4,80016.32,完整多头,21.57,,70.4,3821.91,71767053002.0,0.5,,,,2024-11-10 00:00:00,97279.79
2024-12-02,97276.01,98152.6,94482.87,95865.3,72680784305,95469.79,93882.78,,,95977.71,92853.74,86463.61,80174.02,混合,19.57,,66.9,3811.04,68717427949.0,1.1,,,,2024-11-10 00:00:00,95865.3
2024-12-03,95854.59,96297.2,93629.56,96002.16,67067810961,95832.27,94265.94,,,95983.14,93139.96,86804.27,80331.51,完整多头,19.51,,67.1,3729.37,65892867104.0,1.0,,,,2024-11-10 00:00:00,96002.16
2024-12-04,95988.53,99207.33,94660.52,98768.53,77199817112,96680.17,94655.67,,,96602.12,93651.65,87231.57,80514.96,完整多头,22.67,,70.4,3787.76,65372022697.0,1.2,,,,2024-11-10 00:00:00,98768.53
2024-12-05,98741.54,103900.47,91998.78,96593.57,149218945580,96759.05,95100.59,,,96600.22,93919.1,87565.92,80674.95,混合,19.73,,64.9,4367.33,68920814500.0,2.2,,,,2024-11-10 00:00:00,96593.57
2024-12-06,97074.23,102039.88,96514.88,99920.71,94534772658,97292.58,95522.24,,,97338.11,94464.7,88007.17,80866.45,完整多头,23.56,,68.9,4450.02,71430893492.0,1.3,,,,2024-11-10 00:00:00,99920.71
2024-12-07,99916.71,100563.38,99030.88,99923.34,44177510897,97600.31,95968.18,,,97912.6,94960.94,88432.74,81056.07,完整多头,23.28,,68.9,4241.62,71322261072.0,0.6,,,,2024-11-10 00:00:00,99923.34
2024-12-08,99921.91,101399.99,98771.52,101236.02,44125751925,98198.68,96510.57,,,98651.14,95531.4,88890.0,81256.87,完整多头,24.59,,70.4,4126.4,69751759914.0,0.6,,,,2024-11-10 00:00:00,101236.02
2024-12-09,101237.06,101272.51,94355.91,97432.72,110676473908,98217.79,96838.67,,,98380.38,95704.25,89195.1,81417.82,混合,19.67,,61.0,4325.7,71559531194.0,1.5,,,,2024-11-10 00:00:00,97432.72
2024-12-10,97441.23,98270.16,94321.26,96675.43,104823780634,98319.06,97044.94,,,98001.5,95792.54,89462.25,81569.64,混合,18.52,,59.3,4298.78,73214172405.0,1.4,,,,2024-11-10 00:00:00,96675.43
2024-12-11,96656.06,101913.36,95747.23,101173.03,85391409936,98965.42,97370.35,,,98706.29,96281.67,89880.5,81764.7,完整多头,23.74,,65.5,4432.17,72182517622.0,1.2,,,,2024-11-10 00:00:00,101173.03
2024-12-12,101167.8,102524.91,99339.95,100043.0,72073983533,99124.73,97443.6,,,99003.33,96623.61,90243.44,81946.57,完整多头,22.08,,62.9,4343.08,71862537772.0,1.0,,,,2024-11-10 00:00:00,100043.0
2024-12-13,100046.65,101888.8,99233.28,101459.26,56894751583,99732.94,97560.82,,,99549.09,97063.22,90644.01,82140.73,完整多头,23.52,,64.8,4222.54,72486543117.0,0.8,,,,2024-11-10 00:00:00,101459.26
2024-12-14,101451.44,102618.88,100634.05,101372.97,40422968793,99914.47,97732.04,,,99954.4,97455.01,91027.19,82332.09,完整多头,23.13,,64.5,4062.7,71922090525.0,0.6,,,,2024-11-10 00:00:00,101372.97
2024-12-15,101373.53,105047.54,101227.03,104298.7,51145914137,100461.39,98031.32,,,100919.8,98077.17,91501.17,82550.66,完整多头,26.35,,68.4,4045.4,70433913108.0,0.7,,,,2024-11-10 00:00:00,104298.7
