date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-12-31,262.97,263.66,246.37,248.3,5414900,,,,,248.3,248.3,248.3,248.3,混合,0.0,,,,,,,,,,248.3
2025-01-02,256.48,262.31,251.0,257.21,6289500,,,,,250.28,249.11,248.62,248.39,完整多头,3.55,,,,,,,,,,257.21
2025-01-03,259.89,271.59,258.59,270.65,5990800,,,,,254.81,251.07,249.41,248.61,完整多头,8.87,,,,,,,,,,270.65
2025-01-06,279.07,293.6,271.75,287.76,10835000,,,,,262.13,254.4,250.77,249.0,完整多头,15.57,,,,,,,,,,287.76
2025-01-07,286.74,287.58,260.24,264.33,11614700,,,,,262.62,255.31,251.26,249.15,完整多头,6.09,,,,,,,,,,264.33
2025-01-08,263.88,267.0,252.99,260.01,5951100,,,,,262.04,255.73,251.57,249.26,混合,4.31,,,,,,,,,,260.01
2025-01-10,257.77,261.87,248.05,258.78,5579200,,,,,261.31,256.01,251.83,249.36,混合,3.78,,,,,,,,,,258.78
2025-01-13,246.98,251.81,240.77,251.2,7019500,262.28,,,,259.07,255.57,251.81,249.37,混合,0.73,,,,,,,,,,251.2
2025-01-14,261.73,263.0,251.0,255.37,5704100,263.16,,,,258.25,255.55,251.93,249.43,混合,2.38,,,,,,,,,,255.37
2025-01-15,266.87,278.32,264.44,274.93,9113900,265.38,,,,261.95,257.32,252.76,249.69,完整多头,10.11,,,,,,,,,,274.93
2025-01-16,274.0,285.02,268.14,281.63,6751100,266.75,,,,266.33,259.53,253.79,250.0,完整多头,12.65,,,,,,,,,,281.63
2025-01-17,292.0,300.35,289.33,295.48,11290100,267.72,,,,272.8,262.8,255.28,250.46,完整多头,17.98,,,,,,,,,,295.48
2025-01-21,298.52,303.1,273.62,294.19,12912400,271.45,,,,277.56,265.65,256.67,250.89,完整多头,17.26,,,,,,,,,,294.19
2025-01-22,290.46,298.8,286.28,295.85,6668900,275.93,,,,281.62,268.39,258.06,251.34,完整多头,17.71,,,,,,,,,,295.85
2025-01-23,289.74,303.56,287.9,296.01,11534800,280.58,,,,284.82,270.91,259.42,251.78,完整多头,17.57,,69.3,18.07,,,,,,2025-01-02 00:00:00,296.01
2025-01-24,300.0,310.61,297.62,298.0,9763300,286.43,,,,287.75,273.37,260.8,252.24,完整多头,18.14,,69.9,17.82,,,,,,2025-01-02 00:00:00,298.0
2025-01-27,283.7,289.78,265.2,277.99,12238800,289.26,,,,285.58,273.79,261.41,252.5,混合,10.1,,59.0,18.89,,,,,,2025-01-02 00:00:00,277.99
2025-01-28,280.5,284.84,276.0,281.82,4516600,290.12,,,,284.74,274.52,262.14,252.79,混合,11.48,,60.2,18.17,,,,,,2025-01-02 00:00:00,281.82
2025-01-29,281.82,294.38,277.01,291.0,6255900,291.29,,,,286.13,276.02,263.17,253.17,完整多头,14.94,,63.2,18.11,,,,,,2025-01-02 00:00:00,291.0
