date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-06-05,69.0,103.75,64.0,83.23,47192000,,,,,83.23,83.23,83.23,83.23,混合,0.0,,,,,,,,,,83.23
2025-06-06,96.39,123.51,92.95,107.7,60706300,,,,,88.67,85.45,84.1,83.47,完整多头,29.02,,,,,,,,,,107.7
2025-06-09,132.72,138.57,108.4,115.25,45521100,,,,,94.57,88.16,85.22,83.79,完整多头,37.55,,,,,,,,,,115.25
2025-06-10,115.0,115.0,101.51,105.91,25517800,,,,,97.09,89.78,85.96,84.01,完整多头,26.07,,,,,,,,,,105.91
2025-06-11,107.0,120.49,106.5,117.2,26481400,,,,,101.56,92.27,87.07,84.34,完整多头,38.96,,,,,,,,,,117.2
2025-06-12,116.79,117.93,104.26,106.54,13416500,,,,,102.67,93.57,87.77,84.56,完整多头,25.99,,,,,,,,,,106.54
2025-06-13,108.81,134.72,108.8,133.56,34013600,,,,,109.53,97.2,89.4,85.05,完整多头,57.04,,,,,,,,,,133.56
2025-06-16,147.54,165.6,145.88,151.06,43781500,115.06,,,,118.76,102.1,91.6,85.71,完整多头,76.26,,,,,,,,,,151.06
2025-06-17,156.36,164.42,143.53,149.15,31234200,123.3,,,,125.51,106.38,93.66,86.34,完整多头,72.75,,,,,,,,,,149.15
2025-06-18,153.22,200.9,148.0,199.59,63566800,134.78,,,,141.98,114.85,97.44,87.46,完整多头,128.2,,,,,,,,,,199.59
2025-06-20,231.5,248.88,206.17,240.28,92427200,150.41,,,,163.82,126.25,102.54,88.98,完整多头,170.03,,,,,,,,,,240.28
2025-06-23,238.46,298.99,232.48,263.45,99128700,170.1,,,,185.96,138.73,108.29,90.72,完整多头,190.4,,,,,,,,,,263.45
2025-06-24,250.42,265.0,217.58,222.65,68222600,183.28,,,,194.11,146.35,112.37,92.03,完整多头,141.92,,,,,,,,,,222.65
2025-06-25,218.54,227.54,198.0,198.62,49283200,194.79,,,,195.12,151.11,115.45,93.09,完整多头,113.36,,,,,,,,,,198.62
2025-06-26,209.04,226.95,205.68,213.63,45550300,204.8,,,,199.23,156.79,118.96,94.29,完整多头,126.56,,71.5,33.45,,,,,,2025-06-06 00:00:00,213.63
2025-06-27,223.65,223.65,175.6,180.43,48112100,208.47,,,,195.05,158.94,121.16,95.15,混合,89.63,,63.9,34.49,,,,,,2025-06-06 00:00:00,180.43
2025-06-30,181.77,192.5,178.0,181.29,34461500,212.49,,,,191.99,160.97,123.3,96.01,混合,88.83,,64.0,33.06,,,,,,2025-06-06 00:00:00,181.29
2025-07-01,184.67,194.0,171.5,192.53,31252100,211.61,,,,192.11,163.84,125.78,96.97,完整多头,98.55,,65.5,32.31,,,,,,2025-06-06 00:00:00,192.53
2025-07-02,187.21,189.0,176.0,177.97,18546000,203.82,,,,188.97,165.12,127.64,97.77,混合,82.02,,62.0,31.18,,,,,,2025-06-06 00:00:00,177.97
2025-07-03,182.17,192.5,181.39,188.77,17192000,194.49,,,,188.93,167.27,129.82,98.68,混合,91.3,,63.6,29.99,44780345.0,0.4,,,,2025-06-06 00:00:00,188.77
2025-07-07,193.75,208.6,186.6,207.46,31640800,192.59,168.39,,,193.04,170.93,132.6,99.76,完整多头,107.96,,66.1,29.42,44002785.0,0.7,,,,2025-06-06 00:00:00,207.46
2025-07-08,199.5,209.5,196.0,204.81,22225500,193.36,174.18,,,195.66,174.01,135.18,100.81,完整多头,103.17,,65.4,28.28,42078745.0,0.5,,,,2025-06-06 00:00:00,204.81
2025-07-09,209.36,215.6,197.25,200.68,17934400,191.74,178.61,,,196.77,176.43,137.51,101.8,完整多头,97.13,,64.3,27.57,40699410.0,0.4,,,,2025-06-06 00:00:00,200.68
2025-07-10,208.84,209.57,199.0,202.9,12340100,194.55,182.78,,,198.14,178.84,139.85,102.81,完整多头,97.36,,64.6,26.36,40040525.0,0.3,,,,2025-06-06 00:00:00,202.9
2025-07-11,204.18,206.8,182.5,187.33,18227400,195.31,186.66,,,195.73,179.61,141.55,103.65,混合,80.74,,60.1,26.21,39627825.0,0.5,,,,2025-06-06 00:00:00,187.33
2025-07-14,189.27,204.91,185.54,204.7,15445200,196.83,190.83,,,197.73,181.89,143.8,104.65,完整多头,95.6,,63.2,25.72,39729260.0,0.4,,,,2025-06-06 00:00:00,204.7
2025-07-15,198.0,203.46,188.1,195.33,14758500,199.0,195.06,,,197.19,183.11,145.64,105.55,混合,85.05,,60.5,25.07,38766505.0,0.4,,,,2025-06-06 00:00:00,195.33
2025-07-16,203.05,239.7,201.32,233.2,43669500,204.55,199.8,,,205.2,187.67,148.77,106.83,完整多头,118.3,,66.7,26.45,38760905.0,1.1,,,,2025-06-06 00:00:00,233.2
