date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-03-28,39.0,41.94,37.46,40.0,41091100,,,,,40.0,40.0,40.0,40.0,混合,0.0,,,,,,,,,,40.0
2025-03-31,38.49,38.49,36.0,37.08,15194800,,,,,39.35,39.73,39.9,39.97,空头排列,-7.23,,,,,,,,,,37.08
2025-04-01,38.5,53.27,37.2,52.57,38327800,,,,,42.29,40.9,40.35,40.1,完整多头,31.11,,,,,,,,,,52.57
2025-04-02,55.91,64.62,51.4,61.36,52666800,,,,,46.53,42.76,41.1,40.31,完整多头,52.23,,,,,,,,,,61.36
2025-04-03,55.39,57.65,48.26,53.8,27120600,,,,,48.14,43.76,41.55,40.44,完整多头,33.03,,,,,,,,,,53.8
2025-04-04,49.6,51.0,43.51,47.82,14469600,,,,,48.07,44.13,41.78,40.52,混合,18.03,,,,,,,,,,47.82
2025-04-07,43.88,52.0,42.16,49.85,11414700,,,,,48.47,44.65,42.06,40.61,完整多头,22.76,,,,,,,,,,49.85
2025-04-08,54.15,54.8,42.36,43.61,13657200,48.26,,,,47.39,44.56,42.12,40.64,混合,7.31,,,,,,,,,,43.61
2025-04-09,43.72,49.88,39.12,48.77,17229700,49.36,,,,47.69,44.94,42.36,40.72,完整多头,19.77,,,,,,,,,,48.77
2025-04-10,46.9,47.0,41.84,42.2,9404300,50.0,,,,46.47,44.69,42.35,40.73,混合,3.6,,,,,,,,,,42.2
2025-04-11,42.5,44.88,41.02,43.75,5579500,48.89,,,,45.87,44.61,42.4,40.76,混合,7.33,,,,,,,,,,43.75
2025-04-14,46.79,46.85,42.4,43.61,4827000,46.68,,,,45.37,44.52,42.44,40.79,混合,6.91,,,,,,,,,,43.61
2025-04-15,43.56,44.74,40.0,40.78,6841300,45.05,,,,44.35,44.18,42.39,40.79,混合,-0.03,,,,,,,,,,40.78
2025-04-16,40.17,40.84,38.26,40.73,7206800,44.16,,,,43.54,43.86,42.33,40.79,混合,-0.15,,,,,,,,,,40.73
2025-04-17,41.05,41.63,38.35,39.09,4844600,42.82,,,,42.55,43.43,42.21,40.77,混合,-4.13,,49.3,8.26,,,,,,2025-03-31 00:00:00,39.09
2025-04-21,38.62,38.64,33.51,35.42,8116200,41.79,,,,40.97,42.7,41.97,40.72,混合,-13.03,,46.6,8.07,,,,,,2025-03-31 00:00:00,35.42
2025-04-22,36.98,39.61,36.0,38.51,9589300,40.51,,,,40.42,42.32,41.84,40.7,混合,-5.38,,49.1,7.79,,,,,,2025-03-31 00:00:00,38.51
2025-04-23,42.08,43.95,40.16,41.62,7651500,40.44,,,,40.69,42.26,41.84,40.71,混合,2.24,,51.7,7.63,,,,,,2025-03-31 00:00:00,41.62
2025-04-24,42.55,43.5,38.8,41.77,9376700,40.19,,,,40.93,42.21,41.83,40.72,混合,2.58,,51.8,7.42,,,,,,2025-03-31 00:00:00,41.77
2025-04-25,41.95,44.36,40.9,41.54,8765600,39.93,,,,41.06,42.15,41.82,40.73,混合,2.0,,51.6,7.13,15668755.0,0.6,,,,2025-03-31 00:00:00,41.54
2025-04-28,42.01,43.33,39.78,42.02,5194600,40.09,44.09,,,41.28,42.14,41.83,40.74,混合,3.14,,52.0,6.88,13873930.0,0.4,,,,2025-03-31 00:00:00,42.02
2025-04-29,42.21,46.45,41.01,42.82,10493600,40.35,44.22,,,41.62,42.2,41.87,40.76,混合,5.05,,52.8,6.78,13638870.0,0.8,,,,2025-03-31 00:00:00,42.82
2025-04-30,41.0,41.51,39.5,41.3,6100200,40.62,44.43,,,41.55,42.12,41.85,40.77,混合,1.31,,51.1,6.53,12027490.0,0.5,,,,2025-03-31 00:00:00,41.3
2025-05-01,47.03,48.35,44.03,44.32,13001600,41.74,44.03,,,42.16,42.32,41.93,40.8,混合,8.62,,54.3,6.57,10044230.0,1.3,,,,2025-03-31 00:00:00,44.32
2025-05-02,46.94,51.82,45.8,51.57,9199600,43.37,43.57,,,44.25,43.16,42.28,40.91,完整多头,26.06,,60.9,6.63,9148180.0,1.0,,,,2025-03-31 00:00:00,51.57
2025-05-05,50.43,52.78,49.7,51.01,6432300,44.54,43.43,,,45.76,43.87,42.59,41.01,完整多头,24.39,,60.2,6.38,8746315.0,0.7,,,,2025-03-31 00:00:00,51.01
2025-05-06,49.36,54.83,49.06,54.29,9644400,46.11,43.74,,,47.65,44.82,43.01,41.14,完整多头,31.97,,63.0,6.34,8657800.0,1.1,,,,2025-03-31 00:00:00,54.29
2025-05-07,54.91,54.91,51.4,53.6,5940300,47.62,43.92,,,48.97,45.62,43.39,41.27,完整多头,29.89,,62.0,6.13,8271955.0,0.7,,,,2025-03-31 00:00:00,53.6
2025-05-08,54.71,55.7,52.77,55.0,6264000,49.24,44.46,,,50.31,46.47,43.8,41.4,完整多头,32.84,,63.3,5.9,7723670.0,0.8,,,,2025-03-31 00:00:00,55.0
2025-05-09,55.96,56.82,50.18,51.37,7948900,50.31,44.59,,,50.55,46.92,44.07,41.5,完整多头,23.78,,57.9,5.96,7650900.0,1.0,,,,2025-03-31 00:00:00,51.37
2025-05-12,54.3,59.44,52.9,58.49,10619000,52.46,45.36,,,52.31,47.97,44.59,41.67,完整多头,40.36,,64.3,6.11,7902875.0,1.3,,,,2025-03-31 00:00:00,58.49
2025-05-13,57.6,64.87,57.32,63.26,10125900,54.82,46.29,,,54.75,49.36,45.25,41.88,完整多头,51.03,,67.8,6.21,8167820.0,1.2,,,,2025-03-31 00:00:00,63.26
2025-05-14,66.0,68.5,64.0,67.46,25124600,56.81,47.43,,,57.57,51.0,46.05,42.14,完整多头,60.09,,70.5,6.14,9081985.0,2.8,,,,2025-03-31 00:00:00,67.46
2025-05-15,68.87,72.97,61.33,65.77,36202100,58.66,48.62,,,59.39,52.35,46.75,42.37,完整多头,55.21,,68.0,6.53,10531750.0,3.4,,,,2025-03-31 00:00:00,65.77
2025-05-16,68.07,84.0,67.55,80.3,42984000,61.91,50.5,,,64.04,54.89,47.95,42.75,完整多头,87.83,,76.0,7.37,12438720.0,3.5,,,,2025-03-31 00:00:00,80.3
2025-05-19,76.9,88.9,76.08,86.59,33360500,66.03,52.76,,,69.05,57.77,49.33,43.19,完整多头,100.49,,78.4,7.76,13700935.0,2.4,,,,2025-03-31 00:00:00,86.59
2025-05-20,89.67,96.35,83.31,90.24,34969200,70.43,55.37,,,73.76,60.72,50.79,43.66,完整多头,106.71,,79.8,8.14,14969930.0,2.3,,,,2025-03-31 00:00:00,90.24
2025-05-21,89.46,109.49,89.3,107.39,61681600,77.44,58.65,,,81.23,64.96,52.81,44.29,完整多头,142.47,,84.5,9.0,17671435.0,3.5,,,,2025-03-31 00:00:00,107.39
2025-05-22,112.14,116.54,99.51,100.16,61046900,82.65,61.44,,,85.44,68.16,54.5,44.85,完整多头,123.34,,76.4,9.57,20254945.0,3.0,,,,2025-03-31 00:00:00,100.16
2025-05-23,98.0,106.79,97.1,102.74,31097600,87.58,64.34,,,89.28,71.31,56.23,45.42,完整多头,126.19,,77.2,9.58,21371545.0,1.5,,,,2025-03-31 00:00:00,102.74
2025-05-27,109.27,125.02,107.97,123.97,38032000,94.64,68.27,,,96.99,76.09,58.64,46.2,完整多头,168.31,,82.7,10.49,23013415.0,1.7,,,,2025-03-31 00:00:00,123.97
2025-05-28,123.75,123.75,113.0,116.15,27833900,100.94,71.8,,,101.25,79.74,60.7,46.9,完整多头,147.65,,75.5,10.52,23880430.0,1.2,,,,2025-03-31 00:00:00,116.15
2025-05-29,123.5,130.76,105.53,105.55,38491000,104.1,74.79,,,102.2,82.08,62.3,47.48,完整多头,122.29,,67.0,11.57,25499970.0,1.5,,,,2025-03-31 00:00:00,105.55
2025-05-30,109.0,111.95,104.9,111.31,23532800,107.19,78.12,,,104.23,84.74,64.05,48.12,完整多头,131.32,,69.0,11.25,26026530.0,0.9,,,,2025-03-31 00:00:00,111.31
2025-06-02,116.29,123.66,114.0,120.2,26269100,110.93,81.73,,,107.78,87.96,66.06,48.84,完整多头,146.13,,71.9,11.33,26880005.0,1.0,,,,2025-03-31 00:00:00,120.2
2025-06-03,125.3,150.88,124.7,150.48,53920700,116.32,86.44,,,117.27,93.65,69.07,49.85,完整多头,201.88,,79.1,12.71,29254425.0,1.8,,,,2025-03-31 00:00:00,150.48
2025-06-04,155.88,166.63,144.3,163.1,55448700,124.19,91.78,,,127.45,99.96,72.43,50.97,完整多头,219.97,,81.2,13.4,31544640.0,1.8,,,,2025-03-31 00:00:00,163.1
2025-06-05,156.0,157.46,132.8,135.05,50579600,128.23,95.63,,,129.14,103.15,74.67,51.81,完整多头,160.66,,65.2,14.6,33776605.0,1.5,,,,2025-03-31 00:00:00,135.05
2025-06-06,144.93,148.79,138.59,140.16,23229900,130.25,99.75,,,131.59,106.52,77.0,52.69,完整多头,166.01,,66.5,14.54,34624900.0,0.7,,,,2025-03-31 00:00:00,140.16
2025-06-09,147.8,163.29,144.14,162.1,29451700,135.99,104.85,,,138.37,111.57,80.04,53.78,完整多头,201.42,,71.4,15.16,35700040.0,0.8,,,,2025-03-31 00:00:00,162.1
2025-06-10,156.5,158.3,149.0,154.9,24264300,142.16,109.78,,,142.04,115.51,82.72,54.78,完整多头,182.74,,67.9,15.01,36382305.0,0.7,,,,2025-03-31 00:00:00,154.9
2025-06-11,160.01,166.03,145.5,149.7,25772800,146.96,114.12,,,143.74,118.62,85.11,55.73,完整多头,168.62,,65.4,15.4,37164650.0,0.7,,,,2025-03-31 00:00:00,149.7
2025-06-12,153.7,154.8,142.5,148.97,15249000,150.56,118.2,,,144.91,121.38,87.39,56.66,完整多头,162.93,,65.0,15.18,36670870.0,0.4,,,,2025-03-31 00:00:00,148.97
2025-06-13,143.24,154.5,142.5,147.19,16515200,150.15,122.0,,,145.41,123.72,89.53,57.56,完整多头,155.73,,64.1,14.95,35686525.0,0.5,,,,2025-03-31 00:00:00,147.19
2025-06-16,148.6,158.5,143.48,158.5,19757100,149.57,126.42,77.83,,148.32,126.88,91.99,58.56,完整多头,170.65,,67.3,14.96,34525180.0,0.6,,,,2025-03-31 00:00:00,158.5
