date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-04-14,19.35,19.41,18.42,18.93,3359200,,,,,18.93,18.93,18.93,18.93,混合,0.0,,,,,,,,,,18.93
2025-04-15,18.92,20.25,18.71,19.96,6468500,,,,,19.16,19.02,18.97,18.94,完整多头,5.38,,,,,,,,,,19.96
2025-04-16,19.61,20.45,19.19,19.74,4516200,,,,,19.29,19.09,18.99,18.95,完整多头,4.18,,,,,,,,,,19.74
2025-04-17,20.05,22.77,19.82,22.04,12034500,,,,,19.9,19.36,19.1,18.98,完整多头,16.13,,,,,,,,,,22.04
2025-04-21,21.33,22.56,20.7,22.49,5954500,,,,,20.48,19.64,19.22,19.01,完整多头,18.28,,,,,,,,,,22.49
2025-04-22,22.83,24.61,22.43,23.65,9123600,,,,,21.18,20.01,19.38,19.06,完整多头,24.08,,,,,,,,,,23.65
2025-04-23,25.0,26.79,24.51,26.38,14753600,,,,,22.34,20.59,19.63,19.13,完整多头,37.88,,,,,,,,,,26.38
2025-04-24,26.27,26.75,25.44,26.15,8017900,22.42,,,,23.18,21.09,19.86,19.2,完整多头,36.18,,,,,,,,,,26.15
2025-04-25,26.0,27.29,25.66,26.14,6643400,23.32,,,,23.84,21.55,20.09,19.27,完整多头,35.64,,,,,,,,,,26.14
2025-04-28,26.25,26.5,25.22,25.83,3213600,24.05,,,,24.28,21.94,20.29,19.34,完整多头,33.58,,,,,,,,,,25.83
2025-04-29,25.74,26.23,24.77,24.98,3687200,24.71,,,,24.44,22.22,20.46,19.39,完整多头,28.81,,,,,,,,,,24.98
2025-04-30,24.13,24.59,23.28,24.54,2898900,25.02,,,,24.46,22.43,20.61,19.44,完整多头,26.21,,,,,,,,,,24.54
2025-05-01,24.51,25.19,24.45,24.73,2894700,25.3,,,,24.52,22.64,20.75,19.5,完整多头,26.84,,,,,,,,,,24.73
2025-05-02,24.81,25.9,24.75,25.47,3287100,25.53,,,,24.73,22.89,20.92,19.56,完整多头,30.24,,,,,,,,,,25.47
2025-05-05,25.1,25.18,24.2,24.26,2576900,25.26,,,,24.63,23.02,21.04,19.6,混合,23.76,,72.5,1.68,,,,,,2025-04-15 00:00:00,24.26
2025-05-06,23.98,24.23,23.63,23.8,1990900,24.97,,,,24.44,23.09,21.14,19.64,混合,21.15,,69.5,1.61,,,,,,2025-04-15 00:00:00,23.8
2025-05-07,23.86,24.53,23.72,24.2,2283200,24.73,,,,24.39,23.19,21.25,19.69,混合,22.9,,70.7,1.55,,,,,,2025-04-15 00:00:00,24.2
2025-05-08,24.62,25.62,24.44,25.14,3263100,24.64,,,,24.56,23.37,21.39,19.74,完整多头,27.33,,73.1,1.54,,,,,,2025-04-15 00:00:00,25.14
2025-05-09,25.28,25.83,24.78,24.89,2613800,24.63,,,,24.63,23.51,21.51,19.8,完整多头,25.73,,71.4,1.51,,,,,,2025-04-15 00:00:00,24.89
2025-05-12,26.44,26.59,25.33,25.65,4208300,24.77,,,,24.86,23.7,21.66,19.85,完整多头,29.19,,73.4,1.52,5189455.0,0.8,,,,2025-04-15 00:00:00,25.65
2025-05-13,25.85,26.46,25.67,26.32,4233000,24.97,24.06,,,25.18,23.94,21.83,19.92,完整多头,32.14,,75.1,1.47,5233145.0,0.8,,,,2025-04-15 00:00:00,26.32
2025-05-14,26.98,27.78,25.97,26.03,4947500,25.04,24.4,,,25.37,24.13,21.98,19.98,完整多头,30.29,,73.0,1.49,5157095.0,1.0,,,,2025-04-15 00:00:00,26.03
2025-05-15,25.65,25.73,24.69,24.98,2822600,25.13,24.64,,,25.28,24.21,22.09,20.03,混合,24.72,,65.6,1.48,5072415.0,0.6,,,,2025-04-15 00:00:00,24.98
2025-05-16,25.0,25.92,24.96,25.64,2691600,25.36,24.92,,,25.36,24.34,22.21,20.08,完整多头,27.66,,67.8,1.45,4605270.0,0.6,,,,2025-04-15 00:00:00,25.64
2025-05-19,24.84,25.41,24.75,25.07,1945200,25.46,25.06,,,25.3,24.4,22.31,20.13,混合,24.51,,64.0,1.41,4404805.0,0.4,,,,2025-04-15 00:00:00,25.07
2025-05-20,25.05,25.1,24.44,24.89,1933300,25.43,25.18,,,25.21,24.45,22.41,20.18,混合,23.33,,62.8,1.35,4045290.0,0.5,,,,2025-04-15 00:00:00,24.89
2025-05-21,24.53,25.18,24.24,24.47,1954100,25.38,25.22,,,25.04,24.45,22.48,20.22,混合,20.99,,60.0,1.32,3405315.0,0.6,,,,2025-04-15 00:00:00,24.47
2025-05-22,24.53,25.08,24.47,24.58,2100100,25.25,25.13,,,24.94,24.46,22.55,20.27,混合,21.28,,60.5,1.27,3109425.0,0.7,,,,2025-04-15 00:00:00,24.58
2025-05-23,24.31,25.84,24.23,25.72,4094700,25.17,25.11,,,25.11,24.58,22.67,20.32,完整多头,26.56,,65.3,1.3,2981990.0,1.4,,,,2025-04-15 00:00:00,25.72
2025-05-27,26.75,27.0,22.64,23.05,50313700,24.8,24.96,,,24.66,24.44,22.68,20.35,混合,13.27,,49.9,1.52,5336995.0,9.4,,,,2025-04-15 00:00:00,23.05
2025-05-28,23.5,23.93,21.41,21.49,19781000,24.36,24.76,,,23.95,24.17,22.64,20.36,混合,5.55,,43.5,1.59,6141685.0,3.2,,,,2025-04-15 00:00:00,21.49
2025-05-29,21.74,22.19,20.57,20.83,11331700,23.76,24.56,,,23.26,23.87,22.57,20.37,混合,2.28,,41.1,1.59,6563325.0,1.7,,,,2025-04-15 00:00:00,20.83
2025-05-30,20.58,22.41,19.9,21.33,23749500,23.29,24.41,,,22.83,23.64,22.53,20.37,混合,4.69,,43.6,1.66,7606065.0,3.1,,,,2025-04-15 00:00:00,21.33
2025-06-02,21.25,21.46,20.68,21.39,9080800,22.86,24.25,,,22.51,23.43,22.49,20.38,混合,4.93,,43.9,1.59,7895750.0,1.2,,,,2025-04-15 00:00:00,21.39
2025-06-03,21.94,22.4,21.28,21.84,11859300,22.53,24.07,,,22.36,23.29,22.47,20.4,混合,7.06,,46.3,1.56,8359870.0,1.4,,,,2025-04-15 00:00:00,21.84
2025-06-04,21.98,22.3,21.5,21.88,7932100,22.19,23.96,,,22.25,23.16,22.45,20.41,混合,7.18,,46.6,1.5,8656930.0,0.9,,,,2025-04-15 00:00:00,21.88
2025-06-05,21.69,21.83,19.77,20.12,12352300,21.49,23.79,,,21.78,22.88,22.36,20.41,混合,-1.43,,39.0,1.55,9160385.0,1.3,,,,2025-04-15 00:00:00,20.12
2025-06-06,20.35,21.2,20.35,20.9,7072600,21.22,23.63,,,21.58,22.7,22.31,20.42,混合,2.37,,43.4,1.51,9350860.0,0.8,,,,2025-04-15 00:00:00,20.9
2025-06-09,21.14,21.65,20.71,21.22,6739900,21.19,23.44,,,21.5,22.57,22.27,20.42,混合,3.9,,45.1,1.47,9557165.0,0.7,,,,2025-04-15 00:00:00,21.22
2025-06-10,21.36,21.5,20.79,20.91,5700000,21.2,23.25,,,21.37,22.42,22.22,20.43,混合,2.36,,43.7,1.42,9631750.0,0.6,,,,2025-04-15 00:00:00,20.91
2025-06-11,21.05,21.49,20.5,20.52,5997900,21.1,23.01,,,21.18,22.24,22.16,20.43,混合,0.44,,41.9,1.39,9719995.0,0.6,,,,2025-04-15 00:00:00,20.52
2025-06-12,20.35,20.43,19.86,19.93,5551200,20.91,22.7,,,20.9,22.03,22.08,20.42,混合,-2.42,,39.3,1.34,9750180.0,0.6,,,,2025-04-15 00:00:00,19.93
2025-06-13,19.5,20.36,19.08,19.52,6015200,20.62,22.39,,,20.6,21.81,21.99,20.42,混合,-4.39,,37.6,1.33,9909810.0,0.6,,,,2025-04-15 00:00:00,19.52
2025-06-16,19.78,19.83,18.58,18.67,22816200,20.22,22.09,,,20.17,21.52,21.87,20.4,混合,-8.47,,34.2,1.33,10916040.0,2.1,,,,2025-04-15 00:00:00,18.67
2025-06-17,18.82,19.06,18.43,18.51,7588700,20.02,21.75,,,19.8,21.25,21.75,20.38,混合,-9.17,,33.6,1.28,11198215.0,0.7,,,,2025-04-15 00:00:00,18.51
2025-06-18,18.41,18.94,18.33,18.57,7375300,19.73,21.44,,,19.53,21.0,21.64,20.36,混合,-8.8,,34.1,1.23,11470315.0,0.6,,,,2025-04-15 00:00:00,18.57
2025-06-20,18.57,18.69,17.77,17.83,10967000,19.31,21.11,,,19.15,20.71,21.5,20.34,混合,-12.32,,31.1,1.21,11920960.0,0.9,,,,2025-04-15 00:00:00,17.83
2025-06-23,18.59,18.7,17.49,17.89,14827300,18.93,20.8,,,18.87,20.46,21.37,20.31,混合,-11.92,,31.6,1.21,12557320.0,1.2,,,,2025-04-15 00:00:00,17.89
2025-06-24,18.34,18.67,18.1,18.21,8915600,18.64,20.49,,,18.72,20.25,21.26,20.29,混合,-10.26,,34.5,1.18,12798365.0,0.7,,,,2025-04-15 00:00:00,18.21
2025-06-25,18.4,18.75,17.72,17.74,8136500,18.37,20.11,,,18.5,20.03,21.13,20.27,混合,-12.46,,32.3,1.17,10689505.0,0.8,,,,2025-04-15 00:00:00,17.74
