date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-04-14,162.31,164.03,159.92,161.47,18255900,,,,,161.47,161.47,161.47,161.47,混合,0.0,,,,,,,,,,161.47
2025-04-15,161.57,162.05,157.65,158.68,15690800,,,,,160.85,161.22,161.37,161.44,空头排列,-1.71,,,,,,,,,,158.68
2025-04-16,155.47,158.18,153.91,155.5,16921500,,,,,159.66,160.7,161.16,161.38,空头排列,-3.65,,,,,,,,,,155.5
2025-04-17,156.61,157.07,150.9,153.36,19513400,,,,,158.26,160.03,160.88,161.3,空头排列,-4.92,,,,,,,,,,153.36
2025-04-21,150.96,151.06,148.4,149.86,16147800,,,,,156.39,159.11,160.49,161.19,空头排列,-7.03,,,,,,,,,,149.86
2025-04-22,151.07,154.61,150.87,153.9,15910300,,,,,155.84,158.63,160.25,161.12,空头排列,-4.48,,,,,,,,,,153.9
2025-04-23,157.91,160.02,156.35,157.72,18575700,,,,,156.26,158.55,160.16,161.08,混合,-2.09,,,,,,,,,,157.72
2025-04-24,158.52,161.71,158.09,161.47,30787500,156.49,,,,157.42,158.81,160.21,161.09,混合,0.24,,,,,,,,,,161.47
2025-04-25,167.1,168.24,163.0,163.85,35148100,156.79,,,,158.85,159.27,160.34,161.11,混合,1.7,,,,,,,,,,163.85
2025-04-28,164.26,164.95,160.38,162.42,20871200,157.26,,,,159.64,159.56,160.41,161.13,混合,0.8,,,,,,,,,,162.42
2025-04-29,162.04,162.68,159.39,162.06,15955200,158.08,,,,160.18,159.79,160.47,161.14,混合,0.57,,,,,,,,,,162.06
2025-04-30,159.86,161.37,157.15,160.89,20639500,159.02,,,,160.34,159.89,160.49,161.13,混合,-0.15,,,,,,,,,,160.89
2025-05-01,162.52,163.94,160.93,162.79,21904300,160.64,,,,160.88,160.15,160.57,161.15,混合,1.02,,,,,,,,,,162.79
2025-05-02,164.96,166.7,163.66,165.81,16844900,162.13,,,,161.98,160.66,160.76,161.2,混合,2.86,,,,,,,,,,165.81
2025-05-05,164.51,167.1,164.47,166.05,15309300,163.17,,,,162.88,161.15,160.95,161.25,混合,2.98,,56.8,4.59,,,,,,2025-04-15 00:00:00,166.05
2025-05-06,163.96,166.74,163.13,165.2,10691900,163.63,,,,163.4,161.52,161.1,161.28,混合,2.43,,55.3,4.52,,,,,,2025-04-15 00:00:00,165.2
2025-05-07,166.07,166.99,149.49,152.8,78729800,162.25,,,,161.04,160.73,160.8,161.2,混合,-5.21,,39.1,5.45,,,,,,2025-04-15 00:00:00,152.8
2025-05-08,155.92,157.41,154.1,155.75,38387500,161.42,,,,159.87,160.28,160.62,161.15,空头排列,-3.35,,43.3,5.39,,,,,,2025-04-15 00:00:00,155.75
2025-05-09,155.55,156.43,153.83,154.38,22871000,160.46,,,,158.65,159.74,160.4,161.08,空头排列,-4.16,,41.9,5.19,,,,,,2025-04-15 00:00:00,154.38
2025-05-12,159.1,160.44,157.89,159.58,31884900,160.3,,,,158.85,159.73,160.37,161.06,混合,-0.92,,48.9,5.25,24052025.0,1.3,,,,2025-04-15 00:00:00,159.58
2025-05-13,159.92,162.06,157.58,160.89,24944300,160.06,159.26,,,159.31,159.83,160.39,161.06,混合,-0.11,,50.5,5.2,24386445.0,1.0,,,,2025-04-15 00:00:00,160.89
2025-05-14,161.31,168.34,160.93,166.81,31769200,160.18,159.51,,,160.97,160.47,160.62,161.12,混合,3.53,,57.2,5.36,25190365.0,1.3,,,,2025-04-15 00:00:00,166.81
2025-05-15,167.14,167.51,163.84,165.4,22717600,160.1,159.83,,,161.96,160.91,160.79,161.16,混合,2.63,,55.3,5.24,25480170.0,0.9,,,,2025-04-15 00:00:00,165.4
2025-05-16,168.93,170.65,166.95,167.43,36271400,160.38,160.4,,,163.17,161.51,161.02,161.22,混合,3.85,,57.5,5.24,26318070.0,1.4,,,,2025-04-15 00:00:00,167.43
2025-05-19,165.71,167.95,165.41,167.87,21374700,162.26,161.09,,,164.22,162.09,161.27,161.29,混合,4.08,,58.0,5.05,26579415.0,0.8,,,,2025-04-15 00:00:00,167.87
2025-05-20,167.76,169.68,164.26,165.32,33563300,163.46,161.83,,,164.46,162.38,161.41,161.33,完整多头,2.47,,54.1,5.07,27462065.0,1.2,,,,2025-04-15 00:00:00,165.32
2025-05-21,164.95,174.53,164.89,170.06,45567600,165.42,162.6,,,165.71,163.08,161.72,161.42,完整多头,5.35,,59.5,5.4,28811660.0,1.6,,,,2025-04-15 00:00:00,170.06
2025-05-22,173.35,178.13,171.88,171.98,45024100,166.97,163.28,,,167.1,163.89,162.09,161.52,完整多头,6.47,,61.5,5.59,29523490.0,1.5,,,,2025-04-15 00:00:00,171.98
2025-05-23,170.28,171.21,169.26,169.59,24963600,168.06,163.66,,,167.65,164.41,162.36,161.6,完整多头,4.94,,57.7,5.38,29014265.0,0.9,,,,2025-04-15 00:00:00,169.59
