date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-02-14,6115.52,6127.47,6107.62,6114.63,4335190000,,,,,6114.63,6114.63,6114.63,6114.63,混合,0.0,,,,,,,,,,6114.63
2025-02-18,6121.6,6129.63,6099.51,6129.58,4684980000,,,,,6117.95,6115.99,6115.16,6114.78,完整多头,0.24,,,,,,,,,,6129.58
2025-02-19,6117.76,6147.43,6111.15,6144.15,4562330000,,,,,6123.77,6118.55,6116.2,6115.07,完整多头,0.48,,,,,,,,,,6144.15
2025-02-20,6134.5,6134.5,6084.59,6117.52,4813690000,,,,,6122.38,6118.46,6116.25,6115.1,混合,0.04,,,,,,,,,,6117.52
2025-02-21,6114.1,6114.82,6008.56,6013.13,5434560000,,,,,6098.11,6108.88,6112.56,6114.08,空头排列,-1.65,,,,,,,,,,6013.13
2025-02-24,6026.69,6043.65,5977.83,5983.25,4990120000,,,,,6072.58,6097.46,6107.95,6112.78,空头排列,-2.12,,,,,,,,,,5983.25
2025-02-25,5982.73,5992.65,5908.49,5955.25,5374690000,,,,,6046.51,6084.53,6102.49,6111.21,空头排列,-2.55,,,,,,,,,,5955.25
2025-02-26,5970.87,6009.82,5932.69,5956.06,4869580000,6051.7,,,,6026.41,6072.85,6097.26,6109.67,空头排列,-2.51,,,,,,,,,,5956.06
2025-02-27,5981.88,5993.69,5858.78,5861.57,5057680000,6020.06,,,,5989.78,6053.64,6088.84,6107.2,空头排列,-4.02,,,,,,,,,,5861.57
2025-02-28,5856.74,5959.4,5837.66,5954.5,6441140000,5998.18,,,,5981.94,6044.63,6084.05,6105.68,空头排列,-2.48,,,,,,,,,,5954.5
2025-03-03,5968.33,5986.09,5810.91,5849.72,5613850000,5961.38,,,,5952.56,6026.91,6075.68,6103.13,空头排列,-4.15,,,,,,,,,,5849.72
2025-03-04,5811.98,5865.08,5732.59,5778.15,6138110000,5918.95,,,,5913.8,6004.3,6065.05,6099.9,空头排列,-5.27,,,,,,,,,,5778.15
2025-03-05,5781.36,5860.59,5742.35,5842.63,5285970000,5897.64,,,,5897.98,5989.6,6057.11,6097.34,空头排列,-4.18,,,,,,,,,,5842.63
2025-03-06,5785.87,5812.08,5711.64,5738.52,5165080000,5867.05,,,,5862.55,5966.77,6045.73,6093.77,空头排列,-5.83,,,,,,,,,,5738.52
2025-03-07,5726.01,5783.01,5666.29,5770.2,5705140000,5843.92,,,,5842.03,5948.9,6035.89,6090.55,空头排列,-5.26,,28.0,99.45,,,,,,2025-02-18 00:00:00,5770.2
2025-03-10,5705.37,5705.37,5564.02,5614.56,6409370000,5801.23,,,,5791.48,5918.51,6020.84,6085.81,空头排列,-7.74,,23.1,107.07,,,,,,2025-02-18 00:00:00,5614.56
2025-03-11,5603.65,5636.3,5528.41,5572.07,6221240000,5765.04,,,,5742.72,5887.02,6004.81,6080.7,空头排列,-8.36,,21.9,107.13,,,,,,2025-02-18 00:00:00,5572.07
2025-03-12,5624.84,5642.19,5546.09,5599.3,5219830000,5720.64,,,,5710.85,5860.86,5990.33,6075.91,空头排列,-7.84,,24.5,106.34,,,,,,2025-02-18 00:00:00,5599.3
2025-03-13,5594.45,5597.78,5504.65,5521.52,5018980000,5679.62,,,,5668.78,5830.01,5973.59,6070.39,空头排列,-9.04,,22.3,105.51,,,,,,2025-02-18 00:00:00,5521.52
2025-03-14,5563.85,5645.27,5563.85,5638.94,4863180000,5662.22,,,,5662.15,5812.64,5961.64,6066.1,空头排列,-7.04,,32.4,106.81,5310235500.0,0.9,,,,2025-02-18 00:00:00,5638.94
2025-03-17,5635.6,5703.52,5631.12,5675.12,5031770000,5641.28,5849.07,,,5665.03,5800.14,5951.4,6062.21,混合,-6.39,,35.2,104.35,5345064500.0,0.9,,,,2025-02-18 00:00:00,5675.12
2025-03-18,5654.53,5654.53,5597.76,5614.66,4666270000,5625.8,5825.26,,,5653.84,5783.28,5939.38,6057.76,空头排列,-7.31,,32.7,102.43,5344129000.0,0.9,,,,2025-02-18 00:00:00,5614.66
2025-03-19,5632.37,5715.33,5622.2,5675.29,4660090000,5613.93,5803.62,,,5658.6,5773.46,5929.95,6053.95,混合,-6.25,,37.4,102.3,5349017000.0,0.9,,,,2025-02-18 00:00:00,5675.29
2025-03-20,5646.92,5711.15,5632.33,5662.89,4678420000,5619.97,5780.71,,,5659.56,5763.41,5920.41,6050.06,混合,-6.4,,36.8,100.62,5342253500.0,0.9,,,,2025-02-18 00:00:00,5662.89
2025-03-21,5630.73,5670.84,5603.1,5667.56,9367460000,5631.91,5759.28,,,5661.33,5754.69,5911.38,6046.26,混合,-6.26,,37.2,98.27,5538898500.0,1.7,,,,2025-02-18 00:00:00,5667.56
2025-03-24,5718.08,5775.14,5718.08,5767.57,4517990000,5652.94,5747.59,,,5684.94,5755.86,5906.24,6043.48,混合,-4.57,,44.9,98.94,5515292000.0,0.8,,,,2025-02-18 00:00:00,5767.57
2025-03-25,5775.96,5786.95,5760.42,5776.65,4467340000,5684.84,5737.75,,,5705.32,5757.75,5901.61,6040.83,混合,-4.37,,45.6,93.77,5469924500.0,0.8,,,,2025-02-18 00:00:00,5776.65
2025-03-26,5771.66,5783.62,5694.41,5712.2,4183140000,5693.99,5726.18,,,5706.85,5753.61,5894.85,6037.56,混合,-5.39,,41.8,93.44,5435602500.0,0.8,,,,2025-02-18 00:00:00,5712.2
2025-03-27,5695.64,5732.28,5670.94,5693.31,4403460000,5696.27,5713.66,,,5703.84,5748.13,5887.65,6034.13,空头排列,-5.65,,40.7,91.15,5402891500.0,0.8,,,,2025-02-18 00:00:00,5693.31
2025-03-28,5679.2,5685.89,5572.42,5580.94,4513330000,5692.05,5700.3,,,5676.53,5732.93,5876.7,6029.62,空头排列,-7.44,,35.0,93.27,5306501000.0,0.9,,,,2025-02-18 00:00:00,5580.94
2025-03-31,5527.91,5627.56,5488.73,5611.85,5257250000,5684.12,5683.98,,,5662.16,5721.92,5867.24,6025.47,空头排列,-6.86,,37.6,96.53,5288671000.0,1.0,,,,2025-02-18 00:00:00,5611.85
2025-04-01,5597.53,5650.57,5558.52,5633.07,4434500000,5680.39,5673.67,,,5655.69,5713.85,5858.88,6021.56,空头排列,-6.45,,39.4,96.21,5203490500.0,0.9,,,,2025-02-18 00:00:00,5633.07
2025-04-02,5580.76,5695.31,5571.48,5670.97,4243830000,5680.82,5668.56,,,5659.09,5709.95,5852.16,6018.07,混合,-5.77,,42.6,98.18,5151383500.0,0.8,,,,2025-02-18 00:00:00,5670.97
2025-04-03,5492.74,5499.53,5390.83,5396.52,7210470000,5634.44,5647.32,,,5600.74,5681.46,5835.89,6011.89,空头排列,-10.24,,30.2,111.18,5253653000.0,1.4,,,,2025-02-18 00:00:00,5396.52
2025-04-04,5292.14,5292.14,5069.9,5074.08,8853500000,5546.62,5615.68,,,5483.7,5626.24,5808.68,6002.56,空头排列,-15.47,,22.1,126.57,5411071000.0,1.6,,,,2025-02-18 00:00:00,5074.08
2025-04-07,4953.79,5246.57,4835.04,5062.25,8691980000,5465.37,5581.97,,,5390.05,5574.97,5782.03,5993.2,空头排列,-15.53,,21.9,146.92,5525201500.0,1.6,,,,2025-02-18 00:00:00,5062.25
2025-04-08,5193.57,5267.47,4910.42,4982.77,7408140000,5376.56,5551.88,,,5299.54,5521.13,5753.48,5983.15,空头排列,-16.72,,20.3,161.93,5584546500.0,1.3,,,,2025-02-18 00:00:00,4982.77
2025-04-09,4965.28,5481.34,4948.43,5456.9,9489600000,5361.05,5546.4,,,5334.51,5515.29,5742.89,5977.91,混合,-8.72,,45.2,188.43,5798035000.0,1.6,,,,2025-02-18 00:00:00,5456.9
2025-04-10,5353.15,5353.15,5115.27,5268.05,6677140000,5318.08,5530.62,,,5319.74,5492.82,5725.93,5970.85,空头排列,-11.77,,39.9,199.37,5880943000.0,1.1,,,,2025-02-18 00:00:00,5268.05
2025-04-11,5255.56,5381.46,5220.77,5363.36,5602550000,5284.36,5523.09,,,5329.43,5481.05,5712.98,5964.8,混合,-10.08,,43.5,196.61,5917911500.0,0.9,,,,2025-02-18 00:00:00,5363.36
2025-04-14,5441.96,5459.46,5358.02,5405.97,5031440000,5251.24,5512.0,,,5346.44,5474.22,5702.02,5959.24,混合,-9.28,,45.1,189.81,5917895000.0,0.9,,,,2025-02-18 00:00:00,5405.97
2025-04-15,5411.99,5450.41,5386.44,5396.63,4317110000,5251.25,5498.74,,,5357.59,5467.17,5691.11,5953.64,混合,-9.36,,44.8,180.82,5900437000.0,0.7,,,,2025-02-18 00:00:00,5396.63
2025-04-16,5335.75,5367.24,5220.79,5275.7,4607750000,5276.45,5482.6,,,5339.4,5449.76,5676.27,5946.9,空头排列,-11.29,,41.0,180.47,5897820000.0,0.8,,,,2025-02-18 00:00:00,5275.7
2025-04-17,5305.45,5328.31,5255.58,5282.7,4714880000,5304.01,5463.9,,,5326.8,5434.57,5662.22,5940.29,空头排列,-11.07,,41.3,172.77,5899643000.0,0.8,,,,2025-02-18 00:00:00,5282.7
2025-04-21,5232.94,5232.94,5101.63,5158.2,4226340000,5325.94,5439.87,,,5289.33,5409.45,5644.22,5932.51,空头排列,-13.05,,37.5,173.36,5642587000.0,0.7,,,,2025-02-18 00:00:00,5158.2
2025-04-22,5207.67,5309.61,5207.67,5287.76,4666950000,5304.8,5421.78,,,5288.98,5398.39,5631.49,5926.09,空头排列,-10.77,,43.3,171.8,5650035000.0,0.8,,,,2025-02-18 00:00:00,5287.76
2025-04-23,5395.92,5469.69,5356.17,5375.86,5371390000,5318.27,5403.13,,,5308.29,5396.34,5622.36,5920.62,混合,-9.2,,46.9,172.52,5695237500.0,0.9,,,,2025-02-18 00:00:00,5375.86
2025-04-24,5381.38,5489.4,5371.96,5484.77,4697710000,5333.45,5389.23,,,5347.51,5404.38,5617.44,5916.28,混合,-7.29,,51.1,168.59,5720966000.0,0.8,,,,2025-02-18 00:00:00,5484.77
2025-04-25,5489.73,5528.11,5455.86,5525.21,4236580000,5348.35,5380.33,,,5387.0,5415.36,5614.15,5912.39,混合,-6.55,,52.6,161.7,5712622000.0,0.7,,,,2025-02-18 00:00:00,5525.21
2025-04-28,5529.22,5553.66,5468.64,5528.75,4257880000,5364.87,5372.49,,,5418.5,5425.67,5611.1,5908.57,混合,-6.43,,52.7,156.23,5699849500.0,0.7,,,,2025-02-18 00:00:00,5528.75
2025-04-29,5508.87,5571.95,5505.7,5560.83,4747150000,5400.51,5371.53,,,5450.13,5437.96,5609.3,5905.11,混合,-5.83,,54.0,149.8,5674344500.0,0.8,,,,2025-02-18 00:00:00,5560.83
2025-04-30,5499.44,5581.84,5433.24,5569.06,5449490000,5436.3,5369.5,,,5476.56,5449.88,5607.87,5901.77,混合,-5.64,,54.3,149.71,5725094000.0,1.0,,,,2025-02-18 00:00:00,5569.06
2025-05-01,5625.14,5658.91,5597.35,5604.14,4935270000,5492.05,5368.12,,,5504.91,5463.9,5607.73,5898.81,混合,-5.0,,55.8,145.44,5759666000.0,0.9,,,,2025-02-18 00:00:00,5604.14
2025-05-02,5645.88,5700.7,5642.28,5686.67,4854380000,5541.91,5368.87,,,5545.3,5484.15,5610.55,5896.7,混合,-3.56,,59.2,141.95,5641861500.0,0.9,,,,2025-02-18 00:00:00,5686.67
2025-05-05,5655.32,5683.38,5634.48,5650.38,4358260000,5576.23,5380.95,5623.53,,5568.65,5499.26,5611.97,5894.24,混合,-4.14,,57.1,135.54,5417099500.0,0.8,,,,2025-02-18 00:00:00,5650.38
2025-05-06,5605.87,5649.58,5586.04,5606.91,4717260000,5591.49,5406.33,5614.29,,5577.15,5509.05,5611.79,5891.39,混合,-4.83,,54.6,130.45,5218363500.0,0.9,,,,2025-02-18 00:00:00,5606.91
2025-05-07,5614.18,5654.73,5578.64,5631.28,4987440000,5604.75,5433.42,5605.23,,5589.18,5520.16,5612.49,5888.8,混合,-4.37,,55.8,126.57,5097328500.0,1.0,,,,2025-02-18 00:00:00,5631.28
2025-05-08,5663.6,5720.1,5635.38,5663.94,5627400000,5621.65,5465.86,5596.5,,5605.79,5533.23,5614.33,5886.56,混合,-3.78,,57.4,123.87,4904218500.0,1.1,,,,2025-02-18 00:00:00,5663.94
