date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-03-11,34.77,37.69,34.3,34.71,23553700,,,,,34.71,34.71,34.71,34.71,混合,0.0,,,,,,,,,,34.71
2025-03-12,36.15,37.28,32.77,33.93,21357500,,,,,34.54,34.64,34.68,34.7,空头排列,-2.23,,,,,,,,,,33.93
2025-03-13,33.48,33.64,31.01,31.54,19828500,,,,,33.87,34.36,34.57,34.67,空头排列,-9.03,,,,,,,,,,31.54
2025-03-14,32.0,33.29,31.51,33.14,17092900,,,,,33.71,34.25,34.52,34.66,空头排列,-4.37,,,,,,,,,,33.14
2025-03-17,33.65,35.69,32.59,34.69,18134400,,,,,33.93,34.29,34.52,34.66,混合,0.1,,,,,,,,,,34.69
2025-03-18,34.31,34.39,31.26,31.49,15345700,,,,,33.39,34.03,34.42,34.62,空头排列,-9.05,,,,,,,,,,31.49
2025-03-19,31.73,34.94,31.02,33.88,17741900,,,,,33.5,34.02,34.4,34.62,混合,-2.13,,,,,,,,,,33.88
2025-03-20,33.27,34.25,32.36,32.87,15791100,33.28,,,,33.36,33.91,34.34,34.6,空头排列,-5.0,,,,,,,,,,32.87
2025-03-21,32.6,35.2,31.88,34.75,49693300,33.29,,,,33.67,33.99,34.36,34.6,混合,0.43,,,,,,,,,,34.75
2025-03-24,35.85,38.18,34.92,37.41,26407400,33.72,,,,34.5,34.3,34.47,34.63,混合,8.03,,,,,,,,,,37.41
2025-03-25,37.82,38.69,35.77,37.04,17549600,34.41,,,,35.06,34.55,34.56,34.65,混合,6.89,,,,,,,,,,37.04
2025-03-26,37.78,37.94,33.25,33.36,17227100,34.44,,,,34.68,34.44,34.52,34.64,混合,-3.7,,,,,,,,,,33.36
2025-03-27,32.96,33.3,31.78,31.92,15241700,34.09,,,,34.07,34.21,34.42,34.61,空头排列,-7.78,,,,,,,,,,31.92
2025-03-28,31.59,31.89,28.9,29.14,20932200,33.8,,,,32.97,33.75,34.23,34.56,空头排列,-15.68,,,,,,,,,,29.14
2025-03-31,27.77,30.17,27.22,29.55,19861600,33.25,,,,32.21,33.37,34.07,34.51,空头排列,-14.37,,40.1,3.1,,,,,,2025-03-12 00:00:00,29.55
2025-04-01,29.7,33.7,28.76,31.05,46231100,33.03,,,,31.95,33.16,33.96,34.47,空头排列,-9.93,,43.6,3.24,,,,,,2025-03-12 00:00:00,31.05
2025-04-02,29.16,31.25,28.95,31.22,25183700,32.59,,,,31.79,32.98,33.86,34.44,空头排列,-9.35,,44.0,3.17,,,,,,2025-03-12 00:00:00,31.22
2025-04-03,28.4,29.87,27.81,27.99,19702700,31.41,,,,30.95,32.53,33.65,34.38,空头排列,-18.58,,38.5,3.19,,,,,,2025-03-12 00:00:00,27.99
