date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-01-29,48.82,51.71,48.6,51.15,17767600,,,,,51.15,51.15,51.15,51.15,混合,0.0,,,,,,,,,,51.15
2025-01-30,51.96,53.51,51.07,53.0,16825700,,,,,51.56,51.32,51.22,51.17,完整多头,3.58,,,,,,,,,,53.0
2025-01-31,53.26,53.49,51.63,51.95,14290800,,,,,51.65,51.38,51.24,51.18,完整多头,1.51,,,,,,,,,,51.95
2025-02-03,48.49,52.32,48.08,51.9,19031800,,,,,51.7,51.42,51.27,51.18,完整多头,1.4,,,,,,,,,,51.9
2025-02-04,52.0,53.31,51.54,52.58,17469600,,,,,51.9,51.53,51.31,51.2,完整多头,2.7,,,,,,,,,,52.58
2025-02-05,52.32,54.33,52.21,54.2,16616600,,,,,52.41,51.77,51.42,51.23,完整多头,5.8,,,,,,,,,,54.2
2025-02-06,54.8,54.88,52.16,53.17,15893900,,,,,52.58,51.9,51.48,51.25,完整多头,3.75,,,,,,,,,,53.17
2025-02-07,54.39,55.98,54.11,55.86,25050300,52.98,,,,53.31,52.26,51.63,51.29,完整多头,8.91,,,,,,,,,,55.86
2025-02-10,57.18,57.27,55.55,56.27,23555900,53.62,,,,53.97,52.62,51.8,51.34,完整多头,9.6,,,,,,,,,,56.27
2025-02-11,55.9,55.99,53.28,53.34,24210900,53.66,,,,53.83,52.69,51.86,51.36,混合,3.85,,,,,,,,,,53.34
2025-02-12,53.17,56.74,52.65,55.91,48482700,54.15,,,,54.29,52.98,52.0,51.41,完整多头,8.76,,,,,,,,,,55.91
2025-02-13,62.09,66.91,61.2,63.8,77989700,55.64,,,,56.4,53.96,52.42,51.53,完整多头,23.81,,,,,,,,,,63.8
2025-02-14,63.31,66.08,61.72,65.28,39353300,57.23,,,,58.38,54.99,52.88,51.67,完整多头,26.35,,,,,,,,,,65.28
2025-02-18,65.21,65.58,59.9,60.44,42371200,58.01,,,,58.83,55.49,53.15,51.75,完整多头,16.78,,,,,,,,,,60.44
2025-02-19,61.09,61.91,58.65,59.23,26252600,58.77,,,,58.92,55.83,53.37,51.83,完整多头,14.28,,63.3,3.65,,,,,,2025-01-30 00:00:00,59.23
2025-02-20,59.09,59.1,54.23,56.06,36348800,58.79,,,,58.29,55.85,53.46,51.87,混合,8.08,,56.9,3.74,,,,,,2025-01-30 00:00:00,56.06
