date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-02-10,19.25,20.08,19.24,19.77,73007300,,,,,19.77,19.77,19.77,19.77,混合,0.0,,,,,,,,,,19.77
2025-02-11,19.87,21.88,19.86,20.97,150960700,,,,,20.04,19.88,19.81,19.78,完整多头,6.01,,,,,,,,,,20.97
2025-02-12,21.98,22.56,20.93,22.48,162631200,,,,,20.58,20.12,19.91,19.81,完整多头,13.48,,,,,,,,,,22.48
2025-02-13,22.84,24.83,22.79,24.13,248661300,,,,,21.37,20.48,20.06,19.85,完整多头,21.55,,,,,,,,,,24.13
2025-02-14,24.36,25.19,22.86,23.6,230254100,,,,,21.86,20.76,20.19,19.89,完整多头,18.66,,,,,,,,,,23.6
2025-02-18,24.6,27.55,24.49,27.39,284292200,,,,,23.09,21.37,20.44,19.96,完整多头,37.2,,,,,,,,,,27.39
2025-02-19,25.98,26.33,25.46,25.72,151881700,,,,,23.68,21.76,20.63,20.02,完整多头,28.47,,,,,,,,,,25.72
2025-02-20,25.56,26.12,24.48,26.09,144939600,23.77,,,,24.21,22.16,20.83,20.08,完整多头,29.92,,,,,,,,,,26.09
2025-02-21,25.96,26.29,24.84,24.87,111630900,24.41,,,,24.36,22.4,20.97,20.13,完整多头,23.55,,,,,,,,,,24.87
2025-02-24,24.55,24.8,23.62,24.27,91358100,24.82,,,,24.34,22.57,21.09,20.17,混合,20.33,,,,,,,,,,24.27
2025-02-25,24.21,24.28,22.77,22.99,88886500,24.88,,,,24.04,22.61,21.16,20.2,混合,13.82,,,,,,,,,,22.99
2025-02-26,23.25,23.82,23.21,23.52,67449300,24.81,,,,23.92,22.69,21.24,20.23,混合,16.26,,,,,,,,,,23.52
2025-02-27,23.7,24.4,23.07,23.09,97871900,24.74,,,,23.74,22.73,21.31,20.26,混合,13.97,,,,,,,,,,23.09
