date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-02-18,12.96,13.5,12.53,12.97,13439100,,,,,12.97,12.97,12.97,12.97,混合,0.0,,,,,,,,,,12.97
2025-02-19,13.11,13.62,12.97,13.0,12940900,,,,,12.98,12.97,12.97,12.97,完整多头,0.23,,,,,,,,,,13.0
2025-02-20,13.3,13.3,12.09,12.36,11855500,,,,,12.84,12.92,12.95,12.96,空头排列,-4.66,,,,,,,,,,12.36
2025-02-21,12.56,12.74,10.82,10.88,18536900,,,,,12.4,12.73,12.88,12.94,空头排列,-15.94,,,,,,,,,,10.88
2025-02-24,10.97,11.01,10.02,10.16,11822100,,,,,11.91,12.5,12.78,12.92,空头排列,-21.34,,,,,,,,,,10.16
2025-02-25,9.65,9.91,8.58,8.78,29434100,,,,,11.21,12.16,12.64,12.87,空头排列,-31.8,,,,,,,,,,8.78
2025-02-26,8.59,9.09,8.37,8.49,15639000,,,,,10.61,11.83,12.49,12.83,空头排列,-33.83,,,,,,,,,,8.49
2025-02-27,8.77,8.89,7.8,7.86,22481900,10.56,,,,10.0,11.47,12.32,12.78,空头排列,-38.51,,,,,,,,,,7.86
2025-02-28,7.72,8.51,7.63,8.24,15303400,9.97,,,,9.61,11.17,12.18,12.74,空头排列,-35.3,,,,,,,,,,8.24
2025-03-03,8.91,8.96,7.48,7.57,16859500,9.29,,,,9.15,10.85,12.01,12.68,空头排列,-40.32,,,,,,,,,,7.57
2025-03-04,7.15,7.88,6.89,7.54,19717100,8.69,,,,8.79,10.54,11.85,12.63,空头排列,-40.32,,,,,,,,,,7.54
2025-03-05,7.76,8.16,7.61,8.06,12450600,8.34,,,,8.63,10.32,11.72,12.59,空头排列,-35.97,,,,,,,,,,8.06
2025-03-06,7.57,8.29,7.45,7.62,15600700,8.02,,,,8.41,10.07,11.57,12.54,空头排列,-39.23,,,,,,,,,,7.62
