date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-03-11,333.7,333.94,317.71,319.42,2033100,,,,,319.42,319.42,319.42,319.42,混合,0.0,,,,,,,,,,319.42
2025-03-12,322.99,324.8,315.67,316.49,1685600,,,,,318.77,319.15,319.32,319.39,空头排列,-0.91,,,,,,,,,,316.49
2025-03-13,316.09,317.25,304.77,309.68,1812000,,,,,316.75,318.29,318.97,319.29,空头排列,-3.01,,,,,,,,,,309.68
2025-03-14,313.4,316.98,308.66,311.03,1513900,,,,,315.48,317.63,318.69,319.21,空头排列,-2.56,,,,,,,,,,311.03
2025-03-17,314.27,330.42,313.5,327.09,1768300,,,,,318.06,318.49,318.99,319.29,混合,2.44,,,,,,,,,,327.09
2025-03-18,325.89,326.0,319.22,323.07,1122400,,,,,319.17,318.91,319.13,319.33,混合,1.17,,,,,,,,,,323.07
2025-03-19,319.45,330.81,318.56,329.57,1097900,,,,,321.48,319.88,319.51,319.43,完整多头,3.17,,,,,,,,,,329.57
2025-03-20,327.05,333.01,323.3,324.45,1106500,320.1,,,,322.14,320.29,319.68,319.48,完整多头,1.56,,,,,,,,,,324.45
2025-03-21,317.64,324.38,311.0,322.62,1986100,320.5,,,,322.25,320.5,319.79,319.51,完整多头,0.97,,,,,,,,,,322.62
2025-03-24,324.81,336.36,324.81,334.96,1703800,322.81,,,,325.07,321.82,320.33,319.66,完整多头,4.78,,,,,,,,,,334.96
2025-03-25,342.5,346.72,334.74,337.35,2040400,326.27,,,,327.8,323.23,320.94,319.84,完整多头,5.47,,,,,,,,,,337.35
2025-03-26,336.76,340.77,332.42,337.79,2300500,329.61,,,,330.02,324.55,321.54,320.02,完整多头,5.55,,,,,,,,,,337.79
2025-03-27,334.25,348.5,334.07,341.53,4470400,331.42,,,,332.58,326.1,322.25,320.23,完整多头,6.65,,,,,,,,,,341.53
2025-03-28,301.05,304.0,287.5,293.06,12915200,327.67,,,,323.8,323.09,321.21,319.96,混合,-8.41,,,,,,,,,,293.06
2025-03-31,286.14,291.76,280.83,283.06,4414700,321.85,,,,314.74,319.45,319.85,319.6,混合,-11.43,,35.1,14.81,,,,,,2025-03-12 00:00:00,283.06
2025-04-01,282.23,283.64,277.45,279.63,3315100,316.25,,,,306.94,315.83,318.41,319.2,空头排列,-12.4,,34.1,14.2,,,,,,2025-03-12 00:00:00,279.63
2025-04-02,277.75,287.95,276.51,282.75,2315200,311.27,,,,301.57,312.83,317.14,318.84,空头排列,-11.32,,35.9,14.0,,,,,,2025-03-12 00:00:00,282.75
2025-04-03,243.98,256.88,243.05,255.65,7596800,301.35,,,,291.36,307.63,314.94,318.21,空头排列,-19.66,,28.5,15.83,,,,,,2025-03-12 00:00:00,255.65
2025-04-04,242.0,271.75,234.84,263.7,8370800,292.15,,,,285.21,303.64,313.11,317.66,空头排列,-16.99,,32.9,17.34,,,,,,2025-03-12 00:00:00,263.7
2025-04-07,255.72,273.65,246.44,265.0,4203800,283.05,,,,280.72,300.12,311.39,317.14,空头排列,-16.44,,33.6,18.04,3388625.0,1.2,,,,2025-03-12 00:00:00,265.0
2025-04-08,269.41,270.41,243.74,247.61,3367900,271.31,305.02,,,273.36,295.35,309.12,316.45,空头排列,-21.75,,29.1,18.66,3455365.0,1.0,,,,2025-03-12 00:00:00,247.61
2025-04-09,244.01,287.21,242.45,273.84,6278000,268.91,302.85,,,273.47,293.39,307.86,316.02,混合,-13.35,,41.8,20.53,3684985.0,1.7,,,,2025-03-12 00:00:00,273.84
2025-04-10,262.89,262.89,247.92,256.62,3712500,265.6,300.0,,,269.73,290.05,306.03,315.43,空头排列,-18.65,,37.1,20.91,3780010.0,1.0,,,,2025-03-12 00:00:00,256.62
2025-04-11,256.43,263.85,249.07,261.03,1961400,263.27,297.69,,,267.79,287.41,304.42,314.89,空头排列,-17.1,,39.0,20.47,3802385.0,0.5,,,,2025-03-12 00:00:00,261.03
2025-04-14,264.78,265.88,254.58,259.76,1796000,260.4,295.24,,,266.01,284.9,302.82,314.34,空头排列,-17.36,,38.6,19.82,3803770.0,0.5,,,,2025-03-12 00:00:00,259.76
2025-04-15,260.09,263.6,252.98,255.64,1573700,260.4,291.84,,,263.7,282.24,301.14,313.76,空头排列,-18.52,,37.4,19.16,3826335.0,0.4,,,,2025-03-12 00:00:00,255.64
2025-04-16,253.38,256.94,246.89,249.37,1772800,258.61,288.33,,,260.52,279.25,299.29,313.12,空头排列,-20.36,,35.6,18.51,3860080.0,0.5,,,,2025-03-12 00:00:00,249.37
2025-04-17,249.35,252.23,248.0,251.08,1600600,256.87,284.6,,,258.42,276.69,297.57,312.5,空头排列,-19.65,,36.5,17.49,3884785.0,0.4,,,,2025-03-12 00:00:00,251.08
2025-04-21,249.34,254.03,245.6,253.91,1559500,257.66,281.24,,,257.42,274.62,296.01,311.92,空头排列,-18.6,,38.1,16.84,3863455.0,0.4,,,,2025-03-12 00:00:00,253.91
