date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-12-16,629.98,631.15,618.58,624.24,10885600,,,,,624.24,624.24,624.24,624.24,混合,0.0,,,,,,,,,,624.24
2024-12-17,626.17,632.37,616.54,619.44,12897800,,,,,623.17,623.8,624.07,624.19,空头排列,-0.76,,,,,,,,,,619.44
2024-12-18,621.0,627.36,596.32,597.19,17075500,,,,,617.4,621.38,623.11,623.92,空头排列,-4.28,,,,,,,,,,597.19
2024-12-19,610.39,611.52,595.0,595.57,14958100,,,,,612.55,619.04,622.13,623.64,空头排列,-4.5,,,,,,,,,,595.57
2024-12-20,590.58,603.11,580.0,585.25,48989400,,,,,606.48,615.97,620.81,623.26,空头排列,-6.1,,,,,,,,,,585.25
2024-12-23,589.6,601.09,586.25,599.85,10205800,,,,,605.01,614.5,620.06,623.03,空头排列,-3.72,,,,,,,,,,599.85
2024-12-24,602.72,607.99,599.28,607.75,4726100,,,,,605.62,613.89,619.62,622.87,混合,-2.43,,,,,,,,,,607.75
2024-12-26,605.48,606.3,598.94,603.35,6081400,604.08,,,,605.11,612.93,619.04,622.68,空头排列,-3.1,,,,,,,,,,603.35
2024-12-27,599.41,601.85,589.8,599.81,8084200,601.03,,,,603.94,611.74,618.35,622.45,空头排列,-3.64,,,,,,,,,,599.81
2024-12-30,588.75,596.94,585.58,591.24,7025900,597.5,,,,601.11,609.87,617.38,622.14,空头排列,-4.97,,,,,,,,,,591.24
2024-12-31,592.27,593.97,583.85,585.51,6019500,596.04,,,,597.65,607.66,616.25,621.78,空头排列,-5.83,,,,,,,,,,585.51
2025-01-02,589.72,604.91,587.82,599.24,12682300,596.5,,,,598.0,606.89,615.64,621.55,混合,-3.59,,,,,,,,,,599.24
2025-01-03,604.76,609.5,596.41,604.63,11436800,598.92,,,,599.47,606.69,615.25,621.38,混合,-2.7,,,,,,,,,,604.63
2025-01-06,611.83,630.99,605.62,630.2,14560800,602.72,,,,606.3,608.82,615.78,621.47,混合,1.4,,,,,,,,,,630.2
2025-01-07,631.7,632.1,608.23,617.89,12071500,603.98,,,,608.88,609.65,615.85,621.44,混合,-0.57,,47.7,17.18,,,,,,2024-12-17 00:00:00,617.89
2025-01-08,613.4,616.44,602.79,610.72,10085800,604.9,,,,609.29,609.75,615.67,621.33,混合,-1.71,,45.3,17.03,,,,,,2024-12-17 00:00:00,610.72
2025-01-10,610.03,629.91,597.34,615.86,19256600,606.91,,,,610.75,610.3,615.68,621.28,混合,-0.87,,47.4,18.14,,,,,,2024-12-17 00:00:00,615.86
2025-01-13,607.1,608.97,598.45,608.33,10785000,609.05,,,,610.21,610.12,615.42,621.15,混合,-2.06,,44.7,18.09,,,,,,2024-12-17 00:00:00,608.33
2025-01-14,605.07,605.49,588.55,594.25,13598000,610.14,,,,606.66,608.68,614.66,620.88,空头排列,-4.29,,40.0,18.21,,,,,,2024-12-17 00:00:00,594.25
