date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-03-07,392.32,394.8,385.54,393.31,22034100,,,,,393.31,393.31,393.31,393.31,混合,0.0,,,,,,,,,,393.31
2025-03-10,385.84,386.4,377.22,380.16,32840100,,,,,390.39,392.11,392.84,393.18,空头排列,-3.31,,,,,,,,,,380.16
2025-03-11,379.0,386.0,376.91,380.45,30380200,,,,,388.18,391.05,392.4,393.05,空头排列,-3.21,,,,,,,,,,380.45
2025-03-12,382.95,385.22,378.95,383.27,24253600,,,,,387.09,390.35,392.07,392.96,空头排列,-2.46,,,,,,,,,,383.27
2025-03-13,383.16,385.32,377.45,378.77,20473000,,,,,385.24,389.29,391.6,392.81,空头排列,-3.58,,,,,,,,,,378.77
2025-03-14,379.78,390.23,379.51,388.56,19952800,,,,,385.98,389.23,391.49,392.77,混合,-1.07,,,,,,,,,,388.56
2025-03-17,386.7,392.71,385.57,388.7,22474300,,,,,386.58,389.18,391.39,392.73,混合,-1.03,,,,,,,,,,388.7
2025-03-18,387.07,387.37,381.1,383.52,19486900,384.59,,,,385.9,388.66,391.11,392.64,空头排列,-2.32,,,,,,,,,,383.52
2025-03-19,385.53,389.68,384.0,387.82,19185500,383.91,,,,386.33,388.59,390.99,392.59,混合,-1.22,,,,,,,,,,387.82
2025-03-20,385.74,391.79,383.28,386.84,18470500,384.74,,,,386.44,388.43,390.84,392.53,混合,-1.45,,,,,,,,,,386.84
2025-03-21,383.22,391.74,382.8,391.26,39675900,386.09,,,,387.51,388.69,390.86,392.52,混合,-0.32,,,,,,,,,,391.26
2025-03-24,395.4,395.4,389.81,393.08,21004500,387.32,,,,388.75,389.09,390.94,392.53,混合,0.14,,,,,,,,,,393.08
2025-03-25,393.92,396.36,392.64,395.16,15775000,389.37,,,,390.17,389.64,391.09,392.55,混合,0.66,,,,,,,,,,395.16
2025-03-26,395.0,395.31,388.57,389.97,16108400,389.54,,,,390.13,389.67,391.05,392.53,混合,-0.65,,,,,,,,,,389.97
2025-03-27,390.13,392.24,387.4,390.58,13766800,389.78,,,,390.23,389.75,391.03,392.51,混合,-0.49,,47.5,7.86,,,,,,2025-03-10 00:00:00,390.58
2025-03-28,388.08,389.13,376.93,378.8,21632000,389.19,,,,387.69,388.76,390.59,392.37,空头排列,-3.46,,38.7,8.27,,,,,,2025-03-10 00:00:00,378.8
2025-03-31,372.54,377.07,367.24,375.39,35184700,387.63,,,,384.96,387.54,390.05,392.2,空头排列,-4.29,,36.5,8.51,,,,,,2025-03-10 00:00:00,375.39
2025-04-01,374.65,382.85,373.23,382.19,19689500,387.05,,,,384.34,387.05,389.77,392.1,空头排列,-2.53,,43.2,8.59,,,,,,2025-03-10 00:00:00,382.19
2025-04-02,377.97,385.08,376.62,382.14,16092600,385.91,,,,383.85,386.61,389.5,392.0,空头排列,-2.52,,43.2,8.58,,,,,,2025-03-10 00:00:00,382.14
2025-04-03,374.79,377.48,369.35,373.11,30198000,383.42,,,,381.47,385.38,388.91,391.82,空头排列,-4.77,,37.2,8.88,22933920.0,1.3,,,,2025-03-10 00:00:00,373.11
2025-04-04,364.13,374.59,359.48,359.84,49209900,379.0,383.95,,,376.66,383.06,387.87,391.5,空头排列,-8.09,,30.4,9.32,24292710.0,2.0,,,,2025-03-10 00:00:00,359.84
2025-04-07,350.88,371.0,344.79,357.86,50425000,374.99,382.26,,,372.48,380.77,386.8,391.16,空头排列,-8.51,,29.6,10.53,25171955.0,2.0,,,,2025-03-10 00:00:00,357.86
2025-04-08,368.26,373.65,350.25,354.56,35868900,370.49,381.04,,,368.5,378.39,385.65,390.8,空头排列,-9.27,,28.1,11.45,25446390.0,1.4,,,,2025-03-10 00:00:00,354.56
