date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-12-18,386.0,390.32,338.0,349.64,24422900,,,,,349.64,349.64,349.64,349.64,混合,0.0,,,,,,,,,,349.64
2024-12-19,365.44,367.5,323.48,326.46,26922900,,,,,344.49,347.53,348.81,349.41,空头排列,-6.57,,,,,,,,,,326.46
2024-12-20,319.37,364.88,317.0,364.2,44889900,,,,,348.87,349.05,349.36,349.56,混合,4.19,,,,,,,,,,364.2
2024-12-23,358.0,359.74,329.08,332.23,21742500,,,,,345.17,347.52,348.75,349.38,空头排列,-4.91,,,,,,,,,,332.23
2024-12-24,343.5,361.0,342.7,358.18,16377800,,,,,348.06,348.49,349.09,349.47,混合,2.49,,,,,,,,,,358.18
2024-12-26,350.31,351.8,340.0,341.05,13249000,,,,,346.5,347.81,348.8,349.39,空头排列,-2.39,,,,,,,,,,341.05
2024-12-27,342.3,342.71,323.2,330.0,13778500,,,,,342.84,346.19,348.13,349.19,空头排列,-5.5,,,,,,,,,,330.0
2024-12-30,319.4,320.01,301.75,302.96,25771200,338.09,,,,333.98,342.26,346.52,348.73,空头排列,-13.13,,,,,,,,,,302.96
2024-12-31,316.96,317.91,285.01,289.62,22486100,330.59,,,,324.12,337.48,344.48,348.15,空头排列,-16.81,,,,,,,,,,289.62
2025-01-02,300.11,310.8,292.32,300.01,17933900,327.28,,,,318.76,334.07,342.89,347.67,空头排列,-13.71,,,,,,,,,,300.01
2025-01-03,303.0,343.4,301.77,339.66,25039000,324.21,,,,323.41,334.58,342.78,347.59,混合,-2.28,,,,,,,,,,339.66
2025-01-06,349.85,383.02,335.5,379.09,26707300,330.07,,,,335.78,338.63,344.08,347.9,混合,8.96,,,,,,,,,,379.09
2025-01-07,366.47,371.28,335.3,341.43,24736800,327.98,,,,337.04,338.88,343.98,347.84,混合,-1.84,,,,,,,,,,341.43
2025-01-08,335.25,344.39,317.22,331.7,18274800,326.81,,,,335.85,338.23,343.54,347.68,空头排列,-4.6,,,,,,,,,,331.7
2025-01-10,330.31,337.0,317.91,327.91,16478700,326.55,,,,334.09,337.29,342.98,347.48,空头排列,-5.63,,46.7,32.63,,,,,,2024-12-19 00:00:00,327.91
2025-01-13,309.95,329.6,303.8,328.4,15914500,329.73,,,,332.82,336.48,342.46,347.29,空头排列,-5.44,,46.8,32.14,,,,,,2024-12-19 00:00:00,328.4
2025-01-14,343.0,354.9,331.3,342.17,17889500,336.3,,,,334.9,337.0,342.45,347.24,混合,-1.46,,49.2,31.74,,,,,,2024-12-19 00:00:00,342.17
2025-01-15,357.81,368.42,353.01,360.62,19941300,343.87,,,,340.61,339.15,343.1,347.37,混合,3.81,,52.4,31.34,,,,,,2024-12-19 00:00:00,360.62
2025-01-16,357.89,370.26,345.8,367.0,14826600,347.29,,,,346.48,341.68,343.96,347.57,混合,5.59,,53.5,30.85,,,,,,2024-12-19 00:00:00,367.0
2025-01-17,383.28,398.68,380.15,396.5,24339100,349.47,,,,357.59,346.66,345.83,348.05,混合,13.92,,58.3,30.91,21586115.0,1.1,,,,2024-12-19 00:00:00,396.5
2025-01-21,395.46,404.42,367.76,389.1,26215800,355.43,342.76,,,364.6,350.52,347.38,348.46,混合,11.66,,56.7,31.32,21675760.0,1.2,,,,2024-12-19 00:00:00,389.1
2025-01-22,384.91,390.35,371.05,377.31,16000300,361.13,344.08,,,367.42,352.96,348.45,348.75,混合,8.19,,54.2,30.46,21129630.0,0.8,,,,2024-12-19 00:00:00,377.31
2025-01-23,371.75,390.2,370.7,373.12,23306500,366.78,346.3,,,368.69,354.79,349.33,348.99,完整多头,6.91,,53.3,29.68,20050460.0,1.2,,,,2024-12-19 00:00:00,373.12
2025-01-24,377.67,378.11,351.0,353.67,22943800,369.94,345.8,,,365.35,354.69,349.48,349.04,混合,1.33,,49.2,29.5,20110525.0,1.1,,,,2024-12-19 00:00:00,353.67
2025-01-27,340.5,356.88,322.3,347.92,21224400,370.66,346.54,,,361.48,354.07,349.43,349.03,混合,-0.32,,48.1,29.86,20352855.0,1.0,,,,2024-12-19 00:00:00,347.92
2025-01-28,344.68,348.92,333.09,335.93,11461400,367.57,345.48,,,355.8,352.42,348.94,348.9,混合,-3.72,,45.6,28.86,20263475.0,0.6,,,,2024-12-19 00:00:00,335.93
2025-01-29,338.2,343.63,329.33,341.25,11716800,364.35,345.49,,,352.57,351.41,348.67,348.82,混合,-2.17,,46.9,27.82,20160390.0,0.6,,,,2024-12-19 00:00:00,341.25
2025-01-30,345.83,356.11,338.52,340.09,12607800,357.3,345.97,,,349.79,350.38,348.36,348.73,混合,-2.48,,46.6,27.09,19502220.0,0.6,,,,2024-12-19 00:00:00,340.09
