date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-27,22.01,22.8,21.0,21.43,2595100,,,,,21.43,21.43,21.43,21.43,混合,0.0,,,,,,,,,,21.43
2024-11-29,22.0,22.92,21.25,21.99,2856200,,,,,21.55,21.48,21.45,21.44,完整多头,2.59,,,,,,,,,,21.99
2024-12-02,26.12,27.9,24.76,25.75,17142200,,,,,22.49,21.87,21.6,21.48,完整多头,19.89,,,,,,,,,,25.75
2024-12-03,25.8,30.0,25.43,29.33,22322100,,,,,24.01,22.55,21.88,21.56,完整多头,36.06,,,,,,,,,,29.33
2024-12-04,30.5,33.15,30.08,32.31,24007700,,,,,25.85,23.43,22.25,21.66,完整多头,49.14,,,,,,,,,,32.31
2024-12-05,33.94,34.6,30.54,31.16,10374700,,,,,27.03,24.14,22.57,21.76,完整多头,43.21,,,,,,,,,,31.16
2024-12-06,31.98,36.84,31.75,36.77,14708300,,,,,29.2,25.29,23.08,21.91,完整多头,67.84,,,,,,,,,,36.77
2024-12-09,38.57,38.69,31.53,31.96,16659000,28.84,,,,29.81,25.89,23.39,22.01,完整多头,45.22,,,,,,,,,,31.96
2024-12-10,32.71,35.25,31.53,33.7,9979100,30.37,,,,30.67,26.6,23.76,22.12,完整多头,52.32,,,,,,,,,,33.7
2024-12-11,34.4,34.95,31.95,32.78,6029900,31.72,,,,31.14,27.16,24.08,22.23,完整多头,47.46,,,,,,,,,,32.78
2024-12-12,32.36,33.0,31.12,31.33,5684700,32.42,,,,31.18,27.54,24.34,22.32,完整多头,40.36,,,,,,,,,,31.33
2024-12-13,31.63,31.7,29.95,30.75,7228800,32.6,,,,31.09,27.83,24.57,22.4,混合,37.25,,,,,,,,,,30.75
2024-12-16,30.78,34.43,30.49,33.4,7562000,32.73,,,,31.6,28.34,24.89,22.51,完整多头,48.35,,,,,,,,,,33.4
2024-12-17,33.0,33.0,29.14,29.34,7593500,32.5,,,,31.1,28.43,25.05,22.58,混合,29.93,,,,,,,,,,29.34
2024-12-18,28.94,30.0,26.99,27.09,8765100,31.29,,,,30.21,28.31,25.12,22.63,混合,19.73,,57.8,3.89,,,,,,2024-11-29 00:00:00,27.09
2024-12-19,27.74,28.16,25.98,27.05,6797700,30.68,,,,29.51,28.19,25.19,22.67,混合,19.32,,57.8,3.77,,,,,,2024-11-29 00:00:00,27.05
2024-12-20,26.49,28.76,26.0,26.71,5560000,29.81,,,,28.88,28.06,25.24,22.71,混合,17.61,,57.1,3.69,,,,,,2024-11-29 00:00:00,26.71
2024-12-23,27.04,28.74,25.77,28.64,5599000,29.29,,,,28.83,28.11,25.36,22.77,混合,25.78,,59.8,3.64,,,,,,2024-11-29 00:00:00,28.64
2024-12-24,28.77,28.96,27.37,28.25,2971700,28.9,,,,28.7,28.12,25.47,22.82,混合,23.75,,59.0,3.5,,,,,,2024-11-29 00:00:00,28.25
2024-12-26,28.3,29.39,27.32,28.06,3020800,28.57,,,,28.56,28.12,25.56,22.88,混合,22.66,,58.6,3.39,9372880.0,0.3,,,,2024-11-29 00:00:00,28.06
2024-12-27,27.94,28.0,25.53,27.31,5407500,27.81,29.29,,,28.28,28.05,25.62,22.92,混合,19.15,,56.9,3.33,9513500.0,0.6,,,,2024-11-29 00:00:00,27.31
2024-12-30,26.95,27.2,25.9,26.92,3108400,27.5,29.55,,,27.98,27.94,25.67,22.96,混合,17.25,,56.0,3.19,9526110.0,0.3,,,,2024-11-29 00:00:00,26.92
2024-12-31,27.39,28.68,26.79,27.7,3810400,27.58,29.82,,,27.92,27.92,25.74,23.01,混合,20.4,,57.5,3.1,8859520.0,0.4,,,,2024-11-29 00:00:00,27.7
2025-01-02,28.13,30.58,28.13,30.51,6758900,28.01,30.05,,,28.49,28.16,25.91,23.08,完整多头,32.18,,62.3,3.09,8081360.0,0.8,,,,2024-11-29 00:00:00,30.51
2025-01-03,30.52,31.54,29.1,31.18,4399800,28.57,30.14,,,29.09,28.43,26.1,23.16,完整多头,34.61,,63.3,3.04,7100965.0,0.6,,,,2024-11-29 00:00:00,31.18
2025-01-06,31.96,33.18,30.7,31.22,5761500,28.89,30.09,,,29.56,28.68,26.28,23.24,完整多头,34.32,,63.4,3.0,6870305.0,0.8,,,,2024-11-29 00:00:00,31.22
2025-01-07,32.37,34.1,30.58,31.54,8432300,29.31,30.1,,,30.0,28.94,26.47,23.33,完整多头,35.22,,64.0,3.04,6556505.0,1.3,,,,2024-11-29 00:00:00,31.54
2025-01-08,31.35,31.74,29.58,30.74,4187100,29.64,29.82,,,30.17,29.11,26.62,23.4,完整多头,31.37,,61.4,2.97,5932910.0,0.7,,,,2024-11-29 00:00:00,30.74
2025-01-10,29.9,33.98,29.01,33.18,7197800,30.37,29.88,,,30.84,29.48,26.86,23.5,完整多头,41.21,,65.9,3.12,5793845.0,1.2,,,,2024-11-29 00:00:00,33.18
2025-01-13,32.26,36.0,31.1,35.72,11185500,31.47,29.97,,,31.92,30.05,27.17,23.62,完整多头,51.24,,69.8,3.24,6051625.0,1.8,,,,2024-11-29 00:00:00,35.72
2025-01-14,35.27,37.33,34.73,36.89,10025500,32.62,30.17,,,33.03,30.67,27.52,23.75,完整多头,55.33,,71.4,3.2,6268665.0,1.6,,,,2024-11-29 00:00:00,36.89
2025-01-15,37.53,39.38,35.58,37.02,10053300,33.44,30.44,,,33.91,31.24,27.86,23.88,完整多头,55.01,,71.6,3.24,6409890.0,1.6,,,,2024-11-29 00:00:00,37.02
2025-01-16,37.1,38.47,35.8,37.59,5614900,34.24,30.76,,,34.73,31.82,28.21,24.02,完整多头,56.5,,72.4,3.2,6312535.0,0.9,,,,2024-11-29 00:00:00,37.59
2025-01-17,38.35,38.39,35.61,36.04,4959400,34.84,30.89,,,35.02,32.21,28.49,24.14,完整多头,49.31,,66.7,3.17,6180830.0,0.8,,,,2024-11-29 00:00:00,36.04
2025-01-21,36.14,37.8,34.6,37.6,6532200,35.6,31.28,,,35.59,32.7,28.81,24.27,完整多头,54.91,,69.3,3.17,6069185.0,1.1,,,,2024-11-29 00:00:00,37.6
2025-01-22,38.4,40.96,37.9,39.52,10290100,36.7,31.88,,,36.47,33.32,29.19,24.42,完整多头,61.81,,72.2,3.19,6243805.0,1.6,,,,2024-11-29 00:00:00,39.52
2025-01-23,38.37,40.04,37.62,38.64,7608900,37.38,32.43,,,36.95,33.8,29.53,24.57,完整多头,57.3,,69.0,3.13,6346250.0,1.2,,,,2024-11-29 00:00:00,38.64
2025-01-24,39.37,43.66,39.25,41.69,14055900,38.12,33.14,,,38.0,34.52,29.97,24.74,完整多头,68.54,,73.4,3.27,6769095.0,2.1,,,,2024-11-29 00:00:00,41.69
2025-01-27,33.5,33.59,24.41,26.08,44540500,36.77,33.02,,,35.35,33.75,29.83,24.75,混合,5.38,,41.1,4.27,8847535.0,5.0,,,,2024-11-29 00:00:00,26.08
2025-01-28,28.2,30.24,26.7,30.09,22143800,35.91,33.11,,,34.18,33.42,29.84,24.8,混合,21.32,,47.5,4.26,9803685.0,2.3,,,,2024-11-29 00:00:00,30.09
2025-01-29,29.55,31.34,28.96,29.73,12971500,34.92,33.19,,,33.19,33.08,29.83,24.85,混合,19.63,,47.0,4.13,10181885.0,1.3,,,,2024-11-29 00:00:00,29.73
2025-01-30,31.2,33.4,30.66,31.8,11796600,34.39,33.4,,,32.88,32.97,29.9,24.92,混合,27.61,,50.2,4.09,10616295.0,1.1,,,,2024-11-29 00:00:00,31.8
2025-01-31,32.41,34.59,31.92,32.66,11608100,33.78,33.67,,,32.83,32.94,30.0,25.0,混合,30.65,,51.5,4.0,11006180.0,1.1,,,,2024-11-29 00:00:00,32.66
2025-02-03,29.97,34.13,29.6,33.31,11380000,33.0,33.94,,,32.94,32.97,30.12,25.08,混合,32.81,,52.5,4.04,11237235.0,1.0,,,,2024-11-29 00:00:00,33.31
2025-02-04,34.1,34.97,33.01,34.5,7675000,32.48,34.13,,,33.29,33.11,30.28,25.17,完整多头,37.05,,54.4,3.89,11400995.0,0.7,,,,2024-11-29 00:00:00,34.5
2025-02-05,34.8,35.51,33.57,33.93,6639300,31.51,34.26,,,33.43,33.19,30.41,25.26,完整多头,34.32,,53.3,3.75,11444885.0,0.6,,,,2024-11-29 00:00:00,33.93
2025-02-06,34.0,34.86,32.63,34.55,8747400,32.57,34.42,,,33.68,33.31,30.55,25.35,完整多头,36.27,,54.4,3.64,11460640.0,0.8,,,,2024-11-29 00:00:00,34.55
2025-02-07,35.34,39.5,34.91,38.13,17526600,33.58,34.73,,,34.67,33.75,30.83,25.48,完整多头,49.64,,60.1,3.73,12127615.0,1.4,,,,2024-11-29 00:00:00,38.13
2025-02-10,38.81,41.3,38.7,40.97,12583300,34.98,35.22,,,36.07,34.4,31.19,25.63,完整多头,59.82,,64.0,3.69,12396890.0,1.0,,,,2024-11-29 00:00:00,40.97
2025-02-11,40.11,42.44,39.96,41.42,9458500,36.18,35.61,,,37.26,35.04,31.55,25.79,完整多头,60.59,,64.5,3.61,12310540.0,0.8,,,,2024-11-29 00:00:00,41.42
2025-02-12,39.66,40.63,38.92,39.3,9121600,37.01,35.78,,,37.71,35.43,31.83,25.93,完整多头,51.58,,59.6,3.53,12265345.0,0.7,,,,2024-11-29 00:00:00,39.3
2025-02-13,40.19,41.83,38.68,41.7,8181300,38.06,36.01,,,38.6,36.0,32.18,26.08,完整多头,59.87,,63.1,3.5,12171745.0,0.7,,,,2024-11-29 00:00:00,41.7
2025-02-14,45.0,47.68,41.65,44.49,35111400,39.31,36.37,,,39.91,36.77,32.62,26.27,完整多头,69.38,,66.6,3.68,13646570.0,2.6,,,,2024-11-29 00:00:00,44.49
2025-02-18,47.27,50.87,46.74,48.07,28138400,41.08,36.87,,,41.72,37.8,33.17,26.48,完整多头,81.51,,70.5,3.87,14805520.0,1.9,,,,2024-11-29 00:00:00,48.07
2025-02-19,47.2,47.93,44.5,44.83,18331300,42.36,37.29,33.17,,42.41,38.44,33.59,26.67,完整多头,68.12,,63.3,3.85,15395475.0,1.2,,,,2024-11-29 00:00:00,44.83
2025-02-20,40.04,48.63,38.5,46.25,36538300,43.38,37.7,33.62,,43.26,39.15,34.04,26.86,完整多头,72.19,,65.0,4.3,16707885.0,2.2,,,,2024-11-29 00:00:00,46.25
2025-02-21,45.48,45.8,39.5,39.83,22147000,43.24,37.71,33.95,,42.5,39.21,34.25,26.99,混合,47.59,,53.1,4.48,17434790.0,1.3,,,,2024-11-29 00:00:00,39.83
2025-02-24,37.9,38.18,34.03,36.22,21806800,42.59,37.6,34.14,,41.11,38.94,34.32,27.08,混合,33.74,,47.8,4.57,17822335.0,1.2,,,,2024-11-29 00:00:00,36.22
2025-02-25,35.2,36.48,32.73,34.21,14779000,41.95,37.24,34.23,,39.57,38.51,34.32,27.15,混合,25.99,,45.1,4.51,16334260.0,0.9,,,,2024-11-29 00:00:00,34.21
2025-02-26,35.98,37.92,35.13,35.98,12278900,41.24,37.71,34.29,,38.78,38.28,34.37,27.24,混合,32.08,,47.9,4.45,15841015.0,0.8,,,,2024-11-29 00:00:00,35.98
2025-02-27,37.69,38.05,31.71,32.05,16716300,39.68,37.81,34.31,,37.28,37.71,34.29,27.29,混合,17.45,,42.7,4.59,16028255.0,1.0,,,,2024-11-29 00:00:00,32.05
2025-02-28,30.87,33.57,30.25,32.49,11659600,37.73,37.94,34.23,,36.22,37.24,34.23,27.34,混合,18.84,,43.4,4.5,16021405.0,0.7,,,,2024-11-29 00:00:00,32.49
2025-03-03,32.81,33.18,27.58,28.1,18060700,35.64,37.76,34.16,,34.41,36.41,34.01,27.35,混合,2.75,,38.1,4.58,16344035.0,1.1,,,,2024-11-29 00:00:00,28.1
2025-03-04,27.5,30.92,26.21,29.61,18510300,33.56,37.62,34.09,,33.35,35.79,33.85,27.37,混合,8.18,,40.8,4.59,16700550.0,1.1,,,,2024-11-29 00:00:00,29.61
2025-03-05,30.96,31.18,29.32,30.17,12909200,32.35,37.47,34.04,,32.64,35.28,33.72,27.4,混合,10.12,,41.8,4.39,16962260.0,0.8,,,,2024-11-29 00:00:00,30.17
