date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-03-10,87.51,88.13,85.45,86.67,69953000,,,,,86.67,86.67,86.67,86.67,混合,0.0,,,,,,,,,,86.67
2025-03-11,86.74,91.07,86.6,89.51,73989000,,,,,87.3,86.93,86.77,86.7,完整多头,3.25,,,,,,,,,,89.51
2025-03-12,91.46,92.72,90.1,91.97,68658000,,,,,88.34,87.38,86.96,86.75,完整多头,6.02,,,,,,,,,,91.97
2025-03-13,91.3,92.19,88.75,89.02,50017000,,,,,88.49,87.53,87.03,86.77,完整多头,2.59,,,,,,,,,,89.02
2025-03-14,90.15,91.96,90.1,91.8,52007000,,,,,89.22,87.92,87.2,86.82,完整多头,5.73,,,,,,,,,,91.8
2025-03-17,94.0,96.76,93.44,95.0,75431000,,,,,90.51,88.56,87.48,86.9,完整多头,9.32,,,,,,,,,,95.0
2025-03-18,94.0,94.82,91.63,93.0,60094000,,,,,91.06,88.97,87.68,86.96,完整多头,6.94,,,,,,,,,,93.0
2025-03-19,93.58,96.8,92.4,95.95,66624000,91.61,,,,92.15,89.6,87.97,87.05,完整多头,10.22,,,,,,,,,,95.95
2025-03-20,95.0,96.7,94.55,95.08,44663000,92.67,,,,92.8,90.1,88.22,87.13,完整多头,9.13,,,,,,,,,,95.08
2025-03-21,94.16,96.36,94.1,96.03,59054000,93.48,,,,93.52,90.64,88.5,87.22,完整多头,10.1,,,,,,,,,,96.03
2025-03-24,96.97,97.7,95.15,97.2,46779000,94.13,,,,94.34,91.24,88.81,87.32,完整多头,11.31,,,,,,,,,,97.2
2025-03-25,97.82,99.87,97.71,99.73,37822000,95.47,,,,95.53,92.01,89.2,87.44,完整多头,14.05,,,,,,,,,,99.73
2025-03-26,99.38,99.68,96.63,97.07,35274000,96.13,,,,95.87,92.47,89.48,87.54,完整多头,10.88,,,,,,,,,,97.07
2025-03-27,97.42,98.9,96.64,97.67,30472000,96.47,,,,96.27,92.94,89.78,87.64,完整多头,11.45,,,,,,,,,,97.67
2025-03-28,97.2,97.5,92.92,93.39,44227000,96.51,,,,95.63,92.98,89.91,87.7,混合,6.49,,60.4,3.32,,,,,,2025-03-11 00:00:00,93.39
2025-03-31,92.05,93.45,90.06,93.25,46341000,96.18,,,,95.1,93.01,90.03,87.75,混合,6.27,,60.1,3.33,,,,,,2025-03-11 00:00:00,93.25
2025-04-01,92.75,93.23,91.15,92.84,35200000,95.9,,,,94.6,92.99,90.13,87.8,混合,5.73,,59.3,3.24,,,,,,2025-03-11 00:00:00,92.84
2025-04-02,92.3,94.96,91.61,93.55,32569000,95.59,,,,94.37,93.04,90.25,87.86,混合,6.48,,60.3,3.25,,,,,,2025-03-11 00:00:00,93.55
2025-04-03,90.18,94.66,90.05,91.71,58646000,94.9,,,,93.78,92.92,90.3,87.9,混合,4.33,,56.2,3.35,,,,,,2025-03-11 00:00:00,91.71
2025-04-04,89.65,90.66,85.39,85.59,67988000,93.13,,,,91.96,92.25,90.13,87.88,混合,-2.61,,45.2,3.56,52790400.0,1.3,,,,2025-03-11 00:00:00,85.59
2025-04-07,82.79,90.67,82.11,86.78,66568000,91.85,92.99,,,90.81,91.76,90.01,87.87,混合,-1.23,,47.3,3.92,52621150.0,1.3,,,,2025-03-11 00:00:00,86.78
2025-04-08,91.24,92.24,85.77,87.04,56254000,90.52,93.01,,,89.97,91.33,89.91,87.86,混合,-0.93,,47.8,4.1,51734400.0,1.1,,,,2025-03-11 00:00:00,87.04
2025-04-09,85.59,95.14,85.44,94.55,74980000,90.66,93.25,,,90.99,91.62,90.07,87.92,混合,7.53,,59.4,4.5,52050500.0,1.4,,,,2025-03-11 00:00:00,94.55
2025-04-10,93.19,94.12,89.4,92.12,51298000,90.52,93.25,,,91.24,91.67,90.14,87.97,混合,4.72,,55.2,4.55,52114550.0,1.0,,,,2025-03-11 00:00:00,92.12
2025-04-11,92.0,94.49,90.67,91.83,40736000,90.39,93.39,,,91.37,91.68,90.2,88.0,混合,4.35,,54.7,4.49,51551000.0,0.8,,,,2025-03-11 00:00:00,91.83
2025-04-14,93.27,94.9,91.95,93.13,40359000,90.34,93.45,,,91.76,91.81,90.31,88.05,混合,5.76,,56.6,4.39,49797400.0,0.8,,,,2025-03-11 00:00:00,93.13
2025-04-15,95.0,99.35,94.8,97.63,77120000,91.08,93.58,,,93.06,92.34,90.57,88.15,完整多头,10.75,,62.5,4.52,50648700.0,1.5,,,,2025-03-11 00:00:00,97.63
2025-04-16,97.63,98.12,94.92,96.16,60661000,92.4,93.73,,,93.75,92.69,90.77,88.23,完整多头,8.99,,59.7,4.43,50350550.0,1.2,,,,2025-03-11 00:00:00,96.16
2025-04-17,96.9,98.47,95.6,97.3,88937000,93.72,93.79,,,94.54,93.11,91.0,88.32,完整多头,10.17,,61.1,4.32,52564250.0,1.7,,,,2025-03-11 00:00:00,97.3
2025-04-21,98.44,101.9,97.31,98.79,97757000,95.19,93.97,,,95.49,93.62,91.28,88.42,完整多头,11.72,,63.1,4.34,54499400.0,1.8,,,,2025-03-11 00:00:00,98.79
2025-04-22,100.53,106.5,100.45,104.03,93689000,96.37,94.35,,,97.39,94.57,91.74,88.58,完整多头,17.45,,68.9,4.58,56844900.0,1.6,,,,2025-03-11 00:00:00,104.03
2025-04-23,104.72,106.12,103.2,104.96,64719000,97.98,94.72,,,99.07,95.51,92.21,88.74,完整多头,18.27,,69.8,4.46,58189750.0,1.1,,,,2025-03-11 00:00:00,104.96
2025-04-24,104.8,110.1,104.7,109.69,63819000,100.21,95.19,,,101.43,96.8,92.83,88.95,完整多头,23.31,,73.9,4.53,59617000.0,1.1,,,,2025-03-11 00:00:00,109.69
2025-04-25,109.7,110.68,109.1,110.15,39500000,102.34,95.82,,,103.37,98.02,93.45,89.16,完整多头,23.54,,74.3,4.32,60068400.0,0.7,,,,2025-03-11 00:00:00,110.15
2025-04-28,110.0,111.4,108.26,111.04,38311000,104.02,96.45,,,105.07,99.2,94.08,89.38,完整多头,24.23,,75.1,4.23,59772600.0,0.6,,,,2025-03-11 00:00:00,111.04
2025-04-29,110.39,112.78,109.55,112.56,37773000,106.07,97.37,,,106.74,100.42,94.74,89.61,完整多头,25.62,,76.3,4.16,59344200.0,0.6,,,,2025-03-11 00:00:00,112.56
2025-04-30,111.26,113.32,110.11,113.17,42667000,108.05,98.32,,,108.17,101.58,95.4,89.84,完整多头,25.96,,76.8,4.09,59717550.0,0.7,,,,2025-03-11 00:00:00,113.17
2025-05-01,112.25,114.24,111.18,113.35,34995000,109.87,99.29,,,109.32,102.65,96.04,90.08,完整多头,25.83,,77.0,4.02,59838850.0,0.6,,,,2025-03-11 00:00:00,113.35
2025-05-02,113.67,115.94,113.33,115.65,37743000,111.32,100.34,,,110.72,103.83,96.74,90.33,完整多头,28.03,,78.9,3.92,58793700.0,0.6,,,,2025-03-11 00:00:00,115.65
2025-05-05,111.48,114.4,110.7,113.41,56623000,112.38,101.38,,,111.32,104.7,97.34,90.56,完整多头,25.22,,72.5,3.99,58225450.0,1.0,,,,2025-03-11 00:00:00,113.41
2025-05-06,112.94,114.77,112.64,113.77,32567000,112.89,102.72,,,111.86,105.52,97.92,90.79,完整多头,25.31,,72.9,3.86,56525400.0,0.6,,,,2025-03-11 00:00:00,113.77
2025-05-07,113.92,116.4,113.8,115.54,43497000,113.56,104.09,,,112.68,106.43,98.55,91.04,完整多头,26.91,,74.7,3.77,55887550.0,0.8,,,,2025-03-11 00:00:00,115.54
2025-05-08,116.16,116.23,113.92,114.44,37609000,113.99,105.39,,,113.07,107.16,99.12,91.27,完整多头,25.39,,71.5,3.67,54019000.0,0.7,,,,2025-03-11 00:00:00,114.44
2025-05-09,114.71,115.1,113.32,114.02,25696000,114.17,106.32,,,113.28,107.79,99.65,91.5,完整多头,24.62,,70.2,3.53,52738900.0,0.5,,,,2025-03-11 00:00:00,114.02
2025-05-12,112.43,113.0,110.29,111.0,64791000,113.9,107.22,,,112.78,108.08,100.06,91.69,混合,21.06,,61.7,3.55,53941650.0,1.2,,,,2025-03-11 00:00:00,111.0
2025-05-13,111.45,114.79,110.63,113.84,39979000,113.96,108.27,,,113.01,108.6,100.55,91.91,完整多头,23.86,,65.9,3.59,53922650.0,0.7,,,,2025-03-11 00:00:00,113.84
2025-05-14,112.96,115.29,112.84,115.1,39101000,113.89,109.31,,,113.48,109.19,101.07,92.14,完整多头,24.91,,67.6,3.51,52021700.0,0.8,,,,2025-03-11 00:00:00,115.1
2025-05-15,114.77,118.78,114.76,117.8,44640000,114.44,110.28,,,114.44,109.97,101.67,92.4,完整多头,27.49,,70.9,3.54,51220650.0,0.9,,,,2025-03-11 00:00:00,117.8
2025-05-16,119.31,119.65,117.94,119.15,46984000,115.11,111.37,,,115.49,110.81,102.29,92.67,完整多头,28.58,,72.4,3.42,49123000.0,1.0,,,,2025-03-11 00:00:00,119.15
2025-05-19,117.36,119.16,117.17,119.16,28534000,115.57,112.41,,,116.3,111.57,102.89,92.93,完整多头,28.23,,72.4,3.32,45661850.0,0.6,,,,2025-03-11 00:00:00,119.16
2025-05-20,118.68,119.3,117.9,119.2,21331000,116.16,113.38,,,116.95,112.26,103.48,93.19,完整多头,27.91,,72.5,3.18,42043950.0,0.5,,,,2025-03-11 00:00:00,119.2
2025-05-21,118.65,121.12,118.65,119.46,29766000,116.84,114.12,,,117.51,112.92,104.05,93.45,完整多头,27.83,,72.8,3.13,40296300.0,0.7,,,,2025-03-11 00:00:00,119.46
2025-05-22,119.24,119.88,118.72,118.8,18616000,117.81,114.78,,,117.79,113.45,104.57,93.7,完整多头,26.78,,70.4,2.99,38036150.0,0.5,,,,2025-03-11 00:00:00,118.8
2025-05-23,118.4,119.14,117.94,118.54,21865000,118.4,115.2,,,117.96,113.91,105.07,93.95,完整多头,26.17,,69.5,2.86,37154400.0,0.6,,,,2025-03-11 00:00:00,118.54
2025-05-27,119.53,121.18,119.31,121.16,29205000,119.16,115.72,102.92,,118.67,114.57,105.65,94.22,完整多头,28.59,,73.4,2.85,36699100.0,0.8,,,,2025-03-11 00:00:00,121.16
2025-05-28,121.03,121.59,120.6,120.86,18559000,119.54,116.19,103.54,,119.16,115.14,106.19,94.49,完整多头,27.91,,72.2,2.71,35738400.0,0.5,,,,2025-03-11 00:00:00,120.86
2025-05-29,120.8,120.9,117.63,118.49,33007000,119.46,116.47,104.06,,119.01,115.45,106.63,94.73,混合,25.08,,63.7,2.75,35255400.0,0.9,,,,2025-03-11 00:00:00,118.49
2025-05-30,119.83,121.18,118.09,120.72,46968000,119.65,116.83,104.59,,119.39,115.93,107.13,94.98,完整多头,27.1,,67.6,2.78,35854050.0,1.3,,,,2025-03-11 00:00:00,120.72
2025-06-02,120.12,121.94,119.62,121.9,22942000,119.99,117.24,105.18,,119.95,116.47,107.66,95.25,完整多头,27.97,,69.5,2.75,35114000.0,0.7,,,,2025-03-11 00:00:00,121.9
2025-06-03,121.99,122.96,121.12,121.79,23638000,120.28,117.53,105.73,,120.36,116.95,108.16,95.52,完整多头,27.51,,69.1,2.68,33464750.0,0.7,,,,2025-03-11 00:00:00,121.79
2025-06-04,122.07,124.26,121.99,123.97,23594000,120.93,118.03,106.26,,121.16,117.59,108.73,95.8,完整多头,29.4,,72.4,2.66,33016100.0,0.7,,,,2025-03-11 00:00:00,123.97
2025-06-05,124.06,126.28,123.73,125.05,28172000,121.74,118.57,106.84,,122.02,118.27,109.31,96.09,完整多头,30.14,,74.0,2.66,32249850.0,0.9,,,,2025-03-11 00:00:00,125.05
2025-06-06,125.94,126.0,123.56,124.15,25570000,122.12,118.98,107.35,,122.5,118.8,109.84,96.37,完整多头,28.82,,70.5,2.64,31647900.0,0.8,,,,2025-03-11 00:00:00,124.15
2025-06-09,123.89,123.89,122.16,122.45,24031000,122.31,119.36,107.85,,122.48,119.14,110.29,96.63,混合,26.72,,64.3,2.6,31564650.0,0.8,,,,2025-03-11 00:00:00,122.45
2025-06-10,122.75,122.75,118.06,120.36,44544000,122.55,119.66,108.29,,122.01,119.25,110.65,96.87,混合,24.26,,57.7,2.74,30552300.0,1.5,,,,2025-03-11 00:00:00,120.36
