date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-12-05,145.11,146.54,143.95,145.06,172621200,,,,,145.06,145.06,145.06,145.06,混合,0.0,,,,,,,,,,145.06
2024-12-06,144.6,145.7,141.31,142.44,188505600,,,,,144.48,144.82,144.97,145.03,空头排列,-1.79,,,,,,,,,,142.44
2024-12-09,138.97,139.95,137.13,138.81,189308600,,,,,143.22,144.28,144.75,144.97,空头排列,-4.25,,,,,,,,,,138.81
2024-12-10,139.01,141.82,133.79,135.07,210020900,,,,,141.41,143.44,144.4,144.87,空头排列,-6.77,,,,,,,,,,135.07
2024-12-11,137.36,140.17,135.21,139.31,184905200,,,,,140.94,143.06,144.22,144.82,空头排列,-3.8,,,,,,,,,,139.31
2024-12-12,137.08,138.44,135.8,137.34,159211400,,,,,140.14,142.54,143.97,144.74,空头排列,-5.12,,,,,,,,,,137.34
2024-12-13,138.94,139.6,132.54,134.25,231514900,,,,,138.83,141.79,143.63,144.64,空头排列,-7.18,,,,,,,,,,134.25
2024-12-16,134.18,134.4,130.42,132.0,237951100,138.03,,,,137.31,140.9,143.21,144.51,空头排列,-8.66,,,,,,,,,,132.0
2024-12-17,129.09,131.59,126.86,130.39,259410300,136.2,,,,135.78,139.94,142.75,144.37,空头排列,-9.69,,,,,,,,,,130.39
2024-12-18,133.86,136.7,128.28,128.91,277444500,134.51,,,,134.25,138.94,142.26,144.22,空头排列,-10.62,,,,,,,,,,128.91
2024-12-19,131.76,134.03,129.55,130.68,209719200,133.49,,,,133.46,138.19,141.85,144.08,空头排列,-9.3,,,,,,,,,,130.68
2024-12-20,129.81,135.28,128.22,134.7,306528600,133.45,,,,133.73,137.87,141.59,143.99,混合,-6.45,,,,,,,,,,134.7
2024-12-23,136.28,139.79,135.12,139.67,176053500,133.49,,,,135.05,138.04,141.52,143.95,混合,-2.97,,,,,,,,,,139.67
2024-12-24,140.0,141.9,138.65,140.22,105157000,133.85,,,,136.2,138.23,141.47,143.91,混合,-2.56,,,,,,,,,,140.22
2024-12-26,139.7,140.85,137.73,139.93,116205600,134.56,,,,137.03,138.39,141.42,143.87,混合,-2.74,,42.9,5.33,,,,,,2024-12-06 00:00:00,139.93
2024-12-27,138.55,139.02,134.71,137.01,170582600,135.19,,,,137.03,138.26,141.26,143.8,空头排列,-4.72,,39.5,5.32,,,,,,2024-12-06 00:00:00,137.01
