date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-04-15,134.76,136.48,133.72,133.94,8630000,,,,,133.94,133.94,133.94,133.94,混合,0.0,,,,,,,,,,133.94
2025-04-16,132.28,132.54,127.85,129.76,8295200,,,,,133.01,133.56,133.79,133.9,空头排列,-3.09,,,,,,,,,,129.76
2025-04-17,130.9,131.3,128.44,128.62,8925500,,,,,132.04,133.11,133.61,133.85,空头排列,-3.9,,,,,,,,,,128.62
2025-04-21,126.89,127.2,121.24,122.82,12201200,,,,,129.99,132.18,133.22,133.74,空头排列,-8.16,,,,,,,,,,122.82
2025-04-22,124.5,127.99,123.39,127.24,11233700,,,,,129.38,131.73,133.01,133.67,空头排列,-4.81,,,,,,,,,,127.24
2025-04-23,134.91,135.87,130.99,131.4,9528900,,,,,129.83,131.7,132.95,133.65,混合,-1.68,,,,,,,,,,131.4
2025-04-24,132.51,137.86,132.0,137.51,7305900,,,,,131.53,132.23,133.11,133.69,混合,2.86,,,,,,,,,,137.51
2025-04-25,137.49,139.0,136.76,138.49,5476400,131.22,,,,133.08,132.79,133.3,133.74,混合,3.56,,,,,,,,,,138.49
2025-04-28,139.65,140.67,138.08,140.14,6985100,132.0,,,,134.65,133.46,133.55,133.8,混合,4.74,,,,,,,,,,140.14
2025-04-29,139.81,141.16,139.55,140.79,4851500,133.38,,,,136.01,134.13,133.81,133.87,混合,5.17,,,,,,,,,,140.79
2025-04-30,138.48,141.3,135.57,140.72,9443500,134.89,,,,137.06,134.73,134.05,133.94,完整多头,5.06,,,,,,,,,,140.72
2025-05-01,146.56,148.64,145.34,145.49,11525800,137.72,,,,138.93,135.71,134.46,134.05,完整多头,8.53,,,,,,,,,,145.49
2025-05-02,148.33,153.06,148.33,150.73,11346000,140.66,,,,141.55,137.07,135.04,134.22,完整多头,12.3,,,,,,,,,,150.73
2025-05-05,149.44,150.82,148.52,149.29,5187400,142.89,,,,143.27,138.18,135.55,134.37,完整多头,11.11,,,,,,,,,,149.29
2025-05-06,146.98,148.94,145.72,147.7,5108600,144.17,,,,144.26,139.05,135.99,134.5,完整多头,9.81,,66.3,5.01,,,,,,2025-04-16 00:00:00,147.7
2025-05-07,147.5,149.9,147.24,149.37,6049600,145.53,,,,145.39,139.99,136.46,134.65,完整多头,10.93,,67.7,4.84,,,,,,2025-04-16 00:00:00,149.37
2025-05-08,149.05,151.81,148.61,150.3,6113600,146.8,,,,146.48,140.92,136.96,134.8,完整多头,11.5,,68.5,4.72,,,,,,2025-04-16 00:00:00,150.3
2025-05-09,150.04,151.8,149.79,150.34,4707100,147.99,,,,147.34,141.78,137.44,134.96,完整多头,11.4,,68.5,4.53,,,,,,2025-04-16 00:00:00,150.34
2025-05-12,156.31,157.43,154.42,157.22,7875500,150.05,,,,149.54,143.18,138.14,135.18,完整多头,16.3,,73.9,4.71,,,,,,2025-04-16 00:00:00,157.22
2025-05-13,158.22,163.22,157.57,162.27,11955200,152.15,,,,152.37,144.92,139.0,135.45,完整多头,19.8,,77.0,4.8,8137285.0,1.5,,,,2025-04-16 00:00:00,162.27
2025-05-14,162.36,163.41,161.06,162.95,7499400,153.68,142.72,,,154.72,146.56,139.86,135.72,完整多头,20.06,,77.3,4.63,8080755.0,0.9,,,,2025-04-16 00:00:00,162.95
2025-05-15,161.36,161.74,158.91,159.4,10169200,154.94,143.93,,,155.76,147.73,140.56,135.96,完整多头,17.24,,70.6,4.59,8174455.0,1.2,,,,2025-04-16 00:00:00,159.4
2025-05-16,160.0,160.84,158.52,160.49,8515500,156.54,145.39,,,156.81,148.89,141.27,136.2,完整多头,17.83,,71.4,4.43,8153955.0,1.0,,,,2025-04-16 00:00:00,160.49
2025-05-19,158.3,161.97,157.83,159.64,10268900,157.83,146.87,,,157.44,149.86,141.93,136.44,完整多头,17.01,,69.8,4.4,8057340.0,1.3,,,,2025-04-16 00:00:00,159.64
2025-05-20,158.63,160.36,157.53,160.31,7576400,159.08,148.66,,,158.08,150.81,142.58,136.67,完整多头,17.29,,70.4,4.29,7874475.0,1.0,,,,2025-04-16 00:00:00,160.31
2025-05-21,158.35,160.9,156.46,157.18,6011000,159.93,150.08,,,157.88,151.39,143.1,136.88,混合,14.83,,64.2,4.3,7698580.0,0.8,,,,2025-04-16 00:00:00,157.18
2025-05-22,156.98,159.19,156.82,157.31,7603300,159.94,151.32,,,157.75,151.93,143.61,137.08,混合,14.76,,64.4,4.16,7713450.0,1.0,,,,2025-04-16 00:00:00,157.31
2025-05-23,154.99,157.38,154.26,155.97,6527500,159.16,152.2,,,157.36,152.3,144.05,137.27,混合,13.62,,61.7,4.09,7766005.0,0.8,,,,2025-04-16 00:00:00,155.97
2025-05-27,159.32,162.4,158.92,161.91,6976800,159.03,153.31,,,158.37,153.17,144.69,137.51,完整多头,17.74,,68.0,4.26,7765590.0,0.9,,,,2025-04-16 00:00:00,161.91
2025-05-28,161.87,164.32,161.28,163.85,8090700,159.58,154.44,,,159.59,154.14,145.37,137.78,完整多头,18.92,,69.8,4.17,7927550.0,1.0,,,,2025-04-16 00:00:00,163.85
2025-05-29,165.0,165.32,161.49,162.9,6994700,159.88,155.49,,,160.32,154.94,146.0,138.03,完整多头,18.02,,67.8,4.15,7805110.0,0.9,,,,2025-04-16 00:00:00,162.9
2025-05-30,163.43,165.75,161.55,165.53,17547900,160.62,156.67,,,161.48,155.9,146.7,138.3,完整多头,19.69,,70.3,4.15,8106215.0,2.2,,,,2025-04-16 00:00:00,165.53
2025-06-02,164.17,167.0,162.6,166.57,7166000,161.4,157.68,,,162.61,156.87,147.41,138.58,完整多头,20.2,,71.3,4.17,7897215.0,0.9,,,,2025-04-16 00:00:00,166.57
2025-06-03,166.8,169.33,166.59,169.14,7155300,162.9,158.55,,,164.06,157.99,148.18,138.89,完整多头,21.78,,73.5,4.07,7995610.0,0.9,,,,2025-04-16 00:00:00,169.14
2025-06-04,169.71,170.48,167.57,168.1,6375800,164.25,159.45,,,164.96,158.91,148.89,139.18,完整多头,20.78,,71.1,3.98,8058970.0,0.8,,,,2025-04-16 00:00:00,168.1
2025-06-05,169.0,172.26,168.76,171.14,7707800,166.14,160.57,,,166.33,160.02,149.69,139.49,完整多头,22.69,,73.8,4.0,8141880.0,0.9,,,,2025-04-16 00:00:00,171.14
2025-06-06,174.0,174.79,172.66,174.02,6833700,167.66,161.74,,,168.04,161.29,150.56,139.84,完整多头,24.44,,76.1,3.97,8177885.0,0.8,,,,2025-04-16 00:00:00,174.02
2025-06-09,174.86,178.72,173.79,177.15,9668900,169.32,163.02,,,170.07,162.73,151.51,140.21,完整多头,26.35,,78.3,4.04,8425975.0,1.1,,,,2025-04-16 00:00:00,177.15
2025-06-10,177.71,177.85,174.28,177.48,11056700,171.14,164.31,,,171.71,164.07,152.44,140.58,完整多头,26.25,,78.6,4.01,8585035.0,1.3,,,,2025-04-16 00:00:00,177.48
2025-06-11,177.55,179.55,176.2,176.38,18002900,172.5,165.22,,,172.75,165.19,153.29,140.94,完整多头,25.15,,75.7,3.96,8887420.0,2.0,,,,2025-04-16 00:00:00,176.38
2025-06-12,189.96,202.49,188.88,199.86,54610000,176.66,167.01,,,178.77,168.34,154.95,141.52,完整多头,41.22,,86.7,5.54,11242950.0,4.9,,,,2025-04-16 00:00:00,199.86
2025-06-13,201.58,216.6,201.2,215.22,53707400,182.42,169.5,,,186.87,172.61,157.11,142.26,完整多头,51.29,,89.9,6.34,13419860.0,4.0,,,,2025-04-16 00:00:00,215.22
2025-06-16,213.2,215.17,209.98,211.1,22665300,187.79,171.96,,,192.26,176.1,159.03,142.94,完整多头,47.68,,84.1,6.26,14127350.0,1.6,,,,2025-04-16 00:00:00,211.1
2025-06-17,210.66,215.88,207.48,208.18,17819200,192.42,174.24,,,195.8,179.02,160.79,143.59,完整多头,44.98,,80.1,6.42,14504865.0,1.2,,,,2025-04-16 00:00:00,208.18
2025-06-18,211.09,214.72,209.57,210.87,15055400,197.03,176.67,,,199.15,181.92,162.58,144.26,完整多头,46.17,,81.0,6.42,14878815.0,1.0,,,,2025-04-16 00:00:00,210.87
2025-06-20,213.35,213.8,204.64,205.17,20879100,200.53,178.81,,,200.48,184.03,164.1,144.87,完整多头,41.63,,73.4,6.62,15622220.0,1.3,,,,2025-04-16 00:00:00,205.17
2025-06-23,205.51,207.27,202.54,207.04,13418400,204.23,181.19,,,201.94,186.12,165.63,145.48,完整多头,42.31,,74.3,6.49,15912975.0,0.8,,,,2025-04-16 00:00:00,207.04
2025-06-24,209.99,216.37,208.55,215.27,19030600,209.09,183.95,,,204.9,188.77,167.41,146.18,完整多头,47.27,,77.6,6.69,16538130.0,1.2,,,,2025-04-16 00:00:00,215.27
2025-06-25,214.94,216.93,210.23,210.72,11804600,210.45,186.55,,,206.2,190.77,168.95,146.82,完整多头,43.52,,72.0,6.69,16779520.0,0.7,,,,2025-04-16 00:00:00,210.72
2025-06-26,212.0,214.42,210.36,212.82,10531100,210.15,188.98,,,207.67,192.77,170.52,147.48,完整多头,44.31,,73.0,6.5,16901540.0,0.6,,,,2025-04-16 00:00:00,212.82
2025-06-27,213.69,214.65,209.96,210.24,14127500,210.04,191.19,,,208.24,194.36,171.94,148.1,完整多头,41.96,,69.8,6.37,17258180.0,0.8,,,,2025-04-16 00:00:00,210.24
2025-06-30,226.5,228.22,218.38,218.63,31844200,211.35,193.84,,,210.55,196.57,173.61,148.8,完整多头,46.93,,73.8,7.2,17972995.0,1.8,,,,2025-04-16 00:00:00,218.63
2025-07-01,219.3,223.17,216.31,218.96,16962200,212.36,196.38,,,212.42,198.6,175.23,149.5,完整多头,46.46,,74.0,7.18,18462805.0,0.9,,,,2025-04-16 00:00:00,218.96
2025-07-02,217.68,231.9,216.72,229.98,22326900,215.46,199.4,,,216.32,201.45,177.18,150.3,完整多头,53.01,,78.3,7.75,19221385.0,1.2,,,,2025-04-16 00:00:00,229.98
2025-07-03,233.22,237.99,231.2,237.32,18441400,219.24,202.65,170.05,,220.99,204.72,179.33,151.17,完整多头,56.99,,80.7,7.77,19824665.0,0.9,,,,2025-04-16 00:00:00,237.32
2025-07-07,235.11,235.25,229.5,232.26,16584300,221.37,205.71,171.84,,223.49,207.22,181.22,151.97,完整多头,52.83,,74.7,7.77,20268490.0,0.8,,,,2025-04-16 00:00:00,232.26
2025-07-08,237.13,241.44,233.19,234.5,20401800,224.34,208.72,173.75,,225.94,209.7,183.12,152.8,完整多头,53.47,,75.6,7.87,20946895.0,1.0,,,,2025-04-16 00:00:00,234.5
