date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-02-24,95.88,99.01,89.3,90.68,184485000,,,,,90.68,90.68,90.68,90.68,混合,0.0,,,,,,,,,,90.68
2025-02-25,90.65,91.7,85.25,87.84,132626300,,,,,90.05,90.42,90.58,90.65,空头排列,-3.1,,,,,,,,,,87.84
2025-02-26,89.16,91.69,87.59,89.31,94428700,,,,,89.88,90.32,90.53,90.64,空头排列,-1.47,,,,,,,,,,89.31
2025-02-27,91.91,93.62,84.17,84.77,99680500,,,,,88.75,89.82,90.33,90.58,空头排列,-6.41,,,,,,,,,,84.77
2025-02-28,79.98,85.18,78.58,84.92,125977400,,,,,87.9,89.37,90.13,90.52,空头排列,-6.19,,,,,,,,,,84.92
2025-03-03,88.55,90.48,82.53,83.42,114573900,,,,,86.9,88.83,89.89,90.45,空头排列,-7.78,,,,,,,,,,83.42
2025-03-04,80.16,88.5,79.3,84.4,116800300,,,,,86.35,88.43,89.7,90.39,空头排列,-6.63,,,,,,,,,,84.4
2025-03-05,86.35,90.3,82.5,90.13,116053000,86.93,,,,87.19,88.58,89.71,90.39,混合,-0.29,,,,,,,,,,90.13
2025-03-06,87.5,88.34,80.01,80.46,117340600,85.66,,,,85.69,87.84,89.38,90.29,空头排列,-10.89,,,,,,,,,,80.46
2025-03-07,80.03,85.16,79.15,84.91,105377100,85.29,,,,85.52,87.58,89.22,90.24,空头排列,-5.9,,,,,,,,,,84.91
2025-03-10,82.0,82.69,74.57,76.38,136843800,83.67,,,,83.49,86.56,88.76,90.1,空头排列,-15.23,,,,,,,,,,76.38
2025-03-11,75.79,80.75,75.53,78.05,109351500,82.83,,,,82.28,85.79,88.38,89.98,空头排列,-13.26,,,,,,,,,,78.05
2025-03-12,83.48,84.55,79.86,83.65,116525100,82.68,,,,82.58,85.59,88.21,89.92,混合,-6.97,,,,,,,,,,83.65
2025-03-13,82.85,83.74,78.32,79.62,100927200,82.2,,,,81.93,85.05,87.91,89.81,空头排列,-11.35,,,,,,,,,,79.62
2025-03-14,82.97,87.27,82.16,86.24,113985000,82.43,,,,82.88,85.16,87.85,89.78,混合,-3.94,,46.2,7.34,,,,,,2025-02-25 00:00:00,86.24
2025-03-17,88.44,88.82,84.5,87.35,99348900,82.08,,,,83.88,85.36,87.83,89.75,混合,-2.68,,47.2,7.13,,,,,,2025-02-25 00:00:00,87.35
2025-03-18,85.78,86.17,81.8,83.89,93236500,82.51,,,,83.88,85.22,87.69,89.7,混合,-6.47,,44.2,7.01,,,,,,2025-02-25 00:00:00,83.89
2025-03-19,84.55,87.99,82.86,86.1,89797400,82.66,,,,84.37,85.3,87.63,89.66,混合,-3.97,,46.6,6.88,,,,,,2025-02-25 00:00:00,86.1
2025-03-20,85.54,89.8,85.12,87.39,105547400,84.04,,,,85.04,85.49,87.62,89.64,混合,-2.51,,48.0,6.72,,,,,,2025-02-25 00:00:00,87.39
2025-03-21,85.85,91.07,84.46,90.96,116748700,85.65,,,,86.36,85.99,87.74,89.65,混合,1.46,,51.7,6.71,114482715.0,1.0,,,,2025-02-25 00:00:00,90.96
2025-03-24,93.4,97.39,92.28,96.75,112164700,87.29,85.58,,,88.67,86.97,88.06,89.72,混合,7.83,,57.0,6.69,110866700.0,1.0,,,,2025-02-25 00:00:00,96.75
2025-03-25,97.22,98.17,95.08,96.5,78015300,89.4,85.86,,,90.41,87.83,88.37,89.79,混合,7.47,,56.7,6.44,108136150.0,0.7,,,,2025-02-25 00:00:00,96.5
2025-03-26,96.29,97.3,90.82,92.28,81428600,90.15,86.07,,,90.82,88.24,88.5,89.81,混合,2.75,,51.9,6.44,107486145.0,0.8,,,,2025-02-25 00:00:00,92.28
2025-03-27,91.01,93.65,89.67,90.09,82823000,90.49,86.11,,,90.66,88.41,88.56,89.82,混合,0.3,,49.5,6.26,106643270.0,0.8,,,,2025-02-25 00:00:00,90.09
2025-03-28,89.34,89.38,84.1,85.85,91091700,90.74,86.16,,,89.59,88.17,88.46,89.78,混合,-4.37,,45.2,6.24,104898985.0,0.9,,,,2025-02-25 00:00:00,85.85
2025-03-31,80.0,84.65,78.75,84.4,108092900,90.53,86.13,,,88.44,87.83,88.32,89.72,混合,-5.93,,43.9,6.31,104574935.0,1.0,,,,2025-02-25 00:00:00,84.4
2025-04-01,83.89,85.28,81.82,84.68,78980700,90.19,86.19,,,87.6,87.54,88.19,89.67,混合,-5.57,,44.2,6.1,102683955.0,0.8,,,,2025-02-25 00:00:00,84.68
2025-04-02,82.4,88.4,82.3,87.45,96563100,89.75,86.34,,,87.57,87.54,88.16,89.65,混合,-2.46,,47.8,6.1,101709460.0,0.9,,,,2025-02-25 00:00:00,87.45
2025-04-03,81.25,85.68,81.01,83.6,93878200,88.11,86.03,,,86.69,87.18,88.0,89.59,空头排列,-6.69,,43.6,6.13,100536340.0,0.9,,,,2025-02-25 00:00:00,83.6
2025-04-04,80.07,80.98,71.93,74.01,147323200,85.29,85.72,,,83.87,85.98,87.5,89.44,空头排列,-17.25,,35.4,6.52,102633645.0,1.4,,,,2025-02-25 00:00:00,74.01
2025-04-07,66.65,81.8,66.12,77.84,169083700,83.49,85.38,,,82.53,85.24,87.16,89.32,空头排列,-12.85,,40.2,7.18,104245640.0,1.6,,,,2025-02-25 00:00:00,77.84
2025-04-08,83.29,86.11,75.22,77.32,135345600,81.89,85.43,,,81.37,84.52,86.8,89.2,空头排列,-13.32,,39.8,7.44,105545345.0,1.3,,,,2025-02-25 00:00:00,77.32
2025-04-09,78.19,93.33,77.27,92.01,187244300,82.66,86.09,,,83.74,85.2,86.99,89.23,混合,3.12,,54.8,8.06,109081305.0,1.7,,,,2025-02-25 00:00:00,92.01
2025-04-10,88.4,90.78,84.14,88.59,124448200,83.19,86.33,,,84.81,85.51,87.05,89.22,混合,-0.71,,51.5,8.04,110257355.0,1.1,,,,2025-02-25 00:00:00,88.59
2025-04-11,87.98,89.55,85.47,88.55,95130700,83.67,86.75,,,85.64,85.79,87.1,89.22,混合,-0.75,,51.5,7.76,109314640.0,0.9,,,,2025-02-25 00:00:00,88.55
2025-04-14,95.8,97.33,91.46,92.62,122836900,84.32,87.06,,,87.19,86.41,87.3,89.25,混合,3.78,,55.1,7.83,110489040.0,1.1,,,,2025-02-25 00:00:00,92.62
2025-04-15,93.53,98.99,93.05,98.4,118457700,86.17,87.58,,,89.68,87.5,87.69,89.34,混合,10.14,,59.7,7.73,111750100.0,1.1,,,,2025-02-25 00:00:00,98.4
2025-04-16,96.28,97.3,89.62,92.71,121997600,88.51,88.0,,,90.36,87.97,87.87,89.37,混合,3.73,,53.9,7.8,113360110.0,1.1,,,,2025-02-25 00:00:00,92.71
2025-04-17,94.71,95.11,92.27,93.78,83991800,90.5,88.37,,,91.12,88.5,88.08,89.42,混合,4.88,,54.8,7.45,112282330.0,0.7,,,,2025-02-25 00:00:00,93.78
2025-04-21,92.84,96.47,89.31,90.8,83831100,92.18,88.53,,,91.05,88.71,88.18,89.43,混合,1.53,,51.8,7.43,110636450.0,0.8,,,,2025-02-25 00:00:00,90.8
2025-04-22,93.01,96.34,91.35,93.99,91185400,92.43,88.68,,,91.7,89.19,88.39,89.48,混合,5.04,,54.6,7.29,109587485.0,0.8,,,,2025-02-25 00:00:00,93.99
2025-04-23,98.86,103.76,97.83,100.82,112909500,93.96,88.87,,,93.73,90.25,88.83,89.59,混合,12.53,,60.1,7.47,111332195.0,1.0,,,,2025-02-25 00:00:00,100.82
2025-04-24,101.53,108.0,100.91,107.78,103190700,96.36,89.41,,,96.85,91.84,89.51,89.77,混合,20.06,,64.8,7.45,112420300.0,0.9,,,,2025-02-25 00:00:00,107.78
2025-04-25,108.05,112.88,106.55,112.78,103933800,98.88,90.38,,,100.39,93.74,90.34,90.0,完整多头,25.31,,67.8,7.37,113475840.0,0.9,,,,2025-02-25 00:00:00,112.78
2025-04-28,113.78,114.86,108.87,114.65,111082900,100.91,91.55,,,103.56,95.64,91.21,90.25,完整多头,27.04,,68.8,7.27,114475400.0,1.0,,,,2025-02-25 00:00:00,114.65
2025-04-29,113.98,117.23,113.24,116.08,79709000,103.84,92.99,,,106.34,97.5,92.1,90.5,完整多头,28.26,,69.6,7.04,113056205.0,0.7,,,,2025-02-25 00:00:00,116.08
2025-04-30,111.61,118.78,110.54,118.44,109461700,106.92,94.61,,,109.03,99.41,93.04,90.78,完整多头,30.47,,71.0,7.12,114580255.0,1.0,,,,2025-02-25 00:00:00,118.44
2025-05-01,120.04,120.19,116.0,116.2,90677600,110.09,96.12,,,110.62,100.93,93.87,91.03,完整多头,27.64,,67.9,6.91,114285980.0,0.8,,,,2025-02-25 00:00:00,116.2
