date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-05-08,488.53,492.7,484.17,488.29,39577600,,,,,488.29,488.29,488.29,488.29,混合,0.0,,,,,,,,,,488.29
2025-05-09,490.21,491.54,486.2,487.97,27767400,,,,,488.22,488.26,488.28,488.29,空头排列,-0.06,,,,,,,,,,487.97
2025-05-12,506.99,507.89,501.48,507.85,45090600,,,,,492.58,490.04,488.98,488.48,完整多头,3.97,,,,,,,,,,507.85
2025-05-13,509.16,517.39,508.42,515.59,53269600,,,,,497.69,492.36,489.93,488.75,完整多头,5.49,,,,,,,,,,515.59
2025-05-14,516.77,519.23,515.75,518.68,47014500,,,,,502.36,494.76,490.95,489.05,完整多头,6.06,,,,,,,,,,518.68
2025-05-15,516.52,521.93,515.17,519.25,50153300,,,,,506.11,496.98,491.97,489.35,完整多头,6.11,,,,,,,,,,519.25
2025-05-16,520.66,521.7,517.1,521.51,48394600,,,,,509.53,499.21,493.02,489.67,完整多头,6.5,,,,,,,,,,521.51
2025-05-19,514.24,522.53,514.24,522.01,52536200,510.14,,,,512.31,501.29,494.06,489.99,完整多头,6.53,,,,,,,,,,522.01
2025-05-20,519.47,520.93,516.66,520.27,42517600,514.14,,,,514.08,503.01,494.99,490.29,完整多头,6.11,,,,,,,,,,520.27
2025-05-21,516.27,523.0,511.24,513.04,71292800,517.28,,,,513.85,503.92,495.64,490.52,混合,4.59,,,,,,,,,,513.04
2025-05-22,513.66,517.71,512.3,514.0,55607200,518.04,,,,513.88,504.84,496.29,490.75,完整多头,4.74,,,,,,,,,,514.0
2025-05-23,506.18,511.84,505.58,509.24,58368100,517.25,,,,512.85,505.24,496.75,490.94,混合,3.73,,,,,,,,,,509.24
2025-05-27,516.15,521.71,514.59,521.22,47226300,517.57,,,,514.71,506.69,497.63,491.24,完整多头,6.1,,,,,,,,,,521.22
2025-05-28,522.18,523.68,518.39,518.91,46637200,517.52,,,,515.64,507.8,498.39,491.51,完整多头,5.57,,,,,,,,,,518.91
2025-05-29,526.33,526.48,517.32,519.93,58513300,517.33,,,,516.6,508.91,499.16,491.8,完整多头,5.72,,74.6,8.28,,,,,,2025-05-09 00:00:00,519.93
2025-05-30,519.44,520.68,511.93,519.11,67662800,516.96,,,,517.15,509.83,499.87,492.07,完整多头,5.5,,73.6,8.32,,,,,,2025-05-09 00:00:00,519.11
2025-06-02,517.24,523.45,515.97,523.21,44762800,517.33,,,,518.5,511.05,500.7,492.38,完整多头,6.26,,75.4,8.26,,,,,,2025-05-09 00:00:00,523.21
2025-06-03,523.56,528.74,522.69,527.3,44070300,519.11,,,,520.46,512.53,501.65,492.73,完整多头,7.02,,77.0,8.1,,,,,,2025-05-09 00:00:00,527.3
2025-06-04,528.01,529.84,525.97,528.77,41359300,520.96,,,,522.3,514.0,502.62,493.08,完整多头,7.24,,77.6,7.8,,,,,,2025-05-09 00:00:00,528.77
2025-06-05,530.18,533.05,522.66,524.79,61031200,522.9,,,,522.86,514.98,503.41,493.4,完整多头,6.36,,72.2,7.98,50142635.0,1.2,,,,2025-05-09 00:00:00,524.79
