date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-25,49.13,49.49,47.95,49.16,9519100,,,,,49.16,49.16,49.16,49.16,混合,0.0,,,,,,,,,,49.16
2024-11-26,49.18,50.01,48.93,49.06,6919300,,,,,49.14,49.15,49.16,49.16,空头排列,-0.2,,,,,,,,,,49.06
2024-11-27,49.09,50.54,48.61,49.37,5617900,,,,,49.19,49.17,49.16,49.16,完整多头,0.42,,,,,,,,,,49.37
2024-11-29,49.81,50.73,49.68,50.13,3629200,,,,,49.4,49.26,49.2,49.17,完整多头,1.95,,,,,,,,,,50.13
2024-12-02,50.99,52.65,50.94,52.16,8231700,,,,,50.01,49.52,49.3,49.2,完整多头,6.02,,,,,,,,,,52.16
2024-12-03,51.76,53.63,51.63,53.53,6239400,,,,,50.79,49.89,49.46,49.24,完整多头,8.7,,,,,,,,,,53.53
2024-12-04,53.92,54.61,53.36,54.54,5883500,,,,,51.63,50.31,49.64,49.3,完整多头,10.64,,,,,,,,,,54.54
2024-12-05,54.94,59.14,54.73,58.94,21008700,52.11,,,,53.25,51.09,49.97,49.39,完整多头,19.33,,,,,,,,,,58.94
2024-12-06,58.87,59.8,57.76,59.31,8964100,53.38,,,,54.6,51.84,50.3,49.49,完整多头,19.84,,,,,,,,,,59.31
2024-12-09,59.22,59.22,55.61,56.93,8585100,54.36,,,,55.12,52.3,50.54,49.56,完整多头,14.86,,,,,,,,,,56.93
2024-12-10,56.91,57.41,55.65,56.26,5277000,55.22,,,,55.37,52.66,50.74,49.63,完整多头,13.36,,,,,,,,,,56.26
2024-12-11,58.41,61.01,57.65,59.89,13017100,56.44,,,,56.37,53.32,51.07,49.73,完整多头,20.42,,,,,,,,,,59.89
2024-12-12,59.89,61.05,58.6,59.61,6492400,57.38,,,,57.09,53.89,51.38,49.83,完整多头,19.62,,,,,,,,,,59.61
2024-12-13,60.0,60.22,58.78,59.6,5793500,58.13,,,,57.65,54.41,51.67,49.93,完整多头,19.37,,,,,,,,,,59.6
2024-12-16,58.87,61.77,58.42,61.45,6389600,59.0,,,,58.49,55.05,52.02,50.04,完整多头,22.79,,82.1,2.45,,,,,,2024-11-26 00:00:00,61.45
2024-12-17,60.85,61.35,59.32,61.25,5141300,59.29,,,,59.11,55.61,52.35,50.16,完整多头,22.12,,81.1,2.42,,,,,,2024-11-26 00:00:00,61.25
2024-12-18,60.83,61.53,58.24,58.8,7498800,59.22,,,,59.04,55.9,52.58,50.24,混合,17.04,,70.8,2.48,,,,,,2024-11-26 00:00:00,58.8
2024-12-19,58.33,59.56,57.88,58.91,5903700,59.47,,,,59.01,56.18,52.8,50.33,混合,17.05,,70.9,2.43,,,,,,2024-11-26 00:00:00,58.91
