date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-03-07,147.02,148.3,131.26,133.98,13834900,,,,,133.98,133.98,133.98,133.98,混合,0.0,,,,,,,,,,133.98
2025-03-10,127.75,127.75,105.51,107.29,20956700,,,,,128.05,131.55,133.03,133.71,空头排列,-19.76,,,,,,,,,,107.29
2025-03-11,111.0,123.49,110.0,122.73,14629600,,,,,126.87,130.75,132.66,133.61,空头排列,-8.14,,,,,,,,,,122.73
2025-03-12,134.79,136.47,126.12,130.68,11368700,,,,,127.71,130.74,132.59,133.58,混合,-2.17,,,,,,,,,,130.68
2025-03-13,130.0,131.68,118.57,121.53,7288600,,,,,126.34,129.91,132.19,133.46,空头排列,-8.94,,,,,,,,,,121.53
2025-03-14,126.51,130.83,123.45,128.21,6818900,,,,,126.76,129.75,132.05,133.4,混合,-3.89,,,,,,,,,,128.21
2025-03-17,123.62,142.0,119.92,125.56,19261700,,,,,126.49,129.37,131.82,133.33,空头排列,-5.82,,,,,,,,,,125.56
2025-03-18,120.57,121.94,108.13,110.1,13232200,122.51,,,,122.85,127.62,131.04,133.09,空头排列,-17.28,,,,,,,,,,110.1
2025-03-19,110.1,113.48,105.5,109.91,9529600,119.5,,,,119.97,126.01,130.29,132.86,空头排列,-17.28,,,,,,,,,,109.91
2025-03-20,109.18,112.99,107.04,108.75,7803400,119.68,,,,117.48,124.44,129.52,132.62,空头排列,-18.0,,,,,,,,,,108.75
2025-03-21,107.8,116.29,106.0,115.7,7987100,118.8,,,,117.08,123.65,129.03,132.46,空头排列,-12.65,,,,,,,,,,115.7
2025-03-24,119.81,126.5,119.76,124.94,9012100,118.09,,,,118.83,123.76,128.88,132.38,混合,-5.62,,,,,,,,,,124.94
2025-03-25,124.0,127.27,120.02,125.43,5815600,118.58,,,,120.3,123.92,128.76,132.31,混合,-5.2,,,,,,,,,,125.43
2025-03-26,124.6,125.6,117.17,120.2,4849600,117.57,,,,120.27,123.58,128.45,132.19,空头排列,-9.07,,,,,,,,,,120.2
2025-03-27,117.5,117.5,110.05,110.23,6775400,115.66,,,,118.04,122.36,127.8,131.97,空头排列,-16.48,,39.9,12.94,,,,,,2025-03-10 00:00:00,110.23
2025-03-28,110.25,112.78,103.74,107.71,8001900,115.36,,,,115.75,121.03,127.08,131.73,空头排列,-18.24,,39.0,12.66,,,,,,2025-03-10 00:00:00,107.71
2025-03-31,102.29,106.59,97.61,104.9,9511600,114.73,,,,113.34,119.57,126.29,131.46,空头排列,-20.21,,37.9,12.48,,,,,,2025-03-10 00:00:00,104.9
2025-04-01,105.79,111.6,104.35,110.05,6568200,114.9,,,,112.61,118.7,125.71,131.25,空头排列,-16.15,,41.0,12.11,,,,,,2025-03-10 00:00:00,110.05
2025-04-02,104.85,113.75,104.85,109.5,10073500,114.12,,,,111.92,117.86,125.13,131.03,空头排列,-16.43,,40.8,11.88,,,,,,2025-03-10 00:00:00,109.5
2025-04-03,99.5,100.5,93.63,96.9,11840700,110.62,,,,108.58,115.96,124.12,130.7,空头排列,-25.86,,35.8,12.16,10258000.0,1.2,,,,2025-03-10 00:00:00,96.9
2025-04-04,92.18,92.91,82.8,86.91,13290300,105.8,114.82,,,103.76,113.32,122.79,130.26,空头排列,-33.28,,32.4,12.3,10230770.0,1.3,,,,2025-03-10 00:00:00,86.91
2025-04-07,81.01,97.0,79.75,93.0,11772300,102.4,112.87,,,101.37,111.47,121.73,129.89,空头排列,-28.4,,36.3,12.65,9771550.0,1.2,,,,2025-03-10 00:00:00,93.0
2025-04-08,97.14,97.9,86.88,88.89,9633600,99.73,111.99,,,98.6,109.42,120.56,129.48,空头排列,-31.35,,34.9,12.54,9521750.0,1.0,,,,2025-03-10 00:00:00,88.89
2025-04-09,88.74,113.9,87.12,110.86,13906500,100.13,111.43,,,101.32,109.55,120.21,129.3,混合,-14.26,,47.3,13.55,9648640.0,1.4,,,,2025-03-10 00:00:00,110.86
2025-04-10,103.98,107.46,98.77,102.01,7351300,99.77,110.06,,,101.48,108.86,119.56,129.02,混合,-20.94,,43.7,13.45,9651775.0,0.8,,,,2025-03-10 00:00:00,102.01
