date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-12-16,24.47,25.95,23.35,25.9,19543700,,,,,25.9,25.9,25.9,25.9,混合,0.0,,,,,,,,,,25.9
2024-12-17,25.9,26.45,24.53,26.37,15278000,,,,,26.0,25.94,25.92,25.9,完整多头,1.8,,,,,,,,,,26.37
2024-12-18,26.28,26.78,22.89,22.92,21660900,,,,,25.32,25.67,25.81,25.87,空头排列,-11.42,,,,,,,,,,22.92
2024-12-19,23.66,24.7,22.7,23.22,15541800,,,,,24.85,25.45,25.72,25.85,空头排列,-10.17,,,,,,,,,,23.22
2024-12-20,22.14,25.29,22.01,24.87,25072900,,,,,24.86,25.39,25.69,25.84,混合,-3.75,,,,,,,,,,24.87
2024-12-23,24.97,26.32,24.34,25.59,14463700,,,,,25.02,25.41,25.68,25.84,混合,-0.95,,,,,,,,,,25.59
2024-12-24,25.57,26.6,25.09,26.6,8689600,,,,,25.37,25.52,25.72,25.84,混合,2.93,,,,,,,,,,26.6
2024-12-26,26.6,28.8,26.11,28.44,19997600,25.49,,,,26.05,25.78,25.81,25.87,混合,9.94,,,,,,,,,,28.44
2024-12-27,28.21,28.71,26.74,27.22,15559200,25.65,,,,26.31,25.92,25.86,25.88,混合,5.16,,,,,,,,,,27.22
2024-12-30,26.22,26.81,24.9,26.32,13775600,25.65,,,,26.31,25.95,25.88,25.89,混合,1.67,,,,,,,,,,26.32
2024-12-31,26.54,26.88,25.18,25.47,13084800,25.97,,,,26.13,25.91,25.87,25.88,混合,-1.6,,,,,,,,,,25.47
2025-01-02,25.43,25.66,23.7,24.96,13792700,26.18,,,,25.87,25.82,25.83,25.87,混合,-3.53,,,,,,,,,,24.96
2025-01-03,25.02,28.77,25.02,28.74,22114700,26.67,,,,26.51,26.09,25.94,25.9,完整多头,10.95,,,,,,,,,,28.74
2025-01-06,28.99,30.26,28.58,28.8,22305400,27.07,,,,27.02,26.33,26.04,25.93,完整多头,11.06,,,,,,,,,,28.8
2025-01-07,29.13,29.96,27.42,27.95,19138800,27.24,,,,27.22,26.48,26.11,25.95,完整多头,7.7,,55.8,2.37,,,,,,2024-12-17 00:00:00,27.95
2025-01-08,27.3,28.32,25.89,27.36,18750200,27.1,,,,27.25,26.56,26.15,25.97,完整多头,5.37,,53.9,2.38,,,,,,2024-12-17 00:00:00,27.36
2025-01-10,26.85,27.99,26.01,26.91,15340000,27.06,,,,27.18,26.59,26.18,25.98,混合,3.6,,52.4,2.35,,,,,,2024-12-17 00:00:00,26.91
2025-01-13,25.55,25.67,23.61,23.91,18040200,26.76,,,,26.45,26.35,26.1,25.95,混合,-7.88,,43.7,2.42,,,,,,2024-12-17 00:00:00,23.91
2025-01-14,24.45,24.86,23.42,24.16,13862800,26.6,,,,25.94,26.15,26.03,25.94,混合,-6.85,,44.5,2.35,,,,,,2024-12-17 00:00:00,24.16
2025-01-15,25.04,26.5,24.78,24.87,15252200,26.59,,,,25.7,26.03,25.99,25.93,混合,-4.07,,46.9,2.35,17063240.0,0.9,,,,2024-12-17 00:00:00,24.87
2025-01-16,25.03,25.78,24.2,24.64,10860200,26.08,25.96,,,25.47,25.91,25.94,25.91,混合,-4.91,,46.2,2.29,16629065.0,0.7,,,,2024-12-17 00:00:00,24.64
2025-01-17,25.13,25.65,23.94,24.0,14068300,25.48,25.87,,,25.14,25.73,25.87,25.89,空头排列,-7.32,,44.2,2.25,16568580.0,0.8,,,,2024-12-17 00:00:00,24.0
2025-01-21,26.0,31.64,25.52,31.27,62027700,25.89,26.11,,,26.5,26.24,26.06,25.95,完整多头,20.51,,63.3,2.64,18586920.0,3.3,,,,2024-12-17 00:00:00,31.27
2025-01-22,29.65,30.18,28.44,29.62,27902200,26.17,26.42,,,27.2,26.54,26.19,25.98,完整多头,13.99,,58.4,2.65,19204940.0,1.5,,,,2024-12-17 00:00:00,29.62
2025-01-23,29.0,31.75,28.51,31.57,23888100,26.76,26.82,,,28.17,27.0,26.38,26.04,完整多头,21.24,,62.1,2.69,19145700.0,1.2,,,,2024-12-17 00:00:00,31.57
2025-01-24,32.03,33.34,30.2,30.36,23878600,27.56,27.08,,,28.66,27.31,26.52,26.08,完整多头,16.4,,58.6,2.72,19616445.0,1.2,,,,2024-12-17 00:00:00,30.36
2025-01-27,28.94,30.23,28.48,29.43,17477200,28.22,27.27,,,28.83,27.5,26.63,26.12,完整多头,12.69,,56.0,2.66,20055825.0,0.9,,,,2024-12-17 00:00:00,29.43
2025-01-28,29.7,30.49,27.85,28.98,16086900,28.73,27.38,,,28.86,27.63,26.71,26.14,完整多头,10.85,,54.7,2.66,19860290.0,0.8,,,,2024-12-17 00:00:00,28.98
2025-01-29,29.24,30.45,28.26,28.87,12874500,29.26,27.4,,,28.86,27.75,26.79,26.17,完整多头,10.31,,54.4,2.63,19726055.0,0.7,,,,2024-12-17 00:00:00,28.87
2025-01-30,29.18,30.81,27.77,28.53,19556500,29.83,27.46,,,28.79,27.82,26.85,26.2,混合,8.91,,53.4,2.66,20015100.0,1.0,,,,2024-12-17 00:00:00,28.53
2025-01-31,28.75,30.53,28.26,29.05,20632300,29.55,27.59,,,28.85,27.93,26.93,26.22,完整多头,10.78,,54.8,2.63,20392475.0,1.0,,,,2024-12-17 00:00:00,29.05
2025-02-03,27.19,29.18,26.45,28.38,18884700,29.4,27.73,,,28.74,27.97,26.98,26.25,混合,8.13,,52.6,2.64,20647075.0,0.9,,,,2024-12-17 00:00:00,28.38
2025-02-04,29.02,30.16,28.41,28.68,17138200,29.04,27.91,,,28.73,28.04,27.04,26.27,混合,9.18,,53.5,2.58,20398250.0,0.8,,,,2024-12-17 00:00:00,28.68
2025-02-05,28.96,29.14,27.85,28.6,15116200,28.82,27.9,,,28.7,28.09,27.1,26.29,混合,8.78,,53.2,2.48,20038790.0,0.8,,,,2024-12-17 00:00:00,28.6
2025-02-06,28.58,28.92,27.25,27.68,15384000,28.6,27.85,,,28.47,28.05,27.12,26.31,混合,5.22,,49.8,2.43,19851050.0,0.8,,,,2024-12-17 00:00:00,27.68
2025-02-07,27.98,29.69,27.22,27.41,19260100,28.4,27.82,,,28.24,27.99,27.13,26.32,混合,4.15,,48.8,2.43,19876545.0,1.0,,,,2024-12-17 00:00:00,27.41
2025-02-10,27.75,31.08,27.36,30.6,27264800,28.62,27.98,,,28.76,28.23,27.25,26.36,完整多头,16.09,,59.1,2.52,20472785.0,1.3,,,,2024-12-17 00:00:00,30.6
2025-02-11,29.86,30.32,28.08,28.22,20244700,28.58,28.04,,,28.64,28.23,27.29,26.38,混合,6.98,,50.9,2.52,20583010.0,1.0,,,,2024-12-17 00:00:00,28.22
2025-02-12,28.01,28.58,27.4,27.62,15500000,28.4,28.22,,,28.41,28.17,27.3,26.39,混合,4.66,,49.0,2.43,20664870.0,0.8,,,,2024-12-17 00:00:00,27.62
2025-02-13,28.08,28.38,27.01,28.3,18636400,28.39,28.41,,,28.39,28.18,27.34,26.41,混合,7.16,,51.2,2.35,20834080.0,0.9,,,,2024-12-17 00:00:00,28.3
2025-02-14,28.24,28.65,27.04,28.02,15313000,28.31,28.56,,,28.31,28.17,27.36,26.43,混合,6.03,,50.2,2.3,21056720.0,0.7,,,,2024-12-17 00:00:00,28.02
2025-02-18,28.27,29.79,27.39,27.74,20977200,28.2,28.71,,,28.18,28.13,27.37,26.44,混合,4.92,,49.2,2.3,21402165.0,1.0,,,,2024-12-17 00:00:00,27.74
2025-02-19,28.0,28.3,25.73,25.93,18899000,27.98,28.8,,,27.68,27.93,27.32,26.43,混合,-1.91,,43.3,2.32,19245730.0,1.0,,,,2024-12-17 00:00:00,25.93
2025-02-20,25.98,26.15,23.87,25.26,22884800,27.71,28.52,,,27.14,27.69,27.25,26.42,混合,-4.4,,41.3,2.32,18994860.0,1.2,,,,2024-12-17 00:00:00,25.26
2025-02-21,25.9,25.93,23.36,23.55,16255100,26.83,28.23,,,26.34,27.31,27.12,26.39,混合,-10.77,,36.7,2.34,18613210.0,0.9,,,,2024-12-17 00:00:00,23.55
2025-02-24,23.74,23.9,21.72,22.49,19606100,26.11,27.8,,,25.49,26.87,26.95,26.35,混合,-14.66,,34.2,2.33,18399585.0,1.1,,,,2024-12-17 00:00:00,22.49
2025-02-25,21.7,22.16,19.78,20.28,29089000,25.2,27.32,,,24.33,26.27,26.71,26.29,混合,-22.87,,29.6,2.35,18980175.0,1.5,,,,2024-12-17 00:00:00,20.28
2025-02-26,21.01,21.46,20.5,21.25,16325100,24.32,26.93,,,23.65,25.82,26.52,26.24,混合,-19.03,,33.8,2.27,18992085.0,0.9,,,,2024-12-17 00:00:00,21.25
2025-02-27,21.98,22.16,19.75,19.83,23949000,23.29,26.49,,,22.8,25.27,26.28,26.18,混合,-24.26,,30.9,2.28,19545810.0,1.2,,,,2024-12-17 00:00:00,19.83
2025-02-28,16.36,20.49,16.17,20.49,37550700,22.38,26.09,,,22.29,24.84,26.07,26.12,空头排列,-21.57,,33.7,2.43,20445520.0,1.8,,,,2024-12-17 00:00:00,20.49
2025-03-03,21.24,21.45,18.4,18.66,26785200,21.48,25.62,,,21.48,24.28,25.81,26.05,空头排列,-28.37,,30.0,2.47,20753165.0,1.3,,,,2024-12-17 00:00:00,18.66
2025-03-04,17.97,19.95,17.51,19.0,25807900,20.69,25.14,,,20.93,23.8,25.56,25.98,空头排列,-26.88,,31.5,2.47,21099325.0,1.2,,,,2024-12-17 00:00:00,19.0
2025-03-05,19.11,20.84,18.77,20.4,18412400,20.3,24.76,,,20.81,23.49,25.38,25.92,空头排列,-21.31,,37.5,2.44,21163035.0,0.9,,,,2024-12-17 00:00:00,20.4
2025-03-06,19.58,20.27,18.37,18.66,18086800,19.82,24.29,,,20.33,23.05,25.14,25.85,空头排列,-27.82,,33.6,2.41,21311565.0,0.8,,,,2024-12-17 00:00:00,18.66
