date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-12-02,16.49,16.61,15.74,15.91,52367900,,,,,15.91,15.91,15.91,15.91,混合,0.0,,,,,,,,,,15.91
2024-12-03,15.89,16.15,15.62,15.88,43795800,,,,,15.9,15.91,15.91,15.91,空头排列,-0.19,,,,,,,,,,15.88
2024-12-04,16.13,16.43,15.89,16.32,40638300,,,,,16.0,15.94,15.92,15.91,完整多头,2.55,,,,,,,,,,16.32
2024-12-05,16.01,16.2,15.62,15.65,50857000,,,,,15.92,15.92,15.91,15.91,混合,-1.64,,,,,,,,,,15.65
2024-12-06,15.77,16.05,14.85,16.02,57220500,,,,,15.94,15.93,15.92,15.91,完整多头,0.68,,,,,,,,,,16.02
2024-12-09,15.68,15.96,15.23,15.57,59642800,,,,,15.86,15.89,15.91,15.91,空头排列,-2.13,,,,,,,,,,15.57
2024-12-10,15.49,16.12,15.14,15.29,49585500,,,,,15.73,15.84,15.88,15.9,空头排列,-3.85,,,,,,,,,,15.29
2024-12-11,15.5,16.0,15.16,15.94,47600800,15.82,,,,15.78,15.85,15.89,15.9,混合,0.23,,,,,,,,,,15.94
2024-12-12,15.92,16.48,15.73,15.9,48071000,15.82,,,,15.81,15.85,15.89,15.9,混合,-0.02,,,,,,,,,,15.9
2024-12-13,16.04,16.36,15.79,16.25,41622300,15.87,,,,15.9,15.89,15.9,15.91,混合,2.16,,,,,,,,,,16.25
2024-12-16,16.53,17.04,16.2,16.88,55457600,15.94,,,,16.12,15.98,15.93,15.92,完整多头,6.06,,,,,,,,,,16.88
2024-12-17,17.15,17.17,16.17,16.66,53985200,16.06,,,,16.24,16.04,15.96,15.92,完整多头,4.62,,,,,,,,,,16.66
2024-12-18,16.89,17.19,14.93,15.24,76625700,15.97,,,,16.02,15.97,15.93,15.92,混合,-4.25,,,,,,,,,,15.24
2024-12-19,15.72,15.99,14.92,15.03,44149600,15.9,,,,15.8,15.88,15.9,15.91,空头排列,-5.52,,,,,,,,,,15.03
2024-12-20,14.72,15.53,14.58,15.35,52746600,15.91,,,,15.7,15.83,15.88,15.9,空头排列,-3.47,,45.4,0.93,,,,,,2024-12-03 00:00:00,15.35
2024-12-23,15.5,15.79,15.16,15.63,34576400,15.87,,,,15.68,15.82,15.87,15.9,空头排列,-1.7,,48.0,0.91,,,,,,2024-12-03 00:00:00,15.63
2024-12-24,15.73,16.03,15.57,16.02,15731500,15.88,,,,15.76,15.83,15.88,15.9,混合,0.75,,51.4,0.88,,,,,,2024-12-03 00:00:00,16.02
2024-12-26,15.98,16.68,15.88,16.6,36815400,15.93,,,,15.95,15.9,15.9,15.91,混合,4.35,,56.1,0.87,,,,,,2024-12-03 00:00:00,16.6
2024-12-27,16.39,16.47,15.78,15.98,31003000,15.81,,,,15.95,15.91,15.91,15.91,混合,0.45,,50.5,0.87,,,,,,2024-12-03 00:00:00,15.98
2024-12-30,15.57,15.88,15.42,15.63,31036000,15.69,,,,15.88,15.89,15.9,15.91,空头排列,-1.73,,47.6,0.85,46176445.0,0.7,,,,2024-12-03 00:00:00,15.63
2024-12-31,15.79,15.9,15.35,15.4,29262500,15.71,15.86,,,15.77,15.84,15.88,15.9,空头排列,-3.15,,45.8,0.82,45021175.0,0.6,,,,2024-12-03 00:00:00,15.4
2025-01-02,15.0,15.11,13.75,14.13,76412600,15.59,15.78,,,15.41,15.69,15.82,15.88,空头排列,-11.04,,37.2,0.88,46652015.0,1.6,,,,2024-12-03 00:00:00,14.13
2025-01-03,14.3,14.85,14.12,14.84,40925300,15.53,15.73,,,15.28,15.61,15.78,15.87,空头排列,-6.51,,43.6,0.87,46666365.0,0.9,,,,2024-12-03 00:00:00,14.84
2025-01-06,15.2,15.48,14.89,15.29,32859000,15.49,15.68,,,15.28,15.58,15.76,15.87,混合,-3.64,,47.2,0.86,45766465.0,0.7,,,,2024-12-03 00:00:00,15.29
2025-01-07,15.31,15.62,14.71,14.91,38956300,15.35,15.65,,,15.2,15.52,15.73,15.86,空头排列,-5.97,,44.6,0.86,44853255.0,0.9,,,,2024-12-03 00:00:00,14.91
2025-01-08,14.64,14.84,14.32,14.55,28712100,15.09,15.58,,,15.06,15.43,15.69,15.84,空头排列,-8.17,,42.2,0.84,43306720.0,0.7,,,,2024-12-03 00:00:00,14.55
2025-01-10,14.2,14.28,13.81,14.15,33470100,14.86,15.51,,,14.85,15.31,15.64,15.83,空头排列,-10.6,,39.7,0.83,42500950.0,0.8,,,,2024-12-03 00:00:00,14.15
2025-01-13,13.64,14.09,13.6,14.07,32197100,14.67,15.45,,,14.68,15.2,15.58,15.81,空头排列,-11.01,,39.1,0.81,41730765.0,0.8,,,,2024-12-03 00:00:00,14.07
2025-01-14,14.3,14.86,14.23,14.5,34100800,14.55,15.38,,,14.64,15.14,15.54,15.8,空头排列,-8.21,,43.4,0.81,41032255.0,0.8,,,,2024-12-03 00:00:00,14.5
2025-01-15,15.36,15.55,14.99,15.51,38873100,14.73,15.36,,,14.83,15.17,15.54,15.79,混合,-1.8,,51.8,0.83,40894795.0,1.0,,,,2024-12-03 00:00:00,15.51
2025-01-16,15.7,16.38,15.57,16.3,43586900,14.91,15.37,,,15.16,15.27,15.57,15.8,混合,3.17,,57.2,0.83,40301260.0,1.1,,,,2024-12-03 00:00:00,16.3
2025-01-17,16.42,16.73,16.18,16.5,40496500,15.06,15.35,,,15.46,15.39,15.6,15.81,混合,4.39,,58.4,0.81,39626825.0,1.0,,,,2024-12-03 00:00:00,16.5
2025-01-21,17.0,18.1,16.89,17.9,67982600,15.43,15.41,,,16.0,15.61,15.68,15.83,混合,13.1,,66.0,0.87,39194670.0,1.7,,,,2024-12-03 00:00:00,17.9
2025-01-22,18.06,18.06,17.26,17.59,51349800,15.81,15.52,,,16.35,15.79,15.75,15.84,混合,11.02,,63.2,0.86,39554680.0,1.3,,,,2024-12-03 00:00:00,17.59
2025-01-23,17.4,18.21,17.28,18.03,43826700,16.3,15.66,,,16.73,16.0,15.83,15.87,混合,13.64,,65.4,0.87,39108685.0,1.1,,,,2024-12-03 00:00:00,18.03
2025-01-24,18.15,18.42,17.86,17.92,55232000,16.78,15.78,,,16.99,16.17,15.91,15.89,完整多头,12.8,,64.4,0.85,40141465.0,1.4,,,,2024-12-03 00:00:00,17.92
