date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-12,7.69,7.84,7.31,7.56,64318400,,,,,7.56,7.56,7.56,7.56,混合,0.0,,,,,,,,,,7.56
2024-11-13,6.6,6.75,6.06,6.27,73176400,,,,,7.27,7.44,7.51,7.55,空头排列,-16.92,,,,,,,,,,6.27
2024-11-14,6.56,7.16,6.32,6.63,73487100,,,,,7.13,7.37,7.48,7.54,空头排列,-12.05,,,,,,,,,,6.63
2024-11-15,6.76,6.77,6.22,6.36,35326000,,,,,6.96,7.28,7.44,7.53,空头排列,-15.5,,,,,,,,,,6.36
2024-11-18,6.34,6.55,5.97,6.19,33692900,,,,,6.79,7.18,7.4,7.51,空头排列,-17.61,,,,,,,,,,6.19
2024-11-19,6.07,6.72,6.04,6.51,40965800,,,,,6.73,7.12,7.37,7.5,空头排列,-13.24,,,,,,,,,,6.51
2024-11-20,6.65,6.74,6.3,6.44,25656400,,,,,6.66,7.06,7.33,7.49,空头排列,-14.05,,,,,,,,,,6.44
2024-11-21,6.59,7.28,6.38,6.98,71597500,6.62,,,,6.73,7.05,7.32,7.49,混合,-6.78,,,,,,,,,,6.98
2024-11-22,7.35,8.49,7.18,8.25,107908300,6.7,,,,7.07,7.16,7.35,7.49,混合,10.07,,,,,,,,,,8.25
2024-11-25,8.8,8.87,7.87,8.03,66801200,6.92,,,,7.28,7.24,7.38,7.5,混合,7.06,,,,,,,,,,8.03
2024-11-26,7.9,8.37,7.55,7.61,40536700,7.05,,,,7.36,7.27,7.39,7.5,混合,1.45,,,,,,,,,,7.61
2024-11-27,7.54,7.89,7.3,7.88,32646800,7.24,,,,7.47,7.33,7.4,7.51,混合,4.99,,,,,,,,,,7.88
2024-11-29,8.02,9.53,7.91,9.31,71312700,7.63,,,,7.88,7.51,7.47,7.52,混合,23.75,,,,,,,,,,9.31
2024-12-02,9.2,9.54,8.79,8.95,51214800,7.93,,,,8.12,7.64,7.52,7.54,混合,18.74,,,,,,,,,,8.95
2024-12-03,8.8,9.14,8.55,8.88,36700400,8.24,,,,8.29,7.75,7.57,7.55,完整多头,17.61,,59.3,0.89,,,,,,2024-11-13 00:00:00,8.88
2024-12-04,9.21,10.19,8.94,10.15,85910100,8.63,,,,8.7,7.97,7.66,7.58,完整多头,33.97,,65.9,0.92,,,,,,2024-11-13 00:00:00,10.15
2024-12-05,10.53,13.74,10.32,13.33,195550900,9.27,,,,9.73,8.46,7.87,7.63,完整多头,74.62,,76.3,1.11,,,,,,2024-11-13 00:00:00,13.33
2024-12-06,14.18,15.1,13.18,15.01,218916400,10.14,,,,10.9,9.05,8.12,7.71,完整多头,94.75,,79.8,1.17,,,,,,2024-11-13 00:00:00,15.01
2024-12-09,14.98,16.07,13.45,15.06,138448700,11.07,,,,11.83,9.6,8.37,7.78,完整多头,93.57,,79.9,1.27,,,,,,2024-11-13 00:00:00,15.06
2024-12-10,14.27,15.68,13.72,14.23,89191400,11.86,,,,12.36,10.02,8.58,7.84,完整多头,81.34,,73.7,1.32,77667945.0,1.1,,,,2024-11-13 00:00:00,14.23
2024-12-11,14.25,14.32,12.7,13.55,75342000,12.39,9.2,,,12.62,10.34,8.76,7.9,完整多头,71.49,,69.0,1.34,78219125.0,1.0,,,,2024-11-13 00:00:00,13.55
