date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-15,56.51,56.72,50.98,52.4,1600800,,,,,52.4,52.4,52.4,52.4,混合,0.0,,,,,,,,,,52.4
2024-11-18,52.6,54.31,48.26,54.06,1211600,,,,,52.77,52.55,52.46,52.42,完整多头,3.14,,,,,,,,,,54.06
2024-11-19,52.5,55.18,50.6,53.97,1472800,,,,,53.04,52.68,52.51,52.43,完整多头,2.93,,,,,,,,,,53.97
2024-11-20,55.95,60.4,55.3,58.15,1417300,,,,,54.17,53.18,52.71,52.49,完整多头,10.79,,,,,,,,,,58.15
2024-11-21,58.04,58.86,52.09,52.48,1739100,,,,,53.8,53.11,52.71,52.49,混合,-0.02,,,,,,,,,,52.48
2024-11-22,53.2,59.98,52.21,58.6,1188900,,,,,54.86,53.61,52.92,52.55,完整多头,11.51,,,,,,,,,,58.6
2024-11-25,63.43,67.46,61.0,63.89,1606600,,,,,56.87,54.55,53.31,52.66,完整多头,21.32,,,,,,,,,,63.89
2024-11-26,63.5,64.96,58.42,58.87,891100,56.55,,,,57.31,54.94,53.51,52.72,完整多头,11.65,,,,,,,,,,58.87
2024-11-27,61.0,65.34,61.0,62.98,682500,57.87,,,,58.57,55.67,53.85,52.83,完整多头,19.22,,,,,,,,,,62.98
2024-11-29,66.13,67.22,62.3,62.59,445100,58.94,,,,59.47,56.3,54.16,52.92,完整多头,18.27,,,,,,,,,,62.59
2024-12-02,65.62,68.95,62.64,62.94,852500,60.06,,,,60.24,56.9,54.47,53.02,完整多头,18.7,,,,,,,,,,62.94
2024-12-03,62.47,62.47,53.81,56.29,1975100,59.83,,,,59.36,56.85,54.54,53.06,混合,6.1,,,,,,,,,,56.29
2024-12-04,58.0,60.2,55.9,57.99,1495700,60.52,,,,59.06,56.95,54.66,53.1,混合,9.2,,,,,,,,,,57.99
2024-12-05,56.84,58.31,52.88,53.16,1848100,59.84,,,,57.75,56.61,54.61,53.11,混合,0.1,,,,,,,,,,53.16
2024-12-06,53.46,53.5,49.57,50.44,2810500,58.16,,,,56.12,56.05,54.46,53.08,混合,-4.97,,48.0,6.25,,,,,,2024-11-18 00:00:00,50.44
2024-12-09,51.07,52.0,46.25,46.5,2953400,56.61,,,,53.98,55.18,54.17,53.01,混合,-12.29,,44.2,6.22,,,,,,2024-11-18 00:00:00,46.5
2024-12-10,46.5,47.2,44.53,45.0,2705200,54.36,,,,51.99,54.25,53.85,52.93,混合,-14.99,,42.7,5.96,,,,,,2024-11-18 00:00:00,45.0
2024-12-11,42.08,43.9,40.1,43.19,11464600,51.94,,,,50.03,53.25,53.46,52.84,混合,-18.26,,41.1,5.89,,,,,,2024-11-18 00:00:00,43.19
2024-12-12,43.26,47.14,41.9,41.99,10410600,49.32,,,,48.25,52.22,53.06,52.73,混合,-20.37,,39.9,5.84,,,,,,2024-11-18 00:00:00,41.99
2024-12-13,42.0,43.94,40.66,41.0,5058600,47.41,,,,46.64,51.2,52.62,52.61,混合,-22.07,,39.0,5.66,2691505.0,1.9,,,,2024-11-18 00:00:00,41.0
2024-12-16,41.89,42.25,39.0,39.88,4676000,45.14,53.16,,,45.13,50.17,52.17,52.49,空头排列,-24.02,,37.9,5.49,2845265.0,1.6,,,,2024-11-18 00:00:00,39.88
2024-12-17,40.0,40.9,38.68,38.95,4279500,43.37,52.52,,,43.76,49.15,51.7,52.35,空头排列,-25.6,,36.9,5.25,2998660.0,1.4,,,,2024-11-18 00:00:00,38.95
2024-12-18,39.65,39.73,34.25,34.29,7445100,41.35,51.58,,,41.66,47.8,51.08,52.17,空头排列,-34.26,,32.6,5.27,3297275.0,2.3,,,,2024-11-18 00:00:00,34.29
2024-12-19,35.3,35.64,32.59,33.03,5150000,39.67,50.58,,,39.74,46.46,50.43,51.98,空头排列,-36.46,,31.5,5.11,3483910.0,1.5,,,,2024-11-18 00:00:00,33.03
2024-12-20,32.49,36.17,32.4,35.54,5800600,38.48,49.5,,,38.81,45.47,49.9,51.82,空头排列,-31.41,,36.1,5.01,3686985.0,1.6,,,,2024-11-18 00:00:00,35.54
2024-12-23,36.43,36.8,33.42,34.91,3436000,37.45,48.67,,,37.94,44.51,49.36,51.65,空头排列,-32.41,,35.4,4.9,3799340.0,0.9,,,,2024-11-18 00:00:00,34.91
2024-12-24,35.25,35.4,34.05,34.79,1169700,36.55,47.53,,,37.24,43.62,48.84,51.48,空头排列,-32.42,,35.3,4.64,3777495.0,0.3,,,,2024-11-18 00:00:00,34.79
2024-12-26,34.68,36.13,34.15,35.29,2897800,35.84,46.17,,,36.81,42.87,48.36,51.32,空头排列,-31.24,,36.3,4.45,3877830.0,0.7,,,,2024-11-18 00:00:00,35.29
2024-12-27,36.92,38.02,34.69,35.12,4457400,35.24,45.04,,,36.43,42.16,47.89,51.16,空头排列,-31.35,,36.1,4.37,4066575.0,1.1,,,,2024-11-18 00:00:00,35.12
2024-12-30,34.57,34.58,32.97,33.87,2870600,34.61,43.66,,,35.86,41.41,47.39,50.99,空头排列,-33.57,,34.5,4.22,4187850.0,0.7,,,,2024-11-18 00:00:00,33.87
2024-12-31,34.01,34.58,32.97,33.76,2073900,34.54,42.28,,,35.4,40.71,46.9,50.82,空头排列,-33.56,,34.4,4.03,4248920.0,0.5,,,,2024-11-18 00:00:00,33.76
2025-01-02,33.89,35.29,32.96,34.25,3265600,34.69,40.92,,,35.14,40.13,46.45,50.65,空头排列,-32.38,,35.7,3.91,4313445.0,0.8,,,,2024-11-18 00:00:00,34.25
2025-01-03,34.26,39.2,34.18,38.25,4691900,35.03,40.06,,,35.83,39.95,46.15,50.53,混合,-24.3,,45.0,3.99,4473255.0,1.0,,,,2024-11-18 00:00:00,38.25
2025-01-06,39.75,41.6,38.81,40.76,4703800,35.76,39.24,,,36.93,40.03,45.96,50.43,混合,-19.17,,50.0,3.94,4616040.0,1.0,,,,2024-11-18 00:00:00,40.76
2025-01-07,41.62,41.9,38.13,38.88,3275700,36.27,38.56,,,37.36,39.92,45.71,50.31,混合,-22.74,,46.6,3.93,4639300.0,0.7,,,,2024-11-18 00:00:00,38.88
2025-01-08,38.78,40.8,36.72,37.49,2993200,36.55,37.94,,,37.39,39.7,45.42,50.19,混合,-25.3,,44.2,3.94,4641290.0,0.6,,,,2024-11-18 00:00:00,37.49
2025-01-10,36.4,37.99,34.82,37.52,2206200,36.85,37.51,,,37.42,39.5,45.13,50.06,混合,-25.05,,44.3,3.89,4616340.0,0.5,,,,2024-11-18 00:00:00,37.52
2025-01-13,33.69,34.74,31.36,32.34,7405900,36.66,36.91,,,36.29,38.85,44.68,49.88,空头排列,-35.17,,36.3,4.05,4413405.0,1.7,,,,2024-11-18 00:00:00,32.34
2025-01-14,33.1,34.62,31.66,31.83,4032200,36.41,36.37,,,35.3,38.21,44.22,49.71,空头排列,-35.96,,35.6,3.97,4094485.0,1.0,,,,2024-11-18 00:00:00,31.83
2025-01-15,33.47,37.5,33.0,34.92,5351000,36.5,36.03,,,35.21,37.91,43.89,49.56,空头排列,-29.54,,42.6,4.09,4109105.0,1.3,,,,2024-11-18 00:00:00,34.92
2025-01-16,35.8,35.97,32.9,34.75,2750600,36.06,35.73,,,35.11,37.63,43.56,49.41,空头排列,-29.67,,42.4,4.02,4012835.0,0.7,,,,2024-11-18 00:00:00,34.75
2025-01-17,35.15,35.93,34.35,35.15,2439000,35.36,35.51,,,35.12,37.4,43.26,49.27,混合,-28.66,,43.3,3.84,3920810.0,0.6,,,,2024-11-18 00:00:00,35.15
2025-01-21,42.84,49.83,41.75,47.64,33903000,36.46,35.92,,,37.9,38.33,43.42,49.25,混合,-3.27,,63.1,4.62,5243705.0,6.5,,,,2024-11-18 00:00:00,47.64
2025-01-22,51.67,52.83,47.18,50.45,26164100,38.08,36.69,,,40.69,39.43,43.67,49.26,混合,2.41,,66.0,4.69,6294410.0,4.2,,,,2024-11-18 00:00:00,50.45
2025-01-23,49.72,56.54,47.22,54.84,23250300,40.24,37.73,,,43.83,40.83,44.07,49.32,混合,11.19,,70.0,5.02,7166895.0,3.2,,,,2024-11-18 00:00:00,54.84
2025-01-24,55.0,55.6,51.25,51.4,13035000,42.62,38.49,,,45.52,41.8,44.33,49.34,混合,4.17,,63.7,4.97,7646845.0,1.7,,,,2024-11-18 00:00:00,51.4
2025-01-27,49.62,54.57,48.08,51.86,13100900,45.13,39.29,,,46.93,42.71,44.6,49.37,混合,5.05,,64.2,5.08,8243405.0,1.6,,,,2024-11-18 00:00:00,51.86
2025-01-28,52.0,52.78,48.31,51.02,7582600,47.14,40.07,,,47.84,43.47,44.83,49.38,混合,3.32,,62.6,5.04,8477645.0,0.9,,,,2024-11-18 00:00:00,51.02
2025-01-29,51.31,56.46,49.75,50.77,11269500,49.14,40.8,,,48.49,44.13,45.04,49.4,混合,2.78,,62.1,5.16,8818250.0,1.3,,,,2024-11-18 00:00:00,50.77
2025-01-30,52.81,58.51,52.2,57.19,17205800,51.9,41.85,,,50.42,45.32,45.47,49.47,混合,15.6,,68.8,5.34,9535010.0,1.8,,,,2024-11-18 00:00:00,57.19
2025-01-31,60.0,62.15,56.33,57.39,17839000,53.12,42.97,,,51.97,46.41,45.9,49.55,混合,15.82,,69.0,5.38,10323265.0,1.7,,,,2024-11-18 00:00:00,57.39
2025-02-03,53.63,61.75,52.97,61.54,15583200,54.5,44.3,,,54.1,47.79,46.46,49.67,混合,23.89,,72.6,5.62,10939145.0,1.4,,,,2024-11-18 00:00:00,61.54
2025-02-04,65.06,65.34,60.59,61.85,15709000,55.38,45.61,,,55.82,49.07,47.01,49.79,混合,24.21,,72.9,5.56,11490000.0,1.4,,,,2024-11-18 00:00:00,61.85
2025-02-05,64.3,71.29,63.52,69.18,22619500,57.6,47.08,,,58.79,50.9,47.8,49.99,混合,38.4,,78.0,5.84,12385785.0,1.8,,,,2024-11-18 00:00:00,69.18
2025-02-06,71.39,71.39,64.15,64.99,17268100,59.24,48.24,47.13,,60.17,52.18,48.41,50.13,混合,29.63,,69.8,5.94,13085405.0,1.3,,,,2024-11-18 00:00:00,64.99
2025-02-07,66.7,69.92,65.8,68.96,16336900,61.48,49.67,47.43,,62.12,53.7,49.15,50.32,混合,37.04,,72.8,5.86,13752590.0,1.2,,,,2024-11-18 00:00:00,68.96
2025-02-10,70.2,71.3,66.25,68.36,15867600,63.68,51.14,47.69,,63.51,55.04,49.83,50.5,混合,35.36,,71.6,5.81,14435660.0,1.1,,,,2024-11-18 00:00:00,68.36
2025-02-11,67.89,78.67,67.65,71.21,31676800,65.43,52.74,48.0,,65.22,56.51,50.6,50.71,混合,40.43,,73.7,6.18,15649205.0,2.0,,,,2024-11-18 00:00:00,71.21
2025-02-12,68.43,74.78,68.03,73.88,19184700,67.5,54.72,48.29,,67.14,58.09,51.43,50.94,完整多头,45.04,,75.5,6.22,16406830.0,1.2,,,,2024-11-18 00:00:00,73.88
2025-02-13,77.17,86.0,75.8,83.75,29245100,70.27,57.2,48.86,,70.83,60.42,52.58,51.26,完整多头,63.37,,80.8,6.64,17601535.0,1.7,,,,2024-11-18 00:00:00,83.75
2025-02-14,87.77,91.45,84.09,89.44,25121400,73.72,59.79,49.42,,74.97,63.06,53.9,51.64,完整多头,73.18,,83.1,6.72,18720075.0,1.3,,,,2024-11-18 00:00:00,89.44
2025-02-18,90.09,91.28,78.8,81.95,22200600,75.32,62.04,49.75,,76.52,64.77,54.9,51.95,完整多头,57.76,,71.2,7.13,19708155.0,1.1,,,,2024-11-18 00:00:00,81.95
2025-02-19,83.94,86.89,79.0,85.71,16821900,77.91,64.45,50.24,,78.56,66.68,56.0,52.28,完整多头,63.94,,73.2,7.18,18854100.0,0.9,,,,2024-11-18 00:00:00,85.71
2025-02-20,79.99,80.22,72.1,76.72,20480700,78.88,65.83,50.49,,78.15,67.59,56.74,52.53,混合,46.06,,61.8,7.64,18569930.0,1.1,,,,2024-11-18 00:00:00,76.72
2025-02-21,76.51,77.0,67.74,68.09,14954500,78.84,66.67,50.59,,75.92,67.64,57.15,52.68,混合,29.25,,53.2,7.76,18155140.0,0.8,,,,2024-11-18 00:00:00,68.09
2025-02-24,69.85,74.2,65.37,69.57,20343400,78.64,67.37,50.71,,74.51,67.81,57.59,52.85,混合,31.64,,54.4,7.83,18520560.0,1.1,,,,2024-11-18 00:00:00,69.57
2025-02-25,58.49,65.8,55.2,59.1,26410600,76.79,67.74,50.76,,71.08,67.02,57.64,52.91,混合,11.7,,45.7,8.3,19186045.0,1.4,,,,2024-11-18 00:00:00,59.1
2025-02-26,60.1,66.87,59.0,62.26,18867900,74.1,68.23,50.84,,69.12,66.59,57.81,53.0,混合,17.46,,48.3,8.27,19750310.0,1.0,,,,2024-11-18 00:00:00,62.26
2025-02-27,63.35,63.65,55.15,55.3,17784400,69.84,68.44,50.87,,66.05,65.56,57.72,53.03,混合,4.29,,43.3,8.29,20076055.0,0.9,,,,2024-11-18 00:00:00,55.3
2025-02-28,52.14,56.71,50.5,56.18,13994900,66.62,68.7,50.98,,63.86,64.71,57.66,53.06,混合,5.88,,44.1,8.14,19915510.0,0.7,,,,2024-11-18 00:00:00,56.18
2025-03-03,57.54,57.59,50.03,50.93,11137200,62.27,68.4,51.06,,60.98,63.46,57.42,53.04,混合,-3.97,,40.4,8.1,19580420.0,0.6,,,,2024-11-18 00:00:00,50.93
2025-03-04,48.59,54.13,47.0,52.73,14447200,59.27,68.18,51.2,,59.15,62.48,57.26,53.03,混合,-0.57,,42.2,8.03,19523620.0,0.7,,,,2024-11-18 00:00:00,52.73
2025-03-05,52.94,53.34,49.35,53.06,10622200,57.39,67.77,51.38,,57.8,61.62,57.11,53.03,混合,0.05,,42.5,7.74,19269280.0,0.6,,,,2024-11-18 00:00:00,53.06
2025-03-06,50.47,52.23,48.01,48.86,9811300,54.8,67.15,51.5,,55.81,60.46,56.81,52.99,混合,-7.8,,39.4,7.55,18628870.0,0.5,,,,2024-11-18 00:00:00,48.86
2025-03-07,48.46,50.92,45.01,49.1,9345200,53.55,66.2,51.65,,54.32,59.43,56.54,52.95,混合,-7.28,,39.6,7.43,18232725.0,0.5,,,,2024-11-18 00:00:00,49.1
2025-03-10,48.06,48.49,43.53,45.17,10135100,51.42,65.25,51.75,,52.29,58.13,56.13,52.88,混合,-14.57,,36.7,7.3,17922635.0,0.6,,,,2024-11-18 00:00:00,45.17
2025-03-11,44.55,47.36,44.05,45.58,8910900,50.2,64.14,51.87,,50.8,56.99,55.75,52.8,混合,-13.68,,37.2,7.01,17574800.0,0.5,,,,2024-11-18 00:00:00,45.58
2025-03-12,48.75,49.6,44.16,45.5,12984700,48.87,63.05,52.07,,49.62,55.95,55.39,52.73,混合,-13.71,,37.2,6.9,16640195.0,0.8,,,,2024-11-18 00:00:00,45.5
2025-03-13,45.98,47.01,42.1,42.17,9233400,47.77,61.67,52.24,,47.96,54.7,54.91,52.63,混合,-19.88,,34.5,6.76,16142630.0,0.6,,,,2024-11-18 00:00:00,42.17
2025-03-14,43.9,47.46,43.25,47.17,10973400,47.08,60.4,52.45,,47.79,54.01,54.64,52.57,混合,-10.27,,41.3,6.65,15229045.0,0.7,,,,2024-11-18 00:00:00,47.17
2025-03-17,46.81,50.86,45.85,49.87,9743600,46.68,58.78,52.72,,48.25,53.63,54.47,52.54,混合,-5.09,,44.7,6.54,14460155.0,0.7,,,,2024-11-18 00:00:00,49.87
