date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-12-10,392.68,409.73,390.85,400.99,97563600,,,,,400.99,400.99,400.99,400.99,混合,0.0,,,,,,,,,,400.99
2024-12-11,409.7,424.88,402.38,424.77,104287600,,,,,406.27,403.15,401.84,401.23,完整多头,5.87,,,,,,,,,,424.77
2024-12-12,424.84,429.3,415.0,418.1,87752200,,,,,408.9,404.51,402.42,401.39,完整多头,4.16,,,,,,,,,,418.1
2024-12-13,420.0,436.3,415.71,436.23,89000200,,,,,414.98,407.39,403.63,401.74,完整多头,8.58,,,,,,,,,,436.23
2024-12-16,441.09,463.19,436.15,463.02,114083800,,,,,425.65,412.45,405.75,402.35,完整多头,15.08,,,,,,,,,,463.02
2024-12-17,475.9,483.99,457.51,479.86,131223000,,,,,437.7,418.58,408.4,403.12,完整多头,19.04,,,,,,,,,,479.86
2024-12-18,466.5,488.54,427.01,440.13,149340800,,,,,438.24,420.54,409.53,403.49,完整多头,9.08,,,,,,,,,,440.13
2024-12-19,451.88,456.36,420.02,436.17,118566100,437.41,,,,437.78,421.96,410.48,403.82,混合,8.01,,,,,,,,,,436.17
2024-12-20,425.51,447.08,417.64,421.06,132216200,439.92,,,,434.06,421.88,410.86,403.99,混合,4.23,,,,,,,,,,421.06
2024-12-23,431.0,434.51,415.41,430.6,72698100,440.65,,,,433.29,422.67,411.56,404.25,混合,6.52,,,,,,,,,,430.6
2024-12-24,435.9,462.78,435.14,462.28,59551800,446.17,,,,439.74,426.27,413.37,404.83,完整多头,14.19,,,,,,,,,,462.28
2024-12-26,465.16,465.33,451.02,454.13,76366400,448.41,,,,442.93,428.8,414.83,405.32,完整多头,12.04,,,,,,,,,,454.13
2024-12-27,449.52,450.0,426.5,431.66,82666800,444.49,,,,440.43,429.06,415.43,405.58,混合,6.43,,,,,,,,,,431.66
2024-12-30,419.4,427.0,415.75,417.41,64941000,436.68,,,,435.31,428.0,415.5,405.7,混合,2.89,,,,,,,,,,417.41
2024-12-31,423.79,427.93,402.54,403.84,76825100,432.14,,,,428.32,425.81,415.09,405.68,混合,-0.45,,50.6,26.72,,,,,,2024-12-11 00:00:00,403.84
2025-01-02,390.1,392.73,373.04,379.28,109710700,425.03,,,,417.42,421.58,413.81,405.42,混合,-6.45,,45.7,27.01,,,,,,2024-12-11 00:00:00,379.28
2025-01-03,381.48,411.88,379.45,410.44,95423300,423.71,,,,415.87,420.57,413.69,405.47,混合,1.23,,52.0,27.41,,,,,,2024-12-11 00:00:00,410.44
2025-01-06,423.2,426.43,401.7,411.05,85516500,421.26,,,,414.8,419.7,413.59,405.52,混合,1.36,,52.1,27.22,,,,,,2024-12-11 00:00:00,411.05
2025-01-07,405.83,414.33,390.0,394.36,75699500,412.77,,,,410.26,417.4,412.91,405.41,混合,-2.73,,48.6,27.02,,,,,,2024-12-11 00:00:00,394.36
2025-01-08,392.95,402.5,387.4,394.94,73038800,405.37,,,,406.85,415.36,412.26,405.31,混合,-2.56,,48.8,26.16,94823575.0,0.8,,,,2024-12-11 00:00:00,394.94
