date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-18,589.44,594.14,585.32,589.65,2577100,,,,,589.65,589.65,589.65,589.65,混合,0.0,,,,,,,,,,589.65
2024-11-19,582.72,586.84,576.77,577.0,3198300,,,,,586.84,588.5,589.2,589.52,空头排列,-2.12,,,,,,,,,,577.0
2024-11-20,582.71,602.64,581.55,600.5,3928600,,,,,589.87,589.59,589.6,589.63,混合,1.84,,,,,,,,,,600.5
2024-11-21,600.0,604.0,596.73,597.49,2722900,,,,,591.57,590.31,589.88,589.71,完整多头,1.32,,,,,,,,,,597.49
2024-11-22,598.56,601.26,588.67,590.87,3197900,,,,,591.41,590.36,589.92,589.72,混合,0.19,,,,,,,,,,590.87
2024-11-25,597.58,609.84,595.01,605.83,5146200,,,,,594.62,591.77,590.49,589.88,完整多头,2.7,,,,,,,,,,605.83
2024-11-26,608.24,608.47,598.88,606.79,2693600,,,,,597.32,593.13,591.07,590.05,完整多头,2.84,,,,,,,,,,606.79
2024-11-27,611.03,617.45,606.7,608.38,2269800,597.06,,,,599.78,594.52,591.69,590.23,完整多头,3.07,,,,,,,,,,608.38
2024-11-29,608.8,615.78,606.62,610.2,2010800,599.63,,,,602.09,595.94,592.35,590.43,完整多头,3.35,,,,,,,,,,610.2
2024-12-02,614.0,614.0,600.77,608.52,3364900,603.57,,,,603.52,597.09,592.93,590.61,完整多头,3.03,,,,,,,,,,608.52
2024-12-03,610.85,615.75,604.82,605.23,2329900,604.16,,,,603.9,597.83,593.37,590.76,完整多头,2.45,,,,,,,,,,605.23
2024-12-04,611.02,622.83,606.97,610.79,4147600,605.83,,,,605.43,599.01,593.99,590.96,完整多头,3.36,,,,,,,,,,610.79
2024-12-05,605.64,608.99,573.89,578.97,5943700,604.34,,,,599.55,597.18,593.45,590.84,混合,-2.01,,,,,,,,,,578.97
2024-12-06,582.11,582.11,544.14,549.62,13003600,597.31,,,,588.46,592.86,591.89,590.43,混合,-6.91,,,,,,,,,,549.62
2024-12-09,552.0,562.98,544.64,560.62,7684700,591.54,,,,582.27,589.93,590.77,590.13,混合,-5.0,,40.2,17.27,,,,,,2024-11-19 00:00:00,560.62
2024-12-10,562.0,567.75,557.03,565.19,5360600,586.14,,,,578.47,587.68,589.86,589.88,空头排列,-4.19,,42.1,16.8,,,,,,2024-11-19 00:00:00,565.19
2024-12-11,555.66,558.1,532.67,533.53,10363000,576.56,,,,568.49,582.76,587.84,589.32,空头排列,-9.47,,33.9,17.93,,,,,,2024-11-19 00:00:00,533.53
2024-12-12,531.53,534.0,514.19,515.76,9403800,564.96,,,,556.77,576.67,585.27,588.59,空头排列,-12.37,,30.4,18.06,,,,,,2024-11-19 00:00:00,515.76
2024-12-13,515.64,527.53,510.72,520.48,8202900,554.37,,,,548.71,571.56,582.96,587.91,空头排列,-11.47,,32.4,17.97,,,,,,2024-11-19 00:00:00,520.48
2024-12-16,518.0,521.7,496.08,498.5,8880000,540.33,,,,537.55,564.92,579.94,587.02,空头排列,-15.08,,28.3,18.52,5321495.0,1.7,,,,2024-11-19 00:00:00,498.5
2024-12-17,487.0,495.6,475.82,485.52,14132700,528.65,572.35,,,525.99,557.7,576.57,586.01,空头排列,-17.15,,26.2,18.82,5899275.0,2.4,,,,2024-11-19 00:00:00,485.52
2024-12-18,488.43,506.54,486.0,499.72,10147600,522.42,568.07,,,520.15,552.43,573.82,585.15,空头排列,-14.6,,32.2,18.97,6246740.0,1.6,,,,2024-11-19 00:00:00,499.72
2024-12-19,500.14,503.65,486.24,489.25,7418100,513.49,563.89,,,513.28,546.69,570.8,584.2,空头排列,-16.25,,30.2,18.86,6421215.0,1.2,,,,2024-11-19 00:00:00,489.25
2024-12-20,489.29,502.64,488.73,500.13,10956900,505.36,559.11,,,510.36,542.45,568.28,583.36,空头排列,-14.27,,34.6,18.51,6832915.0,1.6,,,,2024-11-19 00:00:00,500.13
2024-12-23,500.76,508.78,499.05,506.34,4286000,501.96,554.77,,,509.47,539.17,566.07,582.6,空头排列,-13.09,,37.1,17.88,6887320.0,0.6,,,,2024-11-19 00:00:00,506.34
2024-12-24,504.4,506.1,500.59,506.1,1824400,500.75,550.74,,,508.72,536.16,563.92,581.84,空头排列,-13.02,,37.0,17.01,6721230.0,0.3,,,,2024-11-19 00:00:00,506.1
2024-12-26,505.65,512.22,504.73,511.15,3387000,499.59,546.23,,,509.26,533.89,562.04,581.13,混合,-12.04,,39.2,16.33,6755900.0,0.5,,,,2024-11-19 00:00:00,511.15
2024-12-27,509.42,513.18,507.8,509.99,3471800,501.02,541.62,,,509.42,531.72,560.18,580.42,混合,-12.14,,38.9,15.55,6816000.0,0.5,,,,2024-11-19 00:00:00,509.99
2024-12-30,506.86,509.73,500.66,507.8,5408600,503.81,536.83,,,509.06,529.54,558.31,579.7,空头排列,-12.4,,38.2,15.11,6985890.0,0.8,,,,2024-11-19 00:00:00,507.8
2024-12-31,509.35,511.0,503.34,505.86,4214000,504.58,531.86,,,508.35,527.39,556.44,578.97,空头排列,-12.63,,37.6,14.58,7028345.0,0.6,,,,2024-11-19 00:00:00,505.86
2025-01-02,508.0,512.11,503.29,504.51,4234900,506.48,526.91,,,507.5,525.31,554.58,578.23,空头排列,-12.75,,37.2,14.16,7123595.0,0.6,,,,2024-11-19 00:00:00,504.51
2025-01-03,506.35,516.29,505.38,513.0,3019500,508.09,522.52,,,508.72,524.19,553.1,577.58,混合,-11.18,,41.8,13.99,7067190.0,0.4,,,,2024-11-19 00:00:00,513.0
2025-01-06,513.0,520.3,509.82,513.67,4444800,509.01,517.89,,,509.82,523.23,551.69,576.94,混合,-10.97,,42.1,13.74,6992245.0,0.6,,,,2024-11-19 00:00:00,513.67
2025-01-07,518.85,519.5,511.22,514.25,3914500,510.03,514.81,,,510.8,522.42,550.35,576.32,混合,-10.77,,42.4,13.35,6537790.0,0.6,,,,2024-11-19 00:00:00,514.25
2025-01-08,514.5,524.67,509.51,524.52,4141700,511.7,513.61,,,513.85,522.61,549.43,575.8,混合,-8.91,,48.1,13.48,6360640.0,0.7,,,,2024-11-19 00:00:00,524.52
2025-01-10,526.64,535.45,518.47,520.69,5467500,513.04,511.71,,,515.37,522.43,548.4,575.25,混合,-9.49,,46.3,13.73,6365985.0,0.9,,,,2024-11-19 00:00:00,520.69
2025-01-13,535.04,547.4,533.14,541.14,6472500,517.21,510.57,,,521.1,524.13,548.14,574.91,混合,-5.87,,55.9,14.66,6171460.0,1.0,,,,2024-11-19 00:00:00,541.14
2025-01-14,539.65,544.55,536.55,543.74,3978300,521.94,511.05,,,526.13,525.92,547.99,574.6,混合,-5.37,,57.0,14.18,5900185.0,0.7,,,,2024-11-19 00:00:00,543.74
2025-01-15,537.1,546.29,534.33,543.42,4103900,526.8,512.37,,,529.97,527.51,547.82,574.29,混合,-5.38,,56.8,14.02,5695235.0,0.7,,,,2024-11-19 00:00:00,543.42
2025-01-16,530.35,539.84,510.0,510.59,9059900,526.5,511.9,,,525.66,525.97,546.49,573.66,空头排列,-10.99,,42.1,15.41,5704230.0,1.6,,,,2024-11-19 00:00:00,510.59
2025-01-17,505.62,521.82,502.8,509.76,7495700,526.01,512.44,,,522.13,524.5,545.18,573.02,空头排列,-11.04,,41.8,15.67,5372380.0,1.4,,,,2024-11-19 00:00:00,509.76
2025-01-21,514.05,525.0,512.82,524.99,5682100,527.36,514.32,,,522.77,524.54,544.46,572.55,混合,-8.31,,48.9,15.64,5149105.0,1.1,,,,2024-11-19 00:00:00,524.99
2025-01-22,521.66,524.44,516.0,519.72,3756100,526.76,515.27,,,522.09,524.1,543.58,572.02,空头排列,-9.14,,46.7,15.16,4966005.0,0.8,,,,2024-11-19 00:00:00,519.72
2025-01-23,527.87,531.48,519.32,529.77,4580800,527.89,517.2,,,523.8,524.62,543.08,571.6,混合,-7.32,,51.1,14.95,4647200.0,1.0,,,,2024-11-19 00:00:00,529.77
2025-01-24,528.11,534.63,524.51,532.51,3671200,526.81,518.74,,,525.73,525.34,542.71,571.21,混合,-6.78,,52.2,14.6,4616460.0,0.8,,,,2024-11-19 00:00:00,532.51
2025-01-27,539.98,551.91,539.98,543.52,4263000,526.78,520.51,,,529.69,526.99,542.74,570.94,混合,-4.8,,56.6,14.95,4738390.0,0.9,,,,2024-11-19 00:00:00,543.52
2025-01-28,543.01,546.5,537.84,542.48,3162700,526.67,522.24,,,532.53,528.4,542.73,570.65,混合,-4.94,,56.1,14.5,4727175.0,0.7,,,,2024-11-19 00:00:00,542.48
2025-01-29,541.73,543.48,534.01,538.1,2737600,530.11,523.53,,,533.77,529.28,542.56,570.33,混合,-5.65,,53.8,14.14,4690465.0,0.6,,,,2024-11-19 00:00:00,538.1
2025-01-30,539.47,547.11,535.0,545.57,2924700,534.58,525.22,,,536.39,530.76,542.67,570.08,混合,-4.3,,57.0,13.99,4566270.0,0.6,,,,2024-11-19 00:00:00,545.57
2025-01-31,543.24,549.16,541.41,542.49,4120500,536.77,526.87,,,537.75,531.83,542.66,569.81,混合,-4.79,,55.3,13.55,4561595.0,0.9,,,,2024-11-19 00:00:00,542.49
2025-02-03,542.0,553.91,541.07,548.18,4083600,540.33,528.89,,,540.06,533.31,542.86,569.59,混合,-3.76,,57.8,13.5,4554030.0,0.9,,,,2024-11-19 00:00:00,548.18
2025-02-04,545.2,548.81,541.51,545.45,2869900,542.29,530.84,,,541.26,534.42,542.95,569.35,混合,-4.2,,56.2,13.05,4546550.0,0.6,,,,2024-11-19 00:00:00,545.45
2025-02-05,530.73,540.7,521.91,539.81,4621600,543.2,532.11,,,540.94,534.91,542.84,569.06,混合,-5.14,,52.9,13.8,4555390.0,1.0,,,,2024-11-19 00:00:00,539.81
2025-02-06,537.89,539.1,525.27,530.04,3926800,541.51,532.89,,,538.52,534.46,542.38,568.67,混合,-6.79,,47.7,13.86,4556005.0,0.9,,,,2024-11-19 00:00:00,530.04
2025-02-07,529.2,532.39,525.39,527.03,3349100,539.58,533.5,541.9,,535.96,533.79,541.83,568.26,混合,-7.25,,46.2,13.37,4516375.0,0.7,,,,2024-11-19 00:00:00,527.03
2025-02-10,527.67,534.16,523.38,533.37,3143100,538.99,533.92,540.88,,535.39,533.75,541.53,567.91,混合,-6.08,,49.8,13.18,4400155.0,0.7,,,,2024-11-19 00:00:00,533.37
2025-02-11,535.0,547.54,528.27,533.92,2631900,537.54,534.55,540.1,,535.06,533.77,541.26,567.57,混合,-5.93,,50.1,13.62,4208125.0,0.6,,,,2024-11-19 00:00:00,533.92
2025-02-12,539.85,542.35,525.51,527.4,3859200,535.65,533.9,538.77,,533.36,533.19,540.76,567.17,混合,-7.01,,46.4,13.85,4202170.0,0.9,,,,2024-11-19 00:00:00,527.4
2025-02-13,530.9,534.33,527.1,531.18,2835100,533.53,533.3,537.56,,532.87,533.0,540.42,566.81,空头排列,-6.29,,48.8,13.37,4138730.0,0.7,,,,2024-11-19 00:00:00,531.18
2025-02-14,529.0,533.2,522.91,523.51,3705300,530.78,532.35,536.34,,530.79,532.14,539.82,566.38,空头排列,-7.57,,44.5,13.15,3871000.0,1.0,,,,2024-11-19 00:00:00,523.51
2025-02-18,510.94,516.0,497.0,500.73,8759300,525.9,531.88,534.43,,524.11,529.29,538.42,565.73,空头排列,-11.49,,34.7,14.11,3934180.0,2.2,,,,2024-11-19 00:00:00,500.73
2025-02-19,501.33,511.86,498.15,511.04,4380300,523.52,531.94,532.69,,521.21,527.63,537.44,565.18,空头排列,-9.58,,41.0,14.08,3869090.0,1.1,,,,2024-11-19 00:00:00,511.04
2025-02-20,505.19,508.43,500.24,502.42,4144300,520.45,530.87,530.76,,517.03,525.34,536.19,564.56,空头排列,-11.01,,37.8,13.84,3888500.0,1.1,,,,2024-11-19 00:00:00,502.42
2025-02-21,439.55,469.7,438.5,466.42,19864900,512.08,528.33,528.15,,505.79,519.98,533.7,563.58,空头排列,-17.24,,27.8,17.42,4652705.0,4.3,,,,2024-11-19 00:00:00,466.42
2025-02-24,466.68,468.0,457.0,461.52,6919300,503.03,525.08,525.47,,495.95,514.67,531.12,562.57,空头排列,-17.96,,26.7,16.96,4815110.0,1.4,,,,2024-11-19 00:00:00,461.52
2025-02-25,460.77,470.76,450.07,470.38,9101000,495.9,522.12,523.02,,490.27,510.64,528.95,561.65,空头排列,-16.25,,31.7,17.23,5057010.0,1.8,,,,2024-11-19 00:00:00,470.38
2025-02-26,464.65,473.05,458.2,463.59,5108400,487.45,518.32,520.34,,484.34,506.36,526.62,560.67,空头排列,-17.32,,30.0,17.06,5154295.0,1.0,,,,2024-11-19 00:00:00,463.59
2025-02-27,466.17,475.4,465.02,468.56,4216800,480.58,514.8,518.34,,480.83,502.93,524.55,559.76,空头排列,-16.29,,32.8,16.68,5228255.0,0.8,,,,2024-11-19 00:00:00,468.56
2025-02-28,467.0,476.36,464.48,474.96,6146300,477.36,511.79,516.98,,479.53,500.38,522.78,558.91,空头排列,-15.02,,36.4,16.34,5389335.0,1.1,,,,2024-11-19 00:00:00,474.96
2025-03-03,474.37,477.27,465.21,467.05,5700200,471.86,508.05,515.28,,476.75,497.35,520.79,558.0,空头排列,-16.3,,34.0,16.04,5468320.0,1.0,,,,2024-11-19 00:00:00,467.05
