date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2025-01-16,62.17,64.54,61.83,64.5,3853500,,,,,64.5,64.5,64.5,64.5,混合,0.0,,,,,,,,,,64.5
2025-01-17,65.8,66.76,62.88,62.96,4407800,,,,,64.16,64.36,64.44,64.48,空头排列,-2.36,,,,,,,,,,62.96
2025-01-21,64.0,65.1,62.03,64.01,3152300,,,,,64.12,64.33,64.43,64.48,空头排列,-0.73,,,,,,,,,,64.01
2025-01-22,64.45,65.83,63.45,65.55,4025000,,,,,64.44,64.44,64.47,64.49,混合,1.64,,,,,,,,,,65.55
2025-01-23,64.22,70.45,64.07,69.31,4517600,,,,,65.52,64.88,64.64,64.54,完整多头,7.39,,,,,,,,,,69.31
2025-01-24,69.31,69.94,66.76,67.44,3176800,,,,,65.95,65.11,64.74,64.57,完整多头,4.45,,,,,,,,,,67.44
2025-01-27,64.67,67.97,62.91,65.01,3609800,,,,,65.74,65.11,64.75,64.57,混合,0.68,,,,,,,,,,65.01
2025-01-28,65.29,66.8,63.28,66.52,2066700,65.66,,,,65.91,65.23,64.81,64.59,完整多头,2.99,,,,,,,,,,66.52
2025-01-29,65.13,66.56,62.81,66.07,3815100,65.86,,,,65.95,65.31,64.86,64.61,完整多头,2.27,,,,,,,,,,66.07
2025-01-30,67.44,69.1,66.61,67.32,2974700,66.4,,,,66.25,65.49,64.95,64.63,完整多头,4.16,,,,,,,,,,67.32
2025-01-31,68.15,68.7,63.89,64.75,2986800,66.5,,,,65.92,65.42,64.94,64.63,混合,0.17,,,,,,,,,,64.75
2025-02-03,61.3,63.47,59.94,63.17,3951800,66.2,,,,65.31,65.22,64.88,64.62,混合,-2.24,,,,,,,,,,63.17
2025-02-04,63.17,65.99,63.12,63.3,2457300,65.45,,,,64.86,65.05,64.82,64.61,混合,-2.02,,,,,,,,,,63.3
