date,open,high,low,close,volume,sma8,sma21,sma55,sma200,ema8,ema21,ema55,ema200,ema_state,close_vs_ema200_pct,close_vs_sma200_pct,rsi14,atr14,vol20_avg,vol_ratio20,sma200_start_date,sma200_end_date,sma200_window_count,rsi_start_date,close_check
2024-11-25,166.0,166.38,152.71,154.14,7673800,,,,,154.14,154.14,154.14,154.14,混合,0.0,,,,,,,,,,154.14
2024-11-26,154.38,164.14,153.61,162.66,5331100,,,,,156.03,154.91,154.44,154.22,完整多头,5.47,,,,,,,,,,162.66
2024-11-27,161.68,163.15,153.4,154.52,4819900,,,,,155.7,154.88,154.45,154.23,混合,0.19,,,,,,,,,,154.52
2024-11-29,158.49,160.9,156.73,159.84,2475800,,,,,156.62,155.33,154.64,154.28,完整多头,3.6,,,,,,,,,,159.84
2024-12-02,161.6,163.33,153.54,154.11,4843800,,,,,156.06,155.22,154.62,154.28,混合,-0.11,,,,,,,,,,154.11
2024-12-03,155.64,158.88,153.9,154.16,3898800,,,,,155.64,155.12,154.6,154.28,混合,-0.08,,,,,,,,,,154.16
2024-12-04,158.94,164.25,157.01,161.31,5327200,,,,,156.9,155.69,154.84,154.35,完整多头,4.51,,,,,,,,,,161.31
2024-12-05,161.0,164.86,159.58,160.88,3554200,157.7,,,,157.78,156.16,155.06,154.42,完整多头,4.19,,,,,,,,,,160.88
2024-12-06,161.1,163.49,157.29,159.98,3220400,158.43,,,,158.27,156.5,155.24,154.47,完整多头,3.57,,,,,,,,,,159.98
2024-12-09,160.17,160.71,146.15,148.31,6844200,156.64,,,,156.06,155.76,154.99,154.41,混合,-3.95,,,,,,,,,,148.31
2024-12-10,145.88,147.8,139.3,141.52,7109700,155.01,,,,152.83,154.47,154.51,154.28,混合,-8.27,,,,,,,,,,141.52
2024-12-11,145.94,148.41,143.44,146.0,6209300,153.28,,,,151.31,153.7,154.2,154.2,混合,-5.32,,,,,,,,,,146.0
2024-12-12,146.43,148.98,144.6,145.08,3703000,152.16,,,,149.93,152.91,153.88,154.11,空头排列,-5.86,,,,,,,,,,145.08
2024-12-13,146.35,149.35,143.59,144.89,4016400,151.0,,,,148.81,152.18,153.56,154.02,空头排列,-5.93,,,,,,,,,,144.89
2024-12-16,144.71,147.22,143.28,145.33,4801300,149.0,,,,148.03,151.56,153.26,153.93,空头排列,-5.59,,42.7,7.68,,,,,,2024-11-26 00:00:00,145.33
2024-12-17,142.88,143.37,136.1,139.77,5475200,146.36,,,,146.2,150.49,152.78,153.79,空头排列,-9.12,,38.9,7.79,,,,,,2024-11-26 00:00:00,139.77
2024-12-18,141.25,141.25,131.64,132.89,5690600,142.97,,,,143.24,148.89,152.07,153.58,空头排列,-13.47,,34.8,7.92,,,,,,2024-11-26 00:00:00,132.89
2024-12-19,134.61,139.73,133.32,137.2,7554400,141.59,,,,141.9,147.83,151.54,153.42,空头排列,-10.57,,39.1,7.84,,,,,,2024-11-26 00:00:00,137.2
2024-12-20,132.45,141.63,132.0,139.95,8735100,141.39,,,,141.47,147.11,151.13,153.28,空头排列,-8.7,,41.8,7.97,,,,,,2024-11-26 00:00:00,139.95
2024-12-23,140.0,141.37,135.62,140.79,2871400,140.74,,,,141.32,146.54,150.76,153.16,空头排列,-8.08,,42.7,7.81,5207780.0,0.6,,,,2024-11-26 00:00:00,140.79
2024-12-24,142.03,144.16,141.02,143.36,1642700,140.52,148.89,,,141.77,146.25,150.49,153.06,混合,-6.34,,45.2,7.5,4906225.0,0.3,,,,2024-11-26 00:00:00,143.36
2024-12-26,142.9,144.88,141.45,144.11,1928000,140.42,148.41,,,142.29,146.05,150.26,152.97,混合,-5.79,,46.0,7.21,4736070.0,0.4,,,,2024-11-26 00:00:00,144.11
2024-12-27,143.0,143.0,136.74,139.68,3214700,139.72,147.32,,,141.71,145.47,149.89,152.84,空头排列,-8.61,,42.3,7.22,4655810.0,0.7,,,,2024-11-26 00:00:00,139.68
2024-12-30,136.05,141.18,134.86,140.09,4930600,139.76,146.63,,,141.35,144.98,149.54,152.71,空头排列,-8.27,,42.7,7.15,4778550.0,1.0,,,,2024-11-26 00:00:00,140.09
2024-12-31,139.91,140.44,137.02,137.87,2761600,140.38,145.58,,,140.58,144.34,149.12,152.57,空头排列,-9.63,,40.8,6.89,4674440.0,0.6,,,,2024-11-26 00:00:00,137.87
2025-01-02,139.63,149.89,138.26,149.66,6169600,141.94,145.37,,,142.6,144.82,149.14,152.54,混合,-1.89,,52.9,7.25,4787980.0,1.3,,,,2024-11-26 00:00:00,149.66
2025-01-03,154.36,162.66,151.66,162.36,8762600,144.74,145.76,,,146.99,146.42,149.61,152.64,混合,6.37,,61.9,7.66,4959750.0,1.8,,,,2024-11-26 00:00:00,162.36
2025-01-06,165.16,166.0,159.5,163.95,7406900,147.63,145.89,,,150.76,148.01,150.12,152.75,混合,7.33,,62.9,7.58,5152385.0,1.4,,,,2024-11-26 00:00:00,163.95
